Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,36.061485,[10 78] ; [21 11],[22.73333333 65.26666667] ; [ 8.26666667 23.73333333],1
s6,1,3.1e-05,17.350599,[31 57] ; [25  7],[41.06666667 46.93333333] ; [14.93333333 17.06666667],1
s4,1,0.00023,13.570166,[15 74] ; [16 16],[22.80165289 66.19834711] ; [ 8.19834711 23.80165289],1
p4,1,0.000647,11.636364,[25 63] ; [20 12],[33. 55.] ; [12. 20.],1
s2,1,0.001853,9.689811,[25 63] ; [19 13],[32.26666667 55.73333333] ; [11.73333333 20.26666667],0
u2,1,0.009395,6.746066,[25 27] ; [10  1],[28.88888889 23.11111111] ; [6.11111111 4.88888889],0
p3,1,0.013494,6.103107,[21 68] ; [15 17],[26.47933884 62.52066116] ; [ 9.52066116 22.47933884],0
n1,1,0.016495,5.749342,[ 8 29] ; [7 5],[11.32653061 25.67346939] ; [3.67346939 8.32653061],0
a3,1,0.016503,5.748462,[36 52] ; [21 11],[41.8 46.2] ; [15.2 16.8],0
s5,1,0.018841,5.516234,[17 70] ; [13 19],[21.93277311 65.06722689] ; [ 8.06722689 23.93277311],0
p6,1,0.0205,5.368825,[16 72] ; [12 19],[20.70588235 67.29411765] ; [ 7.29411765 23.70588235],0
s3,1,0.021392,5.294547,[32 57] ; [19 13],[37.51239669 51.48760331] ; [13.48760331 18.51239669],0
b2,1,0.028041,4.825532,[ 8 37] ; [ 8 10],[11.42857143 33.57142857] ; [ 4.57142857 13.42857143],0
b3,1,0.028041,4.825532,[ 8 37] ; [ 8 10],[11.42857143 33.57142857] ; [ 4.57142857 13.42857143],0
p10,1,0.038506,4.282521,[50 37] ; [25  7],[54.83193277 32.16806723] ; [20.16806723 11.83193277],0
p7,1,0.038611,4.277902,[38 47] ; [20 10],[42.86956522 42.13043478] ; [15.13043478 14.86956522],0
v3,1,0.056908,3.625272,[ 6 81] ; [ 6 26],[ 8.77310924 78.22689076] ; [ 3.22689076 28.77310924],0
a8,1,0.060631,3.520033,[ 3 82] ; [ 4 27],[ 5.12931034 79.87068966] ; [ 1.87068966 29.12931034],0
p2,1,0.062467,3.47065,[59 29] ; [27  5],[63.06666667 24.93333333] ; [22.93333333  9.06666667],0
u3,1,0.086896,2.930957,[28 24] ; [9 2],[30.53968254 21.46031746] ; [6.46031746 4.53968254],0
d3,1,0.096861,2.756489,[45 42] ; [22 10],[48.98319328 38.01680672] ; [18.01680672 13.98319328],0
p8,1,0.098551,2.728841,[32 56] ; [17 15],[35.93333333 52.06666667] ; [13.06666667 18.93333333],0
v1,1,0.103494,2.650856,[22 65] ; [13 19],[25.58823529 61.41176471] ; [ 9.41176471 22.58823529],0
p1,1,0.122398,2.386364,[ 4 84] ; [ 4 28],[ 5.86666667 82.13333333] ; [ 2.13333333 29.86666667],0
p9,1,0.194019,1.686833,[57 31] ; [24  7],[59.89915966 28.10084034] ; [21.10084034  9.89915966],0
d5,1,0.23806,1.392045,[50 38] ; [22 10],[52.8 35.2] ; [19.2 12.8],0
r4,1,0.255756,1.291587,[60 29] ; [25  7],[62.52066116 26.47933884] ; [22.47933884  9.52066116],0
p11,1,0.256307,1.288595,[51 38] ; [22 10],[53.69421488 35.30578512] ; [19.30578512 12.69421488],0
r2,1,0.331217,0.944132,[71 18] ; [28  4],[72.81818182 16.18181818] ; [26.18181818  5.81818182],0
b4,1,0.334548,0.931214,[44 45] ; [19 13],[46.33884298 42.66115702] ; [16.66115702 15.33884298],0
r1,1,0.391676,0.733733,[45 44] ; [19 13],[47.07438017 41.92561983] ; [16.92561983 15.07438017],0
v4,1,0.441773,0.591674,[75 13] ; [29  3],[76.26666667 11.73333333] ; [27.73333333  4.26666667],0
n6,1,0.483204,0.491623,[55 34] ; [22 10],[56.63636364 32.36363636] ; [20.36363636 11.63636364],0
n2,1,0.515316,0.423257,[24 13] ; [9 3],[24.91836735 12.08163265] ; [8.08163265 3.91836735],0
a5,1,0.527841,0.398547,[36 53] ; [15 17],[37.51239669 51.48760331] ; [13.48760331 18.51239669],0
n3,1,0.55924,0.341022,[25 12] ; [7 5],[24.16326531 12.83673469] ; [7.83673469 4.16326531],0
b1,1,0.661931,0.191187,[35 54] ; [14 18],[36.04132231 52.95867769] ; [12.95867769 19.04132231],0
a7,1,0.669815,0.181818,[54 34] ; [21 11],[55. 33.] ; [20. 12.],0
b5,1,0.723014,0.125623,[56 33] ; [19 13],[55.16528926 33.83471074] ; [19.83471074 12.16528926],0
d4,1,0.814404,0.055107,[62 27] ; [23  9],[62.52066116 26.47933884] ; [22.47933884  9.52066116],0
d1,1,0.85348,0.034107,[29 60] ; [11 21],[29.4214876 59.5785124] ; [10.5785124 21.4214876],0
a4,1,0.87318,0.025479,[21 68] ; [ 8 24],[21.33057851 67.66942149] ; [ 7.66942149 24.33057851],0
a6,1,0.907247,0.013575,[49 40] ; [18 14],[49.28099174 39.71900826] ; [17.71900826 14.28099174],0
a2,1,0.923539,0.009212,[ 6 83] ; [ 2 30],[ 5.88429752 83.11570248] ; [ 2.11570248 29.88429752],0
n5,1,0.931022,0.007493,[31 57] ; [11 21],[30.8 57.2] ; [11.2 20.8],0
d2,1,0.962897,0.002164,[31 58] ; [11 21],[30.89256198 58.10743802] ; [11.10743802 20.89256198],0
r3,1,0.988793,0.000197,[75 14] ; [27  5],[75.02479339 13.97520661] ; [26.97520661  5.02479339],0
