Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,108.972776,[21 59] ; [204  30],[57.32484076 22.67515924] ; [167.67515924  66.32484076],1
p11,1,0.0,34.84257,[34 46] ; [183  52],[55.11111111 24.88888889] ; [161.88888889  73.11111111],1
p2,1,0.0,33.343832,[35 45] ; [183  51],[55.54140127 24.45859873] ; [162.45859873  71.54140127],1
b1,1,5e-06,20.746456,[47 33] ; [ 71 164],[29.96825397 50.03174603] ; [ 88.03174603 146.96825397],1
r3,1,3.6e-05,17.050006,[65 15] ; [224  10],[73.63057325  6.36942675] ; [215.36942675  18.63057325],1
v4,1,5.4e-05,16.290336,[62 18] ; [218  15],[71.56549521  8.43450479] ; [208.43450479  24.56549521],1
r4,1,0.000167,14.166034,[54 26] ; [203  32],[65.26984127 14.73015873] ; [191.73015873  43.26984127],1
n6,1,0.000228,13.584817,[48 32] ; [187  45],[60.25641026 19.74358974] ; [174.74358974  57.25641026],1
s6,1,0.000231,13.557792,[29 50] ; [140  91],[43.06774194 35.93225806] ; [125.93225806 105.06774194],1
s8,1,0.000689,11.518773,[15 64] ; [ 94 141],[27.42356688 51.57643312] ; [ 81.57643312 153.42356688],1
r2,1,0.006412,7.430846,[68 11] ; [219  11],[73.37540453  5.62459547] ; [213.62459547  16.37540453],0
s3,1,0.008368,6.953061,[30 49] ; [129 105],[40.13099042 38.86900958] ; [118.86900958 115.13099042],0
s5,1,0.014792,5.94104,[13 65] ; [ 69 154],[21.24916944 56.75083056] ; [ 60.75083056 162.24916944],0
s2,1,0.019979,5.413716,[24 55] ; [106 128],[32.8115016 46.1884984] ; [ 97.1884984 136.8115016],0
p8,1,0.02204,5.242596,[16 64] ; [ 78 154],[24.1025641 55.8974359] ; [ 69.8974359 162.1025641],0
d3,1,0.023335,5.143381,[47 33] ; [170  65],[55.11111111 24.88888889] ; [161.88888889  73.11111111],0
n5,1,0.024771,5.039849,[40 40] ; [149  83],[48.46153846 31.53846154] ; [140.53846154  91.46153846],0
s7,1,0.02942,4.742843,[20 54] ; [ 95 136],[27.90163934 46.09836066] ; [ 87.09836066 143.90163934],0
v2,1,0.035857,4.403911,[34 45] ; [126  96],[41.99335548 37.00664452] ; [118.00664452 103.99335548],0
a5,1,0.046779,3.953329,[48 32] ; [169  66],[55.11111111 24.88888889] ; [161.88888889  73.11111111],0
n3,1,0.050209,3.834462,[15 15] ; [50 21],[19.30693069 10.69306931] ; [45.69306931 25.30693069],0
v1,1,0.055268,3.673979,[28 52] ; [108 120],[35.32467532 44.67532468] ; [100.67532468 127.32467532],0
n2,1,0.066617,3.364471,[18 13] ; [54 17],[21.88235294  9.11764706] ; [50.11764706 20.88235294],0
s1,1,0.068121,3.327715,[ 5 74] ; [  5 228],[ 2.53205128 76.46794872] ; [  7.46794872 225.53205128],0
s4,1,0.074473,3.18158,[ 7 72] ; [ 40 193],[11.90064103 67.09935897] ; [ 35.09935897 197.90064103],0
a8,1,0.096518,2.762165,[ 6 70] ; [ 34 186],[10.27027027 65.72972973] ; [ 29.72972973 190.27027027],0
p7,1,0.098484,2.729926,[30 50] ; [108 116],[36.31578947 43.68421053] ; [101.68421053 122.31578947],0
b5,1,0.122934,2.379537,[44 36] ; [152  83],[49.77777778 30.22222222] ; [146.22222222  88.77777778],0
d5,1,0.16922,1.889836,[62 18] ; [198  37],[66.03174603 13.96825397] ; [193.96825397  41.03174603],0
d2,1,0.203052,1.620288,[43 36] ; [108 126],[38.11182109 40.88817891] ; [112.88817891 121.11182109],0
a7,1,0.213798,1.545521,[52 28] ; [170  65],[56.38095238 23.61904762] ; [165.61904762  69.38095238],0
v3,1,0.236688,1.400213,[22 55] ; [ 82 146],[26.2557377 50.7442623] ; [ 77.7442623 150.2557377],0
p6,1,0.267694,1.228527,[10 68] ; [ 42 188],[13.16883117 64.83116883] ; [ 38.83116883 191.16883117],0
d1,1,0.322907,0.977136,[44 36] ; [144  91],[47.74603175 32.25396825] ; [140.25396825  94.74603175],0
u1,1,0.353325,0.861481,[ 8 72] ; [ 33 202],[10.41269841 69.58730159] ; [ 30.58730159 204.41269841],0
a6,1,0.412279,0.672218,[50 30] ; [158  76],[52.99363057 27.00636943] ; [155.00636943  78.99363057],0
n4,1,0.490934,0.474478,[51 29] ; [159  75],[53.50318471 26.49681529] ; [156.49681529  77.50318471],0
b4,1,0.509084,0.43595,[51 29] ; [140  95],[48.50793651 31.49206349] ; [142.49206349  92.50793651],0
p1,1,0.544207,0.367799,[ 3 76] ; [ 13 222],[ 4.02547771 74.97452229] ; [ 11.97452229 223.02547771],0
r1,1,0.552943,0.352071,[59 21] ; [181  54],[60.95238095 19.04761905] ; [179.04761905  55.95238095],0
b2,1,0.560995,0.337984,[15 28] ; [53 80],[16.61363636 26.38636364] ; [51.38636364 81.61363636],0
b3,1,0.560995,0.337984,[15 28] ; [53 80],[16.61363636 26.38636364] ; [51.38636364 81.61363636],0
a1,1,0.580893,0.304793,[ 5 75] ; [ 11 224],[ 4.06349206 75.93650794] ; [ 11.93650794 223.06349206],0
a3,1,0.654489,0.200288,[57 23] ; [172  61],[58.53035144 21.46964856] ; [170.46964856  62.53035144],0
n1,1,0.787356,0.072763,[12 18] ; [26 44],[11.4 18.6] ; [26.6 43.4],0
u3,1,0.807524,0.059351,[12 11] ; [31 32],[11.5 11.5] ; [31.5 31.5],0
a4,1,0.85041,0.035568,[34 45] ; [104 131],[34.71974522 44.28025478] ; [103.28025478 131.71974522],0
a2,1,0.939634,0.005735,[17 63] ; [ 49 186],[16.76190476 63.23809524] ; [ 49.23809524 185.76190476],0
p3,1,0.957459,0.002845,[18 61] ; [ 54 180],[18.17252396 60.82747604] ; [ 53.82747604 180.17252396],0
u2,1,0.971215,0.001302,[12 10] ; [33 28],[11.92771084 10.07228916] ; [33.07228916 27.92771084],0
