Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.544102,[359  24] ; [4 4],[355.57289003  27.42710997] ; [7.42710997 0.57289003],1
r1,1,6e-06,20.368922,[323  58] ; [2 6],[318.31619537  62.68380463] ; [6.68380463 1.31619537],1
d5,1,0.008882,6.846314,[321  59] ; [4 4],[318.29896907  61.70103093] ; [6.70103093 1.29896907],0
r2,1,0.010746,6.506781,[359  18] ; [6 2],[357.41558442  19.58441558] ; [7.58441558 0.41558442],0
s7,1,0.020106,5.402687,[240 130] ; [2 6],[236.87830688 133.12169312] ; [5.12169312 2.87830688],0
p10,1,0.021068,5.321183,[337  42] ; [5 3],[334.93023256  44.06976744] ; [7.06976744 0.93023256],0
a7,1,0.021891,5.254399,[282 100] ; [3 5],[279.15384615 102.84615385] ; [5.84615385 2.15384615],0
s3,1,0.036321,4.381977,[271 108] ; [3 5],[268.33591731 110.66408269] ; [5.66408269 2.33591731],0
s8,1,0.04917,3.869549,[227 154] ; [2 6],[224.29048843 156.70951157] ; [4.70951157 3.29048843],0
a6,1,0.075951,3.149491,[256 124] ; [3 5],[253.65979381 126.34020619] ; [5.34020619 2.65979381],0
v4,1,0.119654,2.42185,[370  11] ; [7 1],[369.24678663  11.75321337] ; [7.75321337 0.24678663],0
p2,1,0.130303,2.288893,[347  35] ; [6 2],[345.75897436  36.24102564] ; [7.24102564 0.75897436],0
d3,1,0.138542,2.194083,[280 101] ; [4 4],[278.15938303 102.84061697] ; [5.84061697 2.15938303],0
p11,1,0.144059,2.134056,[316  67] ; [5 3],[314.43222506  68.56777494] ; [6.56777494 1.43222506],0
p9,1,0.178349,1.811326,[342  39] ; [6 2],[340.84318766  40.15681234] ; [7.15681234 0.84318766],0
d1,1,0.187146,1.73994,[232 151] ; [3 5],[230.19181586 152.80818414] ; [4.80818414 3.19181586],0
v2,1,0.209064,1.577895,[221 150] ; [3 5],[219.27176781 151.72823219] ; [4.72823219 3.27176781],0
b5,1,0.21564,1.533155,[227 156] ; [3 5],[225.29411765 157.70588235] ; [4.70588235 3.29411765],0
n6,1,0.332516,0.939074,[329  50] ; [6 2],[328.0749354  50.9250646] ; [6.9250646 1.0749354],0
a3,1,0.389743,0.739743,[283  99] ; [7 1],[284.05128205  97.94871795] ; [5.94871795 2.05128205],0
p6,1,0.41326,0.669401,[198 182] ; [3 5],[196.8556701 183.1443299] ; [4.1443299 3.8556701],0
d4,1,0.420427,0.649121,[324  56] ; [6 2],[323.19587629  56.80412371] ; [6.80412371 1.19587629],0
p3,1,0.497893,0.459424,[236 146] ; [4 4],[235.07692308 146.92307692] ; [4.92307692 3.07692308],0
a1,1,0.528306,0.397648,[ 26 357] ; [1 7],[ 26.44757033 356.55242967] ; [0.55242967 7.44757033],0
v1,1,0.600604,0.274086,[222 153] ; [4 4],[221.27937337 153.72062663] ; [4.72062663 3.27937337],0
a4,1,0.646083,0.210875,[174 207] ; [3 5],[173.35989717 207.64010283] ; [3.64010283 4.35989717],0
b4,1,0.695808,0.152869,[218 165] ; [4 4],[217.45780051 165.54219949] ; [4.54219949 3.45780051],0
p8,1,0.696854,0.151766,[262 118] ; [5 3],[261.49484536 118.50515464] ; [5.50515464 2.49484536],0
n5,1,0.70886,0.139418,[306  75] ; [6 2],[305.58354756  75.41645244] ; [6.41645244 1.58354756],0
n4,1,0.723914,0.124773,[305  76] ; [6 2],[304.60411311  76.39588689] ; [6.39588689 1.60411311],0
v3,1,0.812977,0.055974,[155 217] ; [3 5],[154.67368421 217.32631579] ; [3.32631579 4.67368421],0
b1,1,0.819549,0.052041,[159 224] ; [3 5],[158.68542199 224.31457801] ; [3.31457801 4.68542199],0
s4,1,0.837187,0.042228,[ 83 295] ; [2 6],[ 83.23834197 294.76165803] ; [1.76165803 6.23834197],0
s2,1,0.850077,0.035729,[251 131] ; [5 3],[250.74871795 131.25128205] ; [5.25128205 2.74871795],0
b3,1,0.856855,0.032536,[ 89 152] ; [2 4],[ 88.78947368 152.21052632] ; [2.21052632 3.78947368],0
b2,1,0.856855,0.032536,[ 89 152] ; [2 4],[ 88.78947368 152.21052632] ; [2.21052632 3.78947368],0
s5,1,0.875272,0.024638,[177 198] ; [4 4],[177.21932115 197.78067885] ; [3.78067885 4.21932115],0
p4,1,0.876016,0.024343,[277 105] ; [6 2],[277.19487179 104.80512821] ; [5.80512821 2.19487179],0
d2,1,0.88885,0.019533,[181 200] ; [4 4],[181.19537275 199.80462725] ; [3.80462725 4.19537275],0
a5,1,0.921077,0.009816,[293  90] ; [6 2],[292.88235294  90.11764706] ; [6.11764706 1.88235294],0
