Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000198,13.848649,[ 40 108] ; [21 14],[49.33333333 98.66666667] ; [11.66666667 23.33333333],1
n5,1,0.005157,7.823627,[95 58] ; [15 25],[87.20207254 65.79792746] ; [22.79792746 17.20207254],0
s2,1,0.011978,6.314195,[74 81] ; [28 12],[81.07692308 73.92307692] ; [20.92307692 19.07692308],0
n4,1,0.01867,5.532211,[100  53] ; [18 22],[93.54404145 59.45595855] ; [24.45595855 15.54404145],0
d5,1,0.029337,4.747757,[118  36] ; [36  3],[122.88082902  31.11917098] ; [31.11917098  7.88082902],0
d3,1,0.031881,4.604884,[98 55] ; [32  7],[103.59375  49.40625] ; [26.40625 12.59375],0
s3,1,0.066687,3.362742,[79 75] ; [27 13],[84.1443299 69.8556701] ; [21.8556701 18.1443299],0
s6,1,0.072064,3.235367,[96 57] ; [29  8],[100.65789474  52.34210526] ; [24.34210526 12.65789474],0
n1,1,0.07845,3.096717,[22 29] ; [ 3 13],[19.02985075 31.97014925] ; [ 5.97014925 10.02985075],0
p10,1,0.109353,2.563545,[78 71] ; [26 13],[82.42553191 66.57446809] ; [21.57446809 17.42553191],0
s8,1,0.126971,2.329157,[ 53 101] ; [19 21],[57.15463918 96.84536082] ; [14.84536082 25.15463918],0
a8,1,0.157771,1.995465,[ 20 120] ; [ 2 34],[ 17.5 122.5] ; [ 4.5 31.5],0
r1,1,0.17752,1.818262,[119  34] ; [27 13],[115.74093264  37.25906736] ; [30.25906736  9.74093264],0
p1,1,0.205089,1.605758,[ 10 144] ; [ 5 35],[ 11.90721649 142.09278351] ; [ 3.09278351 36.90721649],0
n3,1,0.213271,1.549084,[33 18] ; [13  3],[35.01492537 15.98507463] ; [10.98507463  5.01492537],0
r4,1,0.223485,1.481855,[132  23] ; [37  3],[134.33333333  20.66666667] ; [34.66666667  5.33333333],0
d2,1,0.229851,1.441786,[76 78] ; [24 16],[79.3814433 74.6185567] ; [20.6185567 19.3814433],0
s1,1,0.229966,1.441072,[ 12 141] ; [ 1 39],[ 10.30569948 142.69430052] ; [ 2.69430052 37.30569948],0
a2,1,0.241297,1.372999,[ 41 114] ; [ 7 33],[ 38.15384615 116.84615385] ; [ 9.84615385 30.15384615],0
b3,1,0.249354,1.326918,[25 54] ; [ 3 14],[23.04166667 55.95833333] ; [ 4.95833333 12.04166667],0
b2,1,0.249354,1.326918,[25 54] ; [ 3 14],[23.04166667 55.95833333] ; [ 4.95833333 12.04166667],0
r2,1,0.277456,1.179507,[143  11] ; [39  1],[144.4742268   9.5257732] ; [37.5257732  2.4742268],0
v4,1,0.344825,0.89241,[139  15] ; [38  2],[140.50515464  13.49484536] ; [36.49484536  3.50515464],0
p9,1,0.373188,0.793021,[95 55] ; [27 11],[97.34042553 52.65957447] ; [24.65957447 13.34042553],0
s7,1,0.388277,0.74433,[64 79] ; [19 17],[66.30726257 76.69273743] ; [16.69273743 19.30726257],0
p3,1,0.413745,0.668015,[58 95] ; [18 22],[60.24870466 92.75129534] ; [15.75129534 24.24870466],0
p8,1,0.42125,0.646826,[ 52 100] ; [11 29],[ 49.875 102.125] ; [13.125 26.875],0
v3,1,0.459743,0.546521,[50 95] ; [11 28],[48.07065217 96.92934783] ; [12.92934783 26.07065217],0
b1,1,0.500938,0.452948,[79 76] ; [18 22],[77.1025641 77.8974359] ; [19.8974359 20.1025641],0
b4,1,0.510123,0.433815,[84 71] ; [24 16],[85.84615385 69.15384615] ; [22.15384615 17.84615385],0
u3,1,0.525269,0.403536,[29 27] ; [8 5],[30.02898551 25.97101449] ; [6.97101449 6.02898551],0
