Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5e-05,16.4497,[101   9] ; [31 16],[92.48407643 17.51592357] ; [39.51592357  7.48407643],1
r4,1,0.000119,14.806835,[90 21] ; [24 23],[80.08860759 30.91139241] ; [33.91139241 13.08860759],1
n4,1,0.000547,11.947154,[71 40] ; [16 31],[61.12025316 49.87974684] ; [25.87974684 21.12025316],1
n5,1,0.001025,10.782269,[77 34] ; [19 27],[67.87261146 43.12738854] ; [28.12738854 17.87261146],0
v4,1,0.001282,10.368397,[101   9] ; [34 13],[94.58598726 15.41401274] ; [40.41401274  6.58598726],0
p11,1,0.00229,9.300937,[76 35] ; [20 27],[67.44303797 43.55696203] ; [28.55696203 18.44303797],0
p4,1,0.005047,7.8625,[56 55] ; [12 34],[48.07643312 62.92356688] ; [19.92356688 26.07643312],0
a1,1,0.012493,6.239587,[  1 110] ; [ 4 43],[  3.51265823 107.48734177] ; [ 1.48734177 45.51265823],0
p10,1,0.025105,5.016663,[74 35] ; [23 24],[67.77564103 41.22435897] ; [29.22435897 17.77564103],0
p2,1,0.033119,4.539605,[84 26] ; [28 19],[78.47133758 31.52866242] ; [33.52866242 13.47133758],0
s6,1,0.062215,3.477331,[60 50] ; [18 29],[54.64968153 55.35031847] ; [23.35031847 23.64968153],0
p9,1,0.070485,3.271699,[78 30] ; [27 20],[73.16129032 34.83870968] ; [31.83870968 15.16129032],0
d5,1,0.076966,3.127823,[66 44] ; [21 26],[60.95541401 49.04458599] ; [26.04458599 20.95541401],0
s7,1,0.097302,2.749211,[40 66] ; [11 35],[35.56578947 70.43421053] ; [15.43421053 30.56578947],0
s2,1,0.102092,2.672555,[51 60] ; [15 32],[46.36708861 64.63291139] ; [19.63291139 27.36708861],0
p3,1,0.111142,2.537902,[43 68] ; [12 35],[38.63924051 72.36075949] ; [16.36075949 30.63924051],0
a8,1,0.132153,2.267032,[15 84] ; [ 3 44],[12.20547945 86.79452055] ; [ 5.79452055 41.20547945],0
p8,1,0.140218,2.175567,[49 61] ; [15 32],[44.84076433 65.15923567] ; [19.15923567 27.84076433],0
p5,1,0.148305,2.0896,[ 9 99] ; [ 1 46],[  6.96774194 101.03225806] ; [ 3.03225806 43.96774194],0
r1,1,0.184895,1.757832,[67 44] ; [23 24],[63.2278481 47.7721519] ; [26.7721519 20.2278481],0
s4,1,0.189762,1.719461,[18 91] ; [12 35],[20.96153846 88.03846154] ; [ 9.03846154 37.96153846],0
a3,1,0.195207,1.677876,[44 64] ; [14 33],[40.41290323 67.58709677] ; [17.58709677 29.41290323],0
a7,1,0.220145,1.503423,[70 40] ; [25 22],[66.56050955 43.43949045] ; [28.43949045 18.56050955],0
r2,1,0.221595,1.494014,[96 15] ; [37 10],[93.43670886 17.56329114] ; [39.56329114  7.43670886],0
b1,1,0.234782,1.411652,[43 68] ; [23 24],[46.36708861 64.63291139] ; [19.63291139 27.36708861],0
d1,1,0.245989,1.345938,[31 80] ; [ 9 38],[28.10126582 82.89873418] ; [11.89873418 35.10126582],0
a6,1,0.251544,1.314708,[48 63] ; [25 22],[51.28481013 59.71518987] ; [21.71518987 25.28481013],0
p7,1,0.283232,1.151515,[57 51] ; [19 25],[54. 54.] ; [22. 22.],0
v3,1,0.292441,1.108351,[19 89] ; [ 5 41],[16.83116883 91.16883117] ; [ 7.16883117 38.83116883],0
s5,1,0.435396,0.608388,[28 80] ; [ 9 36],[26.11764706 81.88235294] ; [10.88235294 34.11764706],0
s1,1,0.472677,0.51571,[  6 104] ; [ 4 43],[  7.00636943 102.99363057] ; [ 2.99363057 44.00636943],0
u2,1,0.476727,0.506342,[33 33] ; [19 14],[34.66666667 31.33333333] ; [17.33333333 15.66666667],0
a4,1,0.510099,0.433864,[16 94] ; [ 5 42],[14.7133758 95.2866242] ; [ 6.2866242 40.7133758],0
d2,1,0.510691,0.432651,[24 87] ; [ 8 39],[22.48101266 88.51898734] ; [ 9.51898734 37.48101266],0
b4,1,0.510772,0.432485,[63 48] ; [24 23],[61.12025316 49.87974684] ; [25.87974684 21.12025316],0
d3,1,0.549281,0.358608,[56 54] ; [21 25],[54.29487179 55.70512821] ; [22.70512821 23.29487179],0
v1,1,0.555784,0.347057,[30 80] ; [15 32],[31.52866242 78.47133758] ; [13.47133758 33.52866242],0
d4,1,0.576926,0.31123,[68 43] ; [31 16],[69.55063291 41.44936709] ; [29.44936709 17.55063291],0
s8,1,0.595496,0.281842,[28 83] ; [10 37],[26.69620253 84.30379747] ; [11.30379747 35.69620253],0
b3,1,0.615307,0.252519,[14 44] ; [ 9 22],[14.98876404 43.01123596] ; [ 8.01123596 22.98876404],0
