Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.1e-05,18.130345,[ 53 108] ; [24  9],[63.90206186 97.09793814] ; [13.09793814 19.90206186],1
s7,1,0.000295,13.100954,[ 45 110] ; [20 12],[ 53.87700535 101.12299465] ; [11.12299465 20.87700535],1
s3,1,0.001279,10.372878,[71 87] ; [25  8],[79.41361257 78.58638743] ; [16.58638743 16.41361257],0
p11,1,0.003668,8.441177,[123  38] ; [17 16],[116.18556701  44.81443299] ; [23.81443299  9.18556701],0
s6,1,0.006831,7.316936,[80 80] ; [25  8],[87.04663212 72.95336788] ; [17.95336788 15.04663212],0
u3,1,0.008413,6.94332,[30 27] ; [12  1],[34.2 22.8] ; [7.8 5.2],0
s5,1,0.016928,5.703808,[ 36 119] ; [14 18],[ 41.44385027 113.55614973] ; [ 8.55614973 23.44385027],0
n4,1,0.025156,5.013138,[73 88] ; [ 8 25],[67.22164948 93.77835052] ; [13.77835052 19.22164948],0
u1,1,0.03501,4.444673,[ 14 147] ; [ 7 26],[ 17.42783505 143.57216495] ; [ 3.57216495 29.42783505],0
p10,1,0.075114,3.167566,[105  54] ; [27  6],[109.3125  49.6875] ; [22.6875 10.3125],0
p6,1,0.11521,2.481259,[ 40 115] ; [13 20],[ 43.69680851 111.30319149] ; [ 9.30319149 23.69680851],0
d3,1,0.146088,2.112627,[116  45] ; [27  5],[119.29015544  41.70984456] ; [23.70984456  8.29015544],0
u2,1,0.16751,1.905083,[32 25] ; [10  3],[34.2 22.8] ; [7.8 5.2],0
v2,1,0.189612,1.720629,[80 75] ; [12 19],[76.66666667 78.33333333] ; [15.33333333 15.66666667],0
v1,1,0.268345,1.225188,[63 92] ; [10 23],[60.18617021 94.81382979] ; [12.81382979 20.18617021],0
s8,1,0.295504,1.094375,[ 53 108] ; [14 19],[ 55.60309278 105.39690722] ; [11.39690722 21.60309278],0
p1,1,0.310819,1.02719,[ 11 148] ; [ 4 29],[ 12.421875 146.578125] ; [ 2.578125 30.421875],0
p8,1,0.330787,0.945813,[75 85] ; [12 20],[72.5 87.5] ; [14.5 17.5],0
a6,1,0.335416,0.927875,[103  58] ; [24  9],[105.39690722  55.60309278] ; [21.60309278 11.39690722],0
b4,1,0.340305,0.909284,[98 63] ; [23 10],[100.41752577  60.58247423] ; [20.58247423 12.41752577],0
n6,1,0.34223,0.90206,[106  54] ; [19 14],[103.62694301  56.37305699] ; [21.37305699 11.62694301],0
r2,1,0.412063,0.672841,[141  17] ; [31  2],[142.28272251  15.71727749] ; [29.71727749  3.28272251],0
d2,1,0.417271,0.657989,[ 61 100] ; [15 18],[63.07216495 97.92783505] ; [12.92783505 20.07216495],0
b5,1,0.450449,0.569521,[96 65] ; [22 11],[97.92783505 63.07216495] ; [20.07216495 12.92783505],0
r3,1,0.471665,0.518074,[151  10] ; [32  1],[151.87113402   9.12886598] ; [31.12886598  1.87113402],0
b3,1,0.505485,0.443402,[27 63] ; [ 4 14],[25.83333333 64.16666667] ; [ 5.16666667 12.83333333],0
b2,1,0.505485,0.443402,[27 63] ; [ 4 14],[25.83333333 64.16666667] ; [ 5.16666667 12.83333333],0
n3,1,0.52219,0.409566,[38 11] ; [7 1],[38.68421053 10.31578947] ; [6.31578947 1.68421053],0
n2,1,0.564536,0.331911,[31 17] ; [6 2],[31.71428571 16.28571429] ; [5.28571429 2.71428571],0
p4,1,0.594603,0.283213,[76 84] ; [14 19],[74.61139896 85.38860104] ; [15.38860104 17.61139896],0
p9,1,0.610629,0.259261,[123  37] ; [24  9],[121.86528497  38.13471503] ; [25.13471503  7.86528497],0
p7,1,0.623725,0.240667,[97 62] ; [21 11],[98.23036649 60.76963351] ; [19.76963351 12.23036649],0
a2,1,0.635485,0.224696,[ 24 137] ; [ 6 27],[ 24.89690722 136.10309278] ; [ 5.10309278 27.89690722],0
d1,1,0.657522,0.196548,[81 80] ; [18 15],[82.15979381 78.84020619] ; [16.84020619 16.15979381],0
d5,1,0.667779,0.184211,[120  41] ; [25  7],[120.95854922  40.04145078] ; [24.04145078  7.95854922],0
b1,1,0.669116,0.182638,[ 60 101] ; [11 22],[ 58.92268041 102.07731959] ; [12.07731959 20.92268041],0
a7,1,0.68557,0.163923,[126  35] ; [24  8],[125.12953368  35.87046632] ; [24.87046632  7.12953368],0
a3,1,0.7331,0.116284,[102  58] ; [20 13],[101.13989637  58.86010363] ; [20.86010363 12.13989637],0
r4,1,0.755066,0.097323,[133  28] ; [28  5],[133.61340206  27.38659794] ; [27.38659794  5.61340206],0
r1,1,0.844054,0.038695,[119  41] ; [24  9],[118.5492228  41.4507772] ; [24.4507772  8.5492228],0
a4,1,0.873269,0.025443,[ 56 105] ; [11 22],[ 55.60309278 105.39690722] ; [11.39690722 21.60309278],0
n1,1,0.873322,0.025421,[11 38] ; [2 6],[11.1754386 37.8245614] ; [1.8245614 6.1754386],0
d4,1,0.886363,0.020423,[130  31] ; [27  6],[130.29381443  30.70618557] ; [26.70618557  6.29381443],0
v4,1,0.889547,0.019287,[151   9] ; [30  2],[150.83333333   9.16666667] ; [30.16666667  1.83333333],0
v3,1,0.893776,0.01783,[ 40 113] ; [ 9 24],[ 40.30645161 112.69354839] ; [ 8.69354839 24.30645161],0
a5,1,0.916427,0.011011,[104  57] ; [21 12],[103.7371134  57.2628866] ; [21.2628866 11.7371134],0
p3,1,0.963479,0.002097,[69 92] ; [14 19],[68.8814433 92.1185567] ; [14.1185567 18.8814433],0
