Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,34.076477,[62 21] ; [ 3 24],[49.04545455 33.95454545] ; [15.95454545 11.04545455],1
r3,1,0.0,25.769004,[69 13] ; [ 9 18],[58.67889908 23.32110092] ; [19.32110092  7.67889908],1
p2,1,0.000164,14.200117,[53 30] ; [ 6 21],[44.51818182 38.48181818] ; [14.48181818 12.51818182],1
s6,1,0.000187,13.955957,[39 43] ; [ 2 25],[30.8440367 51.1559633] ; [10.1559633 16.8440367],1
r2,1,0.000339,12.843305,[73  9] ; [15 11],[66.81481481 15.18518519] ; [21.18518519  4.81481481],1
r1,1,0.000582,11.832377,[61 22] ; [10 17],[53.57272727 29.42727273] ; [17.42727273  9.57272727],1
p10,1,0.00102,10.791106,[45 35] ; [ 5 21],[37.73584906 42.26415094] ; [12.26415094 13.73584906],0
u2,1,0.001151,10.567837,[19  7] ; [ 2 10],[14.36842105 11.63157895] ; [6.63157895 5.36842105],0
p11,1,0.001212,10.471516,[45 38] ; [ 5 22],[37.72727273 45.27272727] ; [12.27272727 14.72727273],0
a1,1,0.002182,9.389859,[ 3 80] ; [ 6 21],[ 6.79090909 76.20909091] ; [ 2.20909091 24.79090909],0
p9,1,0.002217,9.360379,[52 28] ; [ 8 18],[45.28301887 34.71698113] ; [14.71698113 11.28301887],0
s3,1,0.003959,8.302477,[46 37] ; [ 6 20],[39.59633028 43.40366972] ; [12.40366972 13.59633028],0
s2,1,0.005855,7.594281,[33 50] ; [ 3 24],[27.16363636 55.83636364] ; [ 8.83636364 18.16363636],0
b5,1,0.010339,6.575553,[54 29] ; [10 17],[48.29090909 34.70909091] ; [15.70909091 11.29090909],0
d3,1,0.018613,5.537496,[51 30] ; [10 17],[45.75 35.25] ; [15.25 11.75],0
p7,1,0.021365,5.296748,[30 47] ; [ 4 23],[25.17307692 51.82692308] ; [ 8.82692308 18.17307692],0
v2,1,0.030871,4.660135,[33 44] ; [ 5 21],[28.40776699 48.59223301] ; [ 9.59223301 16.40776699],0
n3,1,0.031203,4.641758,[21  9] ; [5 9],[17.72727273 12.27272727] ; [8.27272727 5.72727273],0
s7,1,0.046322,3.969832,[25 52] ; [ 3 22],[21.1372549 55.8627451] ; [ 6.8627451 18.1372549],0
b3,1,0.047258,3.936192,[ 8 29] ; [ 9 10],[11.23214286 25.76785714] ; [ 5.76785714 13.23214286],0
b2,1,0.047258,3.936192,[ 8 29] ; [ 9 10],[11.23214286 25.76785714] ; [ 5.76785714 13.23214286],0
d5,1,0.072345,3.228994,[58 24] ; [14 13],[54.16513761 27.83486239] ; [17.83486239  9.16513761],0
d4,1,0.076235,3.143401,[63 19] ; [16 11],[59.43119266 22.56880734] ; [19.56880734  7.43119266],0
p3,1,0.11481,2.486731,[21 61] ; [ 3 24],[18.05504587 63.94495413] ; [ 5.94495413 21.05504587],0
a6,1,0.128452,2.311119,[53 29] ; [13 14],[49.65137615 32.34862385] ; [16.34862385 10.65137615],0
a5,1,0.15095,2.062621,[47 36] ; [11 16],[43.76363636 39.23636364] ; [14.23636364 12.76363636],0
p1,1,0.153451,2.03761,[ 5 77] ; [ 4 23],[ 6.7706422 75.2293578] ; [ 2.2293578 24.7706422],0
a7,1,0.171182,1.872562,[58 25] ; [15 12],[55.08181818 27.91818182] ; [17.91818182  9.08181818],0
n1,1,0.173726,1.850494,[ 9 22] ; [7 7],[11.02222222 19.97777778] ; [4.97777778 9.02222222],0
n4,1,0.182131,1.780148,[40 43] ; [17 10],[43.00909091 39.99090909] ; [13.99090909 13.00909091],0
v1,1,0.195659,1.674485,[35 45] ; [ 8 19],[32.14953271 47.85046729] ; [10.85046729 16.14953271],0
p8,1,0.223184,1.483783,[22 59] ; [ 4 22],[19.68224299 61.31775701] ; [ 6.31775701 19.68224299],0
n2,1,0.225413,1.469574,[22 10] ; [7 7],[20.17391304 11.82608696] ; [8.82608696 5.17391304],0
s1,1,0.259208,1.272984,[ 4 77] ; [ 3 24],[ 5.25 75.75] ; [ 1.75 25.25],0
p6,1,0.293273,1.104536,[12 66] ; [ 2 25],[10.4 67.6] ; [ 3.6 23.4],0
a3,1,0.361267,0.833485,[56 27] ; [15 11],[54.06422018 28.93577982] ; [16.93577982  9.06422018],0
b1,1,0.377364,0.779271,[38 45] ; [15 12],[39.99090909 43.00909091] ; [13.00909091 13.99090909],0
s5,1,0.392598,0.730879,[14 63] ; [ 3 24],[12.58653846 64.41346154] ; [ 4.41346154 22.58653846],0
d2,1,0.466736,0.529692,[30 52] ; [12 15],[31.59633028 50.40366972] ; [10.40366972 16.59633028],0
d1,1,0.480294,0.498195,[34 49] ; [ 9 18],[32.44545455 50.55454545] ; [10.55454545 16.44545455],0
v3,1,0.49377,0.468301,[19 57] ; [ 5 22],[17.70873786 58.29126214] ; [ 6.29126214 20.70873786],0
n5,1,0.586299,0.296161,[35 48] ; [13 14],[36.21818182 46.78181818] ; [11.78181818 15.21818182],0
a4,1,0.666788,0.185383,[27 56] ; [10 17],[27.91818182 55.08181818] ; [ 9.08181818 17.91818182],0
a2,1,0.707894,0.14039,[10 73] ; [ 4 23],[10.56363636 72.43636364] ; [ 3.43636364 23.56363636],0
s4,1,0.802247,0.06272,[14 69] ; [ 4 23],[13.58181818 69.41818182] ; [ 4.41818182 22.58181818],0
b4,1,0.922353,0.0095,[47 36] ; [15 12],[46.78181818 36.21818182] ; [15.21818182 11.78181818],0
a8,1,0.984222,0.000391,[ 9 71] ; [ 3 24],[ 8.97196262 71.02803738] ; [ 3.02803738 23.97196262],0
