Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.009634,6.701299,[15 28] ; [27 16],[21. 22.] ; [21. 22.],0
p3,1,0.012927,6.17912,[28 84] ; [51 76],[37.0209205 74.9790795] ; [41.9790795 85.0209205],0
r3,1,0.018227,5.574233,[96 15] ; [95 33],[88.70711297 22.29288703] ; [102.29288703  25.70711297],0
s5,1,0.01992,5.418882,[21 89] ; [40 83],[28.79828326 81.20171674] ; [32.20171674 90.79828326],0
s6,1,0.020471,5.371304,[49 64] ; [73 52],[57.92436975 55.07563025] ; [64.07563025 60.92436975],0
s2,1,0.029306,4.749573,[35 76] ; [58 70],[43.19246862 67.80753138] ; [49.80753138 78.19246862],0
a6,1,0.030441,4.684227,[73 40] ; [65 63],[64.70539419 48.29460581] ; [73.29460581 54.70539419],0
s7,1,0.04687,3.950053,[35 75] ; [51 63],[42.23214286 67.76785714] ; [43.76785714 70.23214286],0
p9,1,0.04782,3.916301,[43 67] ; [64 59],[50.51502146 59.48497854] ; [56.48497854 66.51502146],0
s8,1,0.078502,3.095644,[25 88] ; [41 86],[31.075 81.925] ; [34.925 92.075],0
r4,1,0.081654,3.031672,[86 27] ; [85 44],[79.84710744 33.15289256] ; [91.15289256 37.84710744],0
p8,1,0.10549,2.620517,[35 76] ; [28 98],[29.50632911 81.49367089] ; [33.49367089 92.50632911],0
n1,1,0.131884,2.270186,[13 30] ; [24 29],[16.57291667 26.42708333] ; [20.42708333 32.57291667],0
a1,1,0.168909,1.892598,[  6 107] ; [ 13 116],[  8.87190083 104.12809917] ; [ 10.12809917 118.87190083],0
s4,1,0.208892,1.579088,[16 97] ; [ 26 102],[19.69294606 93.30705394] ; [ 22.30705394 105.69294606],0
r2,1,0.221151,1.496885,[98 12] ; [107  21],[94.74789916 15.25210084] ; [110.25210084  17.74789916],0
n5,1,0.289735,1.120853,[61 50] ; [79 49],[65.0209205 45.9790795] ; [74.9790795 53.0209205],0
p4,1,0.291731,1.111616,[41 71] ; [55 72],[44.9874477 67.0125523] ; [51.0125523 75.9874477],0
v2,1,0.299066,1.078356,[48 62] ; [47 80],[44.092827 65.907173] ; [50.907173 76.092827],0
d5,1,0.315562,1.007254,[77 36] ; [94 33],[80.5125 32.4875] ; [90.4875 36.5125],0
n6,1,0.336063,0.925393,[75 35] ; [79 48],[71.47679325 38.52320675] ; [82.52320675 44.47679325],0
a7,1,0.358583,0.842851,[74 37] ; [78 50],[70.59414226 40.40585774] ; [81.40585774 46.59414226],0
p2,1,0.367304,0.812766,[74 39] ; [76 51],[70.625 42.375] ; [79.375 47.625],0
d3,1,0.379707,0.77165,[70 43] ; [71 55],[66.66527197 46.33472803] ; [74.33472803 51.66527197],0
u2,1,0.380564,0.768879,[17 25] ; [21 21],[19. 23.] ; [19. 23.],0
p6,1,0.396733,0.718207,[23 87] ; [32 93],[25.74468085 84.25531915] ; [29.25531915 95.74468085],0
p1,1,0.409814,0.67934,[  8 104] ; [ 13 115],[  9.8 102.2] ; [ 11.2 116.8],0
u1,1,0.430973,0.620199,[18 95] ; [ 16 113],[15.87603306 97.12396694] ; [ 18.12396694 110.87603306],0
p5,1,0.457788,0.551296,[  4 109] ; [  7 119],[  5.20083682 107.79916318] ; [  5.79916318 120.20083682],0
p7,1,0.466106,0.531192,[45 66] ; [57 69],[47.7721519 63.2278481] ; [54.2278481 71.7721519],0
r1,1,0.468719,0.524995,[78 33] ; [85 44],[75.3875 35.6125] ; [87.6125 41.3875],0
b5,1,0.476703,0.506396,[65 48] ; [80 49],[67.70661157 45.29338843] ; [77.29338843 51.70661157],0
n2,1,0.499402,0.456207,[29 15] ; [32 22],[27.3877551 16.6122449] ; [33.6122449 20.3877551],0
p12,1,0.501222,0.452348,[  2 110] ; [  4 123],[  2.81171548 109.18828452] ; [  3.18828452 123.81171548],0
n4,1,0.514155,0.425602,[66 45] ; [82 47],[68.45 42.55] ; [79.55 49.45],0
v1,1,0.532006,0.390559,[40 70] ; [52 77],[42.34309623 67.65690377] ; [49.65690377 79.34309623],0
b2,1,0.571956,0.319421,[25 51] ; [20 50],[23.42465753 52.57534247] ; [21.57534247 48.42465753],0
b3,1,0.571956,0.319421,[25 51] ; [20 50],[23.42465753 52.57534247] ; [21.57534247 48.42465753],0
a4,1,0.57609,0.312599,[45 67] ; [56 72],[47.13333333 64.86666667] ; [53.86666667 74.13333333],0
a2,1,0.627115,0.235993,[20 93] ; [ 26 103],[21.47933884 91.52066116] ; [ 24.52066116 104.47933884],0
v3,1,0.660622,0.192768,[30 78] ; [38 87],[31.5193133 76.4806867] ; [36.4806867 88.5193133],0
b4,1,0.670967,0.180473,[67 46] ; [73 56],[65.37190083 47.62809917] ; [74.62809917 54.37190083],0
a3,1,0.715889,0.132466,[70 40] ; [85 44],[71.33891213 38.66108787] ; [83.66108787 45.33891213],0
v4,1,0.718933,0.129518,[93 19] ; [104  24],[91.93333333 20.06666667] ; [105.06666667  22.93333333],0
a8,1,0.728329,0.120651,[12 86] ; [ 13 108],[11.18721461 86.81278539] ; [ 13.81278539 107.18721461],0
a5,1,0.744888,0.105877,[66 47] ; [78 51],[67.23966942 45.76033058] ; [76.76033058 52.23966942],0
d1,1,0.762357,0.091438,[53 60] ; [58 71],[51.83057851 61.16942149] ; [59.16942149 69.83057851],0
s1,1,0.824914,0.048942,[  7 103] ; [  9 118],[  7.42616034 102.57383966] ; [  8.57383966 118.42616034],0
d2,1,0.86813,0.027567,[57 55] ; [66 61],[57.64016736 54.35983264] ; [65.35983264 61.64016736],0
n3,1,0.890479,0.018961,[27 16] ; [34 19],[27.32291667 15.67708333] ; [33.67708333 19.32291667],0
s3,1,0.893969,0.017765,[51 58] ; [61 67],[51.51054852 57.48945148] ; [60.48945148 67.51054852],0
d4,1,0.983547,0.000425,[81 31] ; [92 35],[81.07112971 30.92887029] ; [91.92887029 35.07112971],0
