Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,104.754969,[45 55] ; [333  35],[80.76923077 19.23076923] ; [297.23076923  70.76923077],1
n6,1,0.0,36.534133,[68 31] ; [336  30],[86.01290323 12.98709677] ; [317.98709677  48.01290323],1
v1,1,1e-06,23.933179,[36 61] ; [234 128],[57.05882353 39.94117647] ; [212.94117647 149.05882353],1
p4,1,6.2e-05,16.044631,[54 46] ; [274  93],[70.23554604 29.76445396] ; [257.76445396 109.23554604],1
s2,1,0.000522,12.034491,[38 62] ; [210 155],[53.33333333 46.66666667] ; [194.66666667 170.33333333],1
v3,1,0.00095,10.921786,[28 68] ; [171 185],[42.26548673 53.73451327] ; [156.73451327 199.26548673],1
s6,1,0.001144,10.578758,[57 42] ; [267  92],[70.0349345 28.9650655] ; [253.9650655 105.0349345],0
s7,1,0.00123,10.444568,[39 57] ; [207 143],[52.95067265 43.04932735] ; [193.04932735 156.95067265],0
s8,1,0.002396,9.218662,[36 63] ; [195 169],[49.39308855 49.60691145] ; [181.60691145 182.39308855],0
p9,1,0.002624,9.052034,[79 21] ; [329  36],[87.74193548 12.25806452] ; [320.25806452  44.74193548],0
p10,1,0.002876,8.884534,[78 22] ; [327  39],[86.90987124 13.09012876] ; [318.09012876  47.90987124],0
p6,1,0.003049,8.777933,[35 62] ; [195 173],[47.97849462 49.02150538] ; [182.02150538 185.97849462],0
n1,1,0.00546,7.720549,[ 2 21] ; [22 32],[ 7.16883117 15.83116883] ; [16.83116883 37.16883117],0
p5,1,0.006027,7.542251,[ 6 94] ; [ 62 304],[14.59227468 85.40772532] ; [ 53.40772532 312.59227468],0
d5,1,0.010375,6.569268,[75 25] ; [313  52],[83.44086022 16.55913978] ; [304.55913978  60.44086022],0
s5,1,0.01136,6.408076,[28 69] ; [155 205],[38.84245077 58.15754923] ; [144.15754923 215.84245077],0
b3,1,0.013496,6.102872,[15 44] ; [ 99 131],[23.2733564 35.7266436] ; [ 90.7266436 139.2733564],0
b2,1,0.013496,6.102872,[15 44] ; [ 99 131],[23.2733564 35.7266436] ; [ 90.7266436 139.2733564],0
a8,1,0.013786,6.065349,[ 8 82] ; [ 66 263],[15.89498807 74.10501193] ; [ 58.10501193 270.89498807],0
p8,1,0.015014,5.914796,[59 41] ; [261 103],[68.96551724 31.03448276] ; [251.03448276 112.96551724],0
r2,1,0.024013,5.093677,[91  7] ; [357   9],[94.62068966  3.37931034] ; [353.37931034  12.62068966],0
b4,1,0.025863,4.965183,[66 34] ; [197 171],[56.1965812 43.8034188] ; [206.8034188 161.1965812],0
s1,1,0.02908,4.762855,[ 6 94] ; [  7 356],[ 2.80777538 97.19222462] ; [ 10.19222462 352.80777538],0
p3,1,0.053112,3.740377,[52 48] ; [230 137],[60.38543897 39.61456103] ; [221.61456103 145.38543897],0
u1,1,0.071219,3.254708,[15 85] ; [ 86 282],[21.58119658 78.41880342] ; [ 79.41880342 288.58119658],0
d3,1,0.073753,3.197445,[80 20] ; [260 106],[72.96137339 27.03862661] ; [267.03862661  98.96137339],0
a4,1,0.076047,3.147428,[40 60] ; [183 183],[47.85407725 52.14592275] ; [175.14592275 190.85407725],0
a2,1,0.078385,3.098071,[20 80] ; [106 262],[26.92307692 73.07692308] ; [ 99.07692308 268.92307692],0
s3,1,0.079955,3.065824,[51 47] ; [225 139],[58.54545455 39.45454545] ; [217.45454545 146.54545455],0
v4,1,0.08064,3.051955,[94  5] ; [359   7],[96.44516129  2.55483871] ; [356.55483871   9.44516129],0
n3,1,0.094641,2.793599,[21  2] ; [41 14],[18.28205128  4.71794872] ; [43.71794872 11.28205128],0
p11,1,0.108812,2.571387,[79 21] ; [315  53],[84.18803419 15.81196581] ; [309.81196581  58.18803419],0
d2,1,0.110365,2.548986,[44 56] ; [194 172],[51.07296137 48.92703863] ; [186.92703863 179.07296137],0
r4,1,0.127272,2.325466,[95  5] ; [360   8],[97.22222222  2.77777778] ; [357.77777778  10.22222222],0
p12,1,0.148863,2.083858,[ 5 95] ; [ 35 331],[ 8.58369099 91.41630901] ; [ 31.41630901 334.58369099],0
v2,1,0.156569,2.007054,[52 42] ; [226 131],[57.94235033 36.05764967] ; [220.05764967 136.94235033],0
n2,1,0.160512,1.969393,[16  7] ; [46  9],[18.28205128  4.71794872] ; [43.71794872 11.28205128],0
u3,1,0.271722,1.208032,[13 13] ; [54 33],[15.4159292 10.5840708] ; [51.5840708 35.4159292],0
d1,1,0.320425,0.987212,[59 41] ; [237 131],[63.24786325 36.75213675] ; [232.75213675 135.24786325],0
a3,1,0.323364,0.975292,[72 28] ; [281  85],[75.75107296 24.24892704] ; [277.24892704  88.75107296],0
r3,1,0.380922,0.767723,[97  3] ; [360   6],[98.06866953  1.93133047] ; [358.93133047   7.06866953],0
a5,1,0.381309,0.766477,[75 25] ; [291  77],[78.20512821 21.79487179] ; [287.79487179  80.20512821],0
p2,1,0.406752,0.688273,[88 11] ; [337  31],[90.09635974  8.90364026] ; [334.90364026  33.09635974],0
a6,1,0.410951,0.676047,[65 35] ; [253 112],[68.38709677 31.61290323] ; [249.61290323 115.38709677],0
a7,1,0.422428,0.64355,[77 23] ; [268  99],[73.875803 26.124197] ; [271.124197  95.875803],0
p1,1,0.462647,0.539483,[ 7 91] ; [ 35 332],[ 8.8516129 89.1483871] ; [ 33.1483871 333.8516129],0
s4,1,0.523214,0.407554,[19 81] ; [ 59 303],[16.88311688 83.11688312] ; [ 61.11688312 300.88311688],0
b1,1,0.583649,0.300373,[38 62] ; [151 217],[40.38461538 59.61538462] ; [148.61538462 219.38461538],0
a1,1,0.633299,0.227613,[ 4 96] ; [ 19 349],[ 4.91452991 95.08547009] ; [ 18.08547009 349.91452991],0
u2,1,0.639974,0.218776,[14 13] ; [49 37],[15.05309735 11.94690265] ; [47.94690265 38.05309735],0
d4,1,0.912342,0.012119,[85 15] ; [311  53],[85.34482759 14.65517241] ; [310.65517241  53.34482759],0
b5,1,0.944007,0.004933,[58 42] ; [212 156],[57.69230769 42.30769231] ; [212.30769231 155.69230769],0
