Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.002613,9.059462,[22 14] ; [68 11],[28.17391304  7.82608696] ; [61.82608696 17.17391304],0
r3,1,0.004132,8.22479,[27  9] ; [75  5],[31.65517241  4.34482759] ; [70.34482759  9.65517241],0
p2,1,0.006875,7.305321,[21 15] ; [64 14],[26.84210526  9.15789474] ; [58.15789474 19.84210526],0
n2,1,0.012248,6.274551,[8 5] ; [20  1],[10.70588235  2.29411765] ; [17.29411765  3.70588235],0
p7,1,0.01476,5.944841,[14 22] ; [47 27],[19.96363636 16.03636364] ; [41.03636364 32.96363636],0
p8,1,0.016787,5.718519,[ 9 27] ; [38 40],[14.84210526 21.15789474] ; [32.15789474 45.84210526],0
s8,1,0.035523,4.419877,[ 8 28] ; [34 46],[13.03448276 22.96551724] ; [28.96551724 51.03448276],0
r1,1,0.040243,4.207619,[20 16] ; [59 20],[24.73043478 11.26956522] ; [54.26956522 24.73043478],0
p4,1,0.041456,4.157265,[12 24] ; [42 36],[17.05263158 18.94736842] ; [36.94736842 41.05263158],0
v2,1,0.047486,3.928086,[11 22] ; [40 34],[15.72897196 17.27102804] ; [35.27102804 38.72897196],0
r4,1,0.06375,3.437037,[23 13] ; [64 16],[27.  9.] ; [60. 20.],0
n4,1,0.083564,2.994185,[14 22] ; [45 35],[18.31034483 17.68965517] ; [40.68965517 39.31034483],0
v4,1,0.140028,2.177656,[30  6] ; [73  6],[32.24347826  3.75652174] ; [70.75652174  8.24347826],0
s1,1,0.162052,1.954975,[ 3 33] ; [ 2 76],[ 1.57894737 34.42105263] ; [ 3.42105263 74.57894737],0
a5,1,0.166519,1.914008,[19 17] ; [53 27],[22.34482759 13.65517241] ; [49.65517241 30.34482759],0
a7,1,0.210791,1.565989,[28  8] ; [53 27],[25.13793103 10.86206897] ; [55.86206897 24.13793103],0
n1,1,0.217444,1.521162,[4 9] ; [11 10],[5.73529412 7.26470588] ; [ 9.26470588 11.73529412],0
n5,1,0.240909,1.375266,[14 21] ; [41 38],[16.88596491 18.11403509] ; [38.11403509 40.88596491],0
n3,1,0.248983,1.329003,[11  2] ; [14  7],[9.55882353 3.44117647] ; [15.44117647  5.55882353],0
a2,1,0.254007,1.301127,[ 8 28] ; [11 69],[ 5.89655172 30.10344828] ; [13.10344828 66.89655172],0
s2,1,0.279243,1.170769,[18 18] ; [31 48],[15.33913043 20.66086957] ; [33.66086957 45.33913043],0
s5,1,0.322925,0.977061,[ 9 22] ; [16 63],[ 7.04545455 23.95454545] ; [17.95454545 61.04545455],0
v3,1,0.340427,0.908824,[11 21] ; [19 56],[ 8.97196262 23.02803738] ; [21.02803738 53.97196262],0
s4,1,0.43324,0.614122,[ 7 29] ; [11 69],[ 5.5862069 30.4137931] ; [12.4137931 67.5862069],0
s7,1,0.459326,0.547535,[15 20] ; [27 49],[13.24324324 21.75675676] ; [28.75675676 47.24324324],0
p3,1,0.462987,0.538664,[12 24] ; [32 47],[13.77391304 22.22608696] ; [30.22608696 48.77391304],0
a1,1,0.485492,0.486501,[ 3 33] ; [ 4 76],[ 2.17241379 33.82758621] ; [ 4.82758621 75.17241379],0
u2,1,0.504517,0.445421,[8 4] ; [20  6],[8.84210526 3.15789474] ; [19.15789474  6.84210526],0
u3,1,0.510416,0.433215,[7 5] ; [18  8],[7.89473684 4.10526316] ; [17.10526316  8.89473684],0
p1,1,0.52147,0.410985,[ 4 32] ; [ 6 74],[ 3.10344828 32.89655172] ; [ 6.89655172 73.10344828],0
s6,1,0.547905,0.361084,[19 17] ; [47 33],[20.48275862 15.51724138] ; [45.51724138 34.48275862],0
d1,1,0.579602,0.306878,[16 20] ; [40 40],[17.37931034 18.62068966] ; [38.62068966 41.37931034],0
a4,1,0.592208,0.286909,[14 22] ; [27 53],[12.72413793 23.27586207] ; [28.27586207 51.72413793],0
b2,1,0.668255,0.18365,[ 4 12] ; [15 34],[ 4.67692308 11.32307692] ; [14.32307692 34.67692308],0
b3,1,0.668255,0.18365,[ 4 12] ; [15 34],[ 4.67692308 11.32307692] ; [14.32307692 34.67692308],0
b1,1,0.688136,0.161111,[19 17] ; [39 41],[18. 18.] ; [40. 40.],0
d3,1,0.689991,0.159095,[23 11] ; [51 29],[22.07017544 11.92982456] ; [51.92982456 28.07017544],0
p5,1,0.690162,0.15891,[ 2 34] ; [ 6 73],[ 2.50434783 33.49565217] ; [ 5.49565217 73.50434783],0
a3,1,0.703292,0.14507,[23 13] ; [54 26],[23.89655172 12.10344828] ; [53.10344828 26.89655172],0
d4,1,0.764885,0.089444,[28  7] ; [62 18],[27.39130435  7.60869565] ; [62.60869565 17.39130435],0
d5,1,0.796295,0.066639,[25 10] ; [59 21],[25.56521739  9.43478261] ; [58.43478261 21.56521739],0
