Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,66.301064,[113  14] ; [ 3 21],[97.56291391 29.43708609] ; [18.43708609  5.56291391],1
v4,1,0.005355,7.755401,[121   6] ; [19  5],[117.74834437   9.25165563] ; [22.25165563  1.74834437],0
p2,1,0.006065,7.530887,[98 29] ; [12 12],[92.51655629 34.48344371] ; [17.48344371  6.51655629],0
b1,1,0.012953,6.175573,[45 82] ; [15  9],[50.46357616 76.53642384] ; [ 9.53642384 14.46357616],0
p11,1,0.021265,5.304943,[89 38] ; [11 13],[84.10596026 42.89403974] ; [15.89403974  8.10596026],0
r2,1,0.047131,3.940702,[122   4] ; [21  3],[120.12   5.88] ; [22.88  1.12],0
s1,1,0.057559,3.606363,[  7 118] ; [ 4 20],[  9.22818792 115.77181208] ; [ 1.77181208 22.22818792],0
a7,1,0.081277,3.039184,[96 31] ; [14 10],[92.51655629 34.48344371] ; [17.48344371  6.51655629],0
p6,1,0.106747,2.601738,[29 98] ; [ 2 22],[ 26.07284768 100.92715232] ; [ 4.92715232 19.07284768],0
b5,1,0.126774,2.331574,[89 38] ; [13 11],[85.78807947 41.21192053] ; [16.21192053  7.78807947],0
s8,1,0.141721,2.15917,[73 53] ; [10 14],[69.72 56.28] ; [13.28 10.72],0
r4,1,0.141741,2.158951,[114  13] ; [19  5],[111.86092715  15.13907285] ; [21.13907285  2.86092715],0
n5,1,0.165818,1.920351,[92 35] ; [14 10],[89.15231788 37.84768212] ; [16.84768212  7.15231788],0
v2,1,0.174933,1.840151,[66 55] ; [ 9 14],[63.02083333 57.97916667] ; [11.97916667 11.02083333],0
a6,1,0.177602,1.817573,[77 50] ; [11 13],[74.01324503 52.98675497] ; [13.98675497 10.01324503],0
s4,1,0.188211,1.731563,[28 99] ; [ 8 15],[30.48 96.52] ; [ 5.52 17.48],0
r3,1,0.206748,1.594051,[120   7] ; [21  3],[118.58940397   8.41059603] ; [22.41059603  1.58940397],0
n6,1,0.220595,1.500496,[103  23] ; [17  7],[100.8  25.2] ; [19.2  4.8],0
d3,1,0.296243,1.09103,[83 44] ; [13 11],[80.74172185 46.25827815] ; [15.25827815  8.74172185],0
s5,1,0.29841,1.081286,[47 69] ; [ 7 17],[44.74285714 71.25714286] ; [ 9.25714286 14.74285714],0
r1,1,0.321203,0.984043,[93 33] ; [20  4],[94.92 31.08] ; [18.08  5.92],0
s7,1,0.350369,0.872121,[77 45] ; [11 10],[75.07692308 46.92307692] ; [12.92307692  8.07692308],0
s3,1,0.351475,0.868126,[109  17] ; [19  5],[107.52  18.48] ; [20.48  3.52],0
p1,1,0.360701,0.83545,[ 13 114] ; [ 4 20],[ 14.29801325 112.70198675] ; [ 2.70198675 21.29801325],0
a8,1,0.398885,0.711685,[ 13 103] ; [ 1 19],[ 11.94117647 104.05882353] ; [ 2.05882353 17.94117647],0
d4,1,0.404993,0.693452,[109  18] ; [19  5],[107.65562914  19.34437086] ; [20.34437086  3.65562914],0
n1,1,0.408084,0.684376,[18 19] ; [3 6],[16.89130435 20.10869565] ; [4.10869565 4.89130435],0
d2,1,0.441884,0.591384,[74 53] ; [16  8],[75.69536424 51.30463576] ; [14.30463576  9.69536424],0
b3,1,0.454246,0.560036,[25 47] ; [ 4 12],[23.72727273 48.27272727] ; [ 5.27272727 10.72727273],0
b2,1,0.454246,0.560036,[25 47] ; [ 4 12],[23.72727273 48.27272727] ; [ 5.27272727 10.72727273],0
n2,1,0.460065,0.545735,[29  8] ; [6 3],[28.15217391  8.84782609] ; [6.84782609 2.15217391],0
d1,1,0.462319,0.540274,[84 43] ; [14 10],[82.42384106 44.57615894] ; [15.57615894  8.42384106],0
a2,1,0.502498,0.449657,[29 98] ; [ 4 20],[27.75496689 99.24503311] ; [ 5.24503311 18.75496689],0
p5,1,0.505174,0.44405,[ 10 114] ; [ 1 23],[  9.21621622 114.78378378] ; [ 1.78378378 22.21621622],0
p8,1,0.528948,0.396413,[34 92] ; [ 5 19],[32.76 93.24] ; [ 6.24 17.76],0
p4,1,0.533693,0.387355,[67 60] ; [11 13],[65.60264901 61.39735099] ; [12.39735099 11.60264901],0
n4,1,0.562467,0.335451,[97 30] ; [17  7],[95.8807947 31.1192053] ; [18.1192053  5.8807947],0
v1,1,0.623963,0.240336,[66 53] ; [12 12],[64.90909091 54.09090909] ; [13.09090909 10.90909091],0
s6,1,0.663793,0.188949,[105  20] ; [21  3],[105.70469799  19.29530201] ; [20.29530201  3.70469799],0
b4,1,0.665897,0.186439,[80 47] ; [14 10],[79.05960265 47.94039735] ; [14.94039735  9.05960265],0
n3,1,0.706299,0.142002,[27 10] ; [6 3],[26.54347826 10.45652174] ; [6.45652174 2.54347826],0
a1,1,0.798432,0.065217,[  4 123] ; [ 1 23],[  4.20529801 122.79470199] ; [ 0.79470199 23.20529801],0
d5,1,0.825266,0.048743,[103  24] ; [19  5],[102.60927152  24.39072848] ; [19.39072848  4.60927152],0
v3,1,0.867467,0.027848,[44 74] ; [ 9 14],[44.35460993 73.64539007] ; [ 8.64539007 14.35460993],0
p3,1,0.870516,0.02657,[52 75] ; [ 9 14],[51.64666667 75.35333333] ; [ 9.35333333 13.64666667],0
a5,1,0.884483,0.021109,[97 30] ; [18  6],[96.7218543 30.2781457] ; [18.2781457  5.7218543],0
u3,1,0.901305,0.015379,[28 10] ; [5 2],[27.86666667 10.13333333] ; [5.13333333 1.86666667],0
