Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,23.934928,[32  6] ; [42 68],[19. 19.] ; [55. 55.],1
v1,1,0.000542,11.965663,[26 13] ; [39 73],[16.78807947 22.21192053] ; [48.21192053 63.78807947],1
p12,1,0.004527,8.059209,[ 5 34] ; [  2 111],[ 1.79605263 37.20394737] ; [  5.20394737 107.79605263],0
a7,1,0.004559,8.046608,[34  5] ; [71 42],[26.94078947 12.05921053] ; [78.05921053 34.94078947],0
p10,1,0.008338,6.959442,[36  3] ; [81 32],[30.01973684  8.98026316] ; [86.98026316 26.01973684],0
r1,1,0.013692,6.077467,[33  6] ; [71 41],[26.86092715 12.13907285] ; [77.13907285 34.86092715],0
b1,1,0.014899,5.928334,[ 6 33] ; [41 72],[12.05921053 26.94078947] ; [34.94078947 78.05921053],0
a2,1,0.018428,5.555013,[ 8 31] ; [  8 105],[ 4.10526316 34.89473684] ; [ 11.89473684 101.10526316],0
s6,1,0.0205,5.368804,[28 10] ; [59 54],[21.89403974 16.10596026] ; [65.10596026 47.89403974],0
r4,1,0.045011,4.018232,[36  3] ; [88 25],[31.81578947  7.18421053] ; [92.18421053 20.81578947],0
d3,1,0.045473,4.000995,[31  8] ; [70 43],[25.91447368 13.08552632] ; [75.08552632 37.91447368],0
u2,1,0.04823,3.901937,[10  2] ; [26 24],[6.96774194 5.03225806] ; [29.03225806 20.96774194],0
p9,1,0.056329,3.642298,[36  3] ; [89 24],[32.07236842  6.92763158] ; [92.92763158 20.07236842],0
s7,1,0.064934,3.40665,[16 21] ; [30 81],[11.5 25.5] ; [34.5 76.5],0
u1,1,0.076827,3.130779,[ 6 33] ; [  7 106],[ 3.33552632 35.66447368] ; [  9.66447368 103.33552632],0
s8,1,0.078521,3.095262,[17 22] ; [32 81],[12.57236842 26.42763158] ; [36.42763158 76.57236842],0
a5,1,0.096316,2.765518,[27 12] ; [61 52],[22.57894737 16.42105263] ; [65.42105263 47.57894737],0
a6,1,0.112028,2.525377,[29 10] ; [68 45],[24.88815789 14.11184211] ; [72.11184211 40.88815789],0
