Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.156206,[86  5] ; [25 23],[72.66906475 18.33093525] ; [38.33093525  9.66906475],1
r2,1,2.3e-05,17.947149,[88  3] ; [34 13],[80.44927536 10.55072464] ; [41.55072464  5.44927536],1
a5,1,3.6e-05,17.063895,[60 31] ; [14 34],[48.44604317 42.55395683] ; [25.55395683 22.44604317],1
v2,1,0.000378,12.637644,[47 39] ; [11 37],[37.2238806 48.7761194] ; [20.7761194 27.2238806],1
v3,1,0.000585,11.822248,[34 55] ; [ 5 43],[25.33576642 63.66423358] ; [13.66423358 34.33576642],1
s6,1,0.000773,11.304859,[58 31] ; [16 30],[48.78518519 40.21481481] ; [25.21481481 20.78518519],1
a7,1,0.000949,10.923931,[65 26] ; [20 27],[56.05072464 34.94927536] ; [28.94927536 18.05072464],1
v1,1,0.001712,9.835028,[47 42] ; [12 36],[38.32846715 50.67153285] ; [20.67153285 27.32846715],0
r3,1,0.001844,9.69879,[86  5] ; [36 11],[80.44927536 10.55072464] ; [41.55072464  5.44927536],0
n4,1,0.009495,6.727276,[72 19] ; [28 20],[65.4676259 25.5323741] ; [34.5323741 13.4676259],0
a3,1,0.010494,6.549006,[53 38] ; [17 31],[45.82733813 45.17266187] ; [24.17266187 23.82733813],0
v4,1,0.013533,6.098095,[87  3] ; [40  7],[83.43065693  6.56934307] ; [43.56934307  3.43065693],0
p10,1,0.018484,5.549658,[72 17] ; [30 18],[66.26277372 22.73722628] ; [35.73722628 12.26277372],0
n2,1,0.024497,5.059118,[23  3] ; [10  7],[19.95348837  6.04651163] ; [13.04651163  3.95348837],0
d3,1,0.025285,5.004246,[35 56] ; [ 9 37],[29.22627737 61.77372263] ; [14.77372263 31.22627737],0
p11,1,0.029074,4.763199,[74 17] ; [31 17],[68.74100719 22.25899281] ; [36.25899281 11.74100719],0
