Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000877,11.070175,[45  3] ; [37 18],[38.21359223  9.78640777] ; [43.78640777 11.21359223],1
r3,1,0.001831,9.711486,[44  5] ; [35 20],[37.22115385 11.77884615] ; [41.77884615 13.22115385],0
r4,1,0.005073,7.853261,[39 10] ; [30 26],[32.2 16.8] ; [36.8 19.2],0
p10,1,0.010586,6.533543,[15 33] ; [ 6 49],[ 9.78640777 38.21359223] ; [11.21359223 43.78640777],0
s7,1,0.01252,6.235685,[17 29] ; [ 8 45],[11.61616162 34.38383838] ; [13.38383838 39.61616162],0
p2,1,0.013116,6.153409,[32 17] ; [23 33],[25.66666667 23.33333333] ; [29.33333333 26.66666667],0
s5,1,0.053314,3.734047,[11 37] ; [ 5 50],[ 7.45631068 40.54368932] ; [ 8.54368932 46.45631068],0
s3,1,0.072666,3.221741,[25 23] ; [19 36],[20.50485437 27.49514563] ; [23.49514563 31.50485437],0
b4,1,0.113846,2.5,[32 17] ; [28 28],[28. 21.] ; [32. 24.],0
a1,1,0.129279,2.301136,[ 1 48] ; [ 5 51],[ 2.8 46.2] ; [ 3.2 52.8],0
p6,1,0.134299,2.242092,[14 35] ; [ 9 46],[10.83653846 38.16346154] ; [12.16346154 42.83653846],0
r2,1,0.156688,2.005904,[42  7] ; [41 14],[39.10576923  9.89423077] ; [43.89423077 11.10576923],0
v1,1,0.190238,1.715773,[19 30] ; [15 41],[15.86666667 33.13333333] ; [18.13333333 37.86666667],0
s8,1,0.190827,1.711221,[11 38] ; [ 7 48],[ 8.48076923 40.51923077] ; [ 9.51923077 45.48076923],0
n3,1,0.202152,1.626759,[13  3] ; [13  8],[11.24324324  4.75675676] ; [14.75675676  6.24324324],0
r1,1,0.221377,1.495425,[35 14] ; [33 22],[32.03846154 16.96153846] ; [35.96153846 19.03846154],0
s2,1,0.246963,1.340404,[17 31] ; [14 42],[14.30769231 33.69230769] ; [16.69230769 39.30769231],0
n6,1,0.264256,1.24632,[32 17] ; [30 25],[29.21153846 19.78846154] ; [32.78846154 22.21153846],0
b1,1,0.307275,1.042352,[24 25] ; [33 23],[26.6 22.4] ; [30.4 25.6],0
u3,1,0.315436,1.007777,[14 13] ; [12 19],[12.10344828 14.89655172] ; [13.89655172 17.10344828],0
b3,1,0.318845,0.99368,[ 8 23] ; [12 20],[ 9.84126984 21.15873016] ; [10.15873016 21.84126984],0
b2,1,0.318845,0.99368,[ 8 23] ; [12 20],[ 9.84126984 21.15873016] ; [10.15873016 21.84126984],0
n5,1,0.347388,0.882976,[24 25] ; [32 23],[26.38461538 22.61538462] ; [29.61538462 25.38461538],0
p5,1,0.366187,0.816564,[ 1 48] ; [ 3 52],[ 1.88461538 47.11538462] ; [ 2.11538462 52.88461538],0
u2,1,0.369712,0.804632,[14 13] ; [12 18],[12.31578947 14.68421053] ; [13.68421053 16.31578947],0
n4,1,0.437351,0.603222,[33 16] ; [33 22],[31.09615385 17.90384615] ; [34.90384615 20.09615385],0
u1,1,0.48112,0.496324,[ 2 47] ; [ 1 55],[ 1.4 47.6] ; [ 1.6 54.4],0
p7,1,0.485131,0.487307,[26 22] ; [26 29],[24.23300971 23.76699029] ; [27.76699029 27.23300971],0
