Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.017631,5.632411,[ 7 42] ; [4 4],[ 9.45614035 39.54385965] ; [1.54385965 6.45614035],0
p6,1,0.020921,5.333333,[ 4 44] ; [3 5],[ 6. 42.] ; [1. 7.],0
p11,1,0.042428,4.118034,[13 36] ; [5 3],[15.47368421 33.52631579] ; [2.52631579 5.47368421],0
v1,1,0.059099,3.5625,[14 35] ; [5 3],[16.33333333 32.66666667] ; [2.66666667 5.33333333],0
s2,1,0.069324,3.298948,[ 6 43] ; [3 5],[ 7.73684211 41.26315789] ; [1.26315789 6.73684211],0
a3,1,0.085882,2.949911,[26 21] ; [7 1],[28.2 18.8] ; [4.8 3.2],0
p5,1,0.090412,2.867021,[ 3 44] ; [2 6],[ 4.27272727 42.72727273] ; [0.72727273 7.27272727],0
n6,1,0.12663,2.333333,[22 26] ; [6 2],[24. 24.] ; [4. 4.],0
p12,1,0.136048,2.222101,[ 1 48] ; [1 7],[ 1.71929825 47.28070175] ; [0.28070175 7.71929825],0
u1,1,0.136048,2.222101,[ 1 48] ; [1 7],[ 1.71929825 47.28070175] ; [0.28070175 7.71929825],0
s6,1,0.136535,2.216588,[12 37] ; [4 4],[13.75438596 35.24561404] ; [2.24561404 5.75438596],0
n2,1,0.138792,2.191304,[10 13] ; [4 1],[11.5 11.5] ; [2.5 2.5],0
a2,1,0.150229,2.069928,[ 4 45] ; [2 6],[ 5.15789474 43.84210526] ; [0.84210526 7.15789474],0
s1,1,0.150229,2.069928,[ 4 45] ; [2 6],[ 5.15789474 43.84210526] ; [0.84210526 7.15789474],0
a5,1,0.17174,1.867687,[24 25] ; [6 2],[25.78947368 23.21052632] ; [4.21052632 3.78947368],0
b4,1,0.207623,1.587923,[30 19] ; [3 5],[28.36842105 20.63157895] ; [4.63157895 3.36842105],0
v3,1,0.218428,1.514668,[ 9 40] ; [3 5],[10.31578947 38.68421053] ; [1.68421053 6.31578947],0
r1,1,0.280789,1.163265,[15 34] ; [4 4],[16.33333333 32.66666667] ; [2.66666667 5.33333333],0
n5,1,0.290483,1.117382,[34 15] ; [7 1],[35.24561404 13.75438596] ; [5.75438596 2.24561404],0
a6,1,0.301028,1.069634,[21 28] ; [5 3],[22.35087719 26.64912281] ; [3.64912281 4.35087719],0
b5,1,0.301028,1.069634,[21 28] ; [5 3],[22.35087719 26.64912281] ; [3.64912281 4.35087719],0
d4,1,0.355233,0.854677,[27 22] ; [3 5],[25.78947368 23.21052632] ; [4.21052632 3.78947368],0
d5,1,0.355233,0.854677,[27 22] ; [3 5],[25.78947368 23.21052632] ; [4.21052632 3.78947368],0
b1,1,0.394213,0.725908,[29 20] ; [6 2],[30.0877193 18.9122807] ; [4.9122807 3.0877193],0
n4,1,0.405343,0.69242,[32 17] ; [4 4],[30.94736842 18.05263158] ; [5.05263158 2.94736842],0
p2,1,0.430223,0.622222,[17 31] ; [4 4],[18. 30.] ; [3. 5.],0
p1,1,0.440973,0.59375,[ 7 42] ; [2 6],[ 7.73684211 41.26315789] ; [1.26315789 6.73684211],0
s3,1,0.481225,0.496086,[ 8 38] ; [2 5],[ 8.67924528 37.32075472] ; [1.32075472 5.67924528],0
n3,1,0.50198,0.450747,[10 13] ; [3 2],[10.67857143 12.32142857] ; [2.32142857 2.67857143],0
p8,1,0.545972,0.364583,[13 35] ; [3 5],[13.71428571 34.28571429] ; [2.28571429 5.71428571],0
p4,1,0.545972,0.364583,[13 35] ; [3 5],[13.71428571 34.28571429] ; [2.28571429 5.71428571],0
s5,1,0.549819,0.357642,[ 8 41] ; [2 6],[ 8.59649123 40.40350877] ; [1.40350877 6.59649123],0
p10,1,0.579266,0.307422,[19 29] ; [4 4],[19.71428571 28.28571429] ; [3.28571429 4.71428571],0
b3,1,0.591119,0.2886,[13 20] ; [2 5],[12.375 20.625] ; [2.625 4.375],0
b2,1,0.591119,0.2886,[13 20] ; [2 5],[12.375 20.625] ; [2.625 4.375],0
d3,1,0.625697,0.237941,[20 29] ; [4 4],[20.63157895 28.36842105] ; [3.36842105 4.63157895],0
a7,1,0.625697,0.237941,[20 29] ; [4 4],[20.63157895 28.36842105] ; [3.36842105 4.63157895],0
d1,1,0.665912,0.186421,[16 33] ; [2 6],[15.47368421 33.52631579] ; [2.52631579 5.47368421],0
v2,1,0.680381,0.169697,[ 9 39] ; [2 6],[ 9.42857143 38.57142857] ; [1.57142857 6.42857143],0
p7,1,0.755632,0.096859,[15 32] ; [3 5],[15.38181818 31.61818182] ; [2.61818182 5.38181818],0
d2,1,0.824483,0.049188,[20 28] ; [3 5],[19.71428571 28.28571429] ; [3.28571429 4.71428571],0
r4,1,0.844462,0.03849,[ 5 44] ; [1 7],[ 5.15789474 43.84210526] ; [0.84210526 7.15789474],0
r2,1,0.849224,0.036141,[31 16] ; [5 3],[30.76363636 16.23636364] ; [5.23636364 2.76363636],0
v4,1,0.872266,0.02585,[26 23] ; [4 4],[25.78947368 23.21052632] ; [4.21052632 3.78947368],0
p9,1,0.875923,0.024379,[19 28] ; [3 5],[18.8 28.2] ; [3.2 4.8],0
n1,1,0.886731,0.02029,[10 13] ; [2 3],[ 9.85714286 13.14285714] ; [2.14285714 2.85714286],0
a4,1,0.94238,0.005224,[17 30] ; [3 5],[17.09090909 29.90909091] ; [2.90909091 5.09090909],0
p3,1,1.0,0.0,[12 36] ; [2 6],[12. 36.] ; [2. 6.],0
