Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.01134,6.411208,[8 9] ; [21 88],[ 3.91269841 13.08730159] ; [25.08730159 83.91269841],0
n4,1,0.035873,4.403144,[8 9] ; [81 31],[11.72868217  5.27131783] ; [77.27131783 34.72868217],0
a5,1,0.047852,3.915193,[ 7 10] ; [74 38],[10.6744186  6.3255814] ; [70.3255814 41.6744186],0
n5,1,0.057279,3.614478,[ 6 11] ; [67 45],[9.62015504 7.37984496] ; [63.37984496 48.62015504],0
s6,1,0.063003,3.456511,[ 5 12] ; [59 51],[8.56692913 8.43307087] ; [55.43307087 54.56692913],0
p7,1,0.085422,2.958592,[12  5] ; [53 57],[8.7007874 8.2992126] ; [56.2992126 53.7007874],0
d1,1,0.129261,2.301362,[ 5 12] ; [55 57],[7.90697674 9.09302326] ; [52.09302326 59.90697674],0
v1,1,0.16658,1.913457,[ 4 13] ; [46 66],[ 6.58914729 10.41085271] ; [43.41085271 68.58914729],0
a2,1,0.167228,1.907619,[ 1 16] ; [22 90],[ 3.03100775 13.96899225] ; [19.96899225 92.03100775],0
d3,1,0.225006,1.472152,[8 9] ; [70 42],[10.27906977  6.72093023] ; [67.72093023 44.27906977],0
s2,1,0.232086,1.428029,[ 4 13] ; [42 67],[ 6.20634921 10.79365079] ; [39.79365079 69.20634921],0
u1,1,0.239478,1.383666,[ 1 16] ; [19 93],[ 2.63565891 14.36434109] ; [17.36434109 94.63565891],0
a4,1,0.252218,1.310974,[ 4 13] ; [42 69],[ 6.109375 10.890625] ; [39.890625 71.109375],0
u3,1,0.255527,1.292829,[3 4] ; [30 16],[4.35849057 2.64150943] ; [28.64150943 17.35849057],0
p4,1,0.25818,1.278488,[10  7] ; [49 62],[7.8359375 9.1640625] ; [51.1640625 59.8359375],0
s1,1,0.274822,1.192518,[ 2 14] ; [  6 105],[ 1.00787402 14.99212598] ; [  6.99212598 104.00787402],0
b4,1,0.29228,1.10909,[9 8] ; [74 38],[10.9379845  6.0620155] ; [72.0620155 39.9379845],0
p2,1,0.328606,0.954383,[9 8] ; [73 39],[10.80620155  6.19379845] ; [71.19379845 40.80620155],0
d4,1,0.335609,0.927131,[11  6] ; [84 27],[12.6171875  4.3828125] ; [82.3828125 28.6171875],0
b5,1,0.356482,0.850247,[8 9] ; [66 46],[9.75193798 7.24806202] ; [64.24806202 47.75193798],0
p11,1,0.356482,0.850247,[8 9] ; [66 46],[9.75193798 7.24806202] ; [64.24806202 47.75193798],0
s8,1,0.443109,0.588219,[ 6 11] ; [29 81],[ 4.68503937 12.31496063] ; [30.31496063 79.68503937],0
a8,1,0.451251,0.567508,[ 1 16] ; [12 87],[ 1.90517241 15.09482759] ; [11.09482759 87.90517241],0
a7,1,0.461598,0.542017,[10  7] ; [76 36],[11.33333333  5.66666667] ; [74.66666667 37.33333333],0
s3,1,0.476312,0.507295,[ 7 10] ; [56 55],[8.3671875 8.6328125] ; [54.6328125 56.3671875],0
b2,1,0.48665,0.483925,[2 9] ; [20 51],[2.95121951 8.04878049] ; [19.04878049 51.95121951],0
b3,1,0.48665,0.483925,[2 9] ; [20 51],[2.95121951 8.04878049] ; [19.04878049 51.95121951],0
s4,1,0.509982,0.434104,[ 3 14] ; [13 96],[ 2.15873016 14.84126984] ; [13.84126984 95.15873016],0
s7,1,0.53804,0.379184,[ 4 12] ; [34 70],[ 5.06666667 10.93333333] ; [32.93333333 71.06666667],0
n6,1,0.565001,0.331119,[13  4] ; [78 34],[11.99224806  5.00775194] ; [79.00775194 32.99224806],0
s5,1,0.579734,0.306664,[ 4 12] ; [21 89],[ 3.17460317 12.82539683] ; [21.82539683 88.17460317],0
v3,1,0.590857,0.289008,[ 5 12] ; [39 69],[ 5.984 11.016] ; [38.016 69.984],0
u2,1,0.605806,0.266328,[3 4] ; [24 21],[3.63461538 3.36538462] ; [23.36538462 21.63461538],0
p3,1,0.628787,0.233709,[ 7 10] ; [39 72],[ 6.109375 10.890625] ; [39.890625 71.109375],0
p8,1,0.661102,0.192188,[ 5 12] ; [39 73],[ 5.79844961 11.20155039] ; [38.20155039 73.79844961],0
d5,1,0.697674,0.150902,[12  5] ; [84 28],[12.65116279  4.34883721] ; [83.34883721 28.65116279],0
n3,1,0.752172,0.099715,[4 1] ; [22  8],[3.71428571 1.28571429] ; [22.28571429  7.71428571],0
n1,1,0.772525,0.083564,[1 2] ; [13 18],[1.23529412 1.76470588] ; [12.76470588 18.23529412],0
a1,1,0.795866,0.066926,[ 1 16] ; [  5 107],[ 0.79069767 16.20930233] ; [  5.20930233 106.79069767],0
p10,1,0.804141,0.0615,[ 4 13] ; [29 81],[ 4.41732283 12.58267717] ; [28.58267717 81.41732283],0
d2,1,0.821204,0.051075,[8 9] ; [56 56],[8.43410853 8.56589147] ; [55.56589147 56.43410853],0
v2,1,0.85621,0.032834,[ 7 10] ; [47 61],[7.344 9.656] ; [46.656 61.344],0
a6,1,0.860823,0.030739,[11  6] ; [70 42],[10.6744186  6.3255814] ; [70.3255814 41.6744186],0
b1,1,0.896122,0.017046,[10  7] ; [64 48],[9.75193798 7.24806202] ; [64.24806202 47.75193798],0
v4,1,0.942655,0.005174,[16  1] ; [104   6],[16.06299213  0.93700787] ; [103.93700787   6.06299213],0
a3,1,0.993455,6.7e-05,[10  7] ; [66 46],[10.01550388  6.98449612] ; [65.98449612 46.01550388],0
