Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7e-06,20.214026,[ 63 102] ; [45 18],[78.15789474 86.84210526] ; [29.84210526 33.15789474],1
s6,1,1.3e-05,18.967057,[87 78] ; [53 10],[101.31578947  63.68421053] ; [38.68421053 24.31578947],1
s7,1,0.001788,9.755447,[ 54 107] ; [34 26],[64.10859729 96.89140271] ; [23.89140271 36.10859729],0
p5,1,0.002935,8.847317,[  7 157] ; [10 53],[ 12.28193833 151.71806167] ; [ 4.71806167 58.28193833],0
p12,1,0.007772,7.085286,[ 10 155] ; [11 52],[ 15.19736842 149.80263158] ; [ 5.80263158 57.19736842],0
s4,1,0.009193,6.785014,[ 18 148] ; [15 46],[ 24.13215859 141.86784141] ; [ 8.86784141 52.13215859],0
s3,1,0.010337,6.575897,[77 89] ; [40 21],[85.55947137 80.44052863] ; [31.44052863 29.55947137],0
p11,1,0.018651,5.533984,[137  29] ; [43 20],[130.48034934  35.51965066] ; [49.51965066 13.48034934],0
s8,1,0.021544,5.282212,[ 53 113] ; [30 32],[ 60.42982456 105.57017544] ; [22.57017544 39.42982456],0
p6,1,0.023594,5.124243,[ 20 146] ; [15 47],[ 25.48245614 140.51754386] ; [ 9.51754386 52.48245614],0
d4,1,0.024074,5.089266,[125  41] ; [56  7],[131.20524017  34.79475983] ; [49.79475983 13.20524017],0
p3,1,0.047881,3.914145,[ 48 117] ; [27 36],[ 54.27631579 110.72368421] ; [20.72368421 42.27631579],0
d2,1,0.054198,3.706597,[70 96] ; [35 27],[76.44736842 89.55263158] ; [28.55263158 33.44736842],0
d1,1,0.080439,3.056016,[84 82] ; [40 23],[89.88646288 76.11353712] ; [34.11353712 28.88646288],0
r3,1,0.096492,2.762592,[155  10] ; [55  8],[151.97368421  13.02631579] ; [58.02631579  4.97368421],0
n1,1,0.098265,2.733475,[16 29] ; [11  8],[18.984375 26.015625] ; [ 8.015625 10.984375],0
a4,1,0.122079,2.390442,[ 63 103] ; [31 32],[68.13973799 97.86026201] ; [25.86026201 37.13973799],0
d5,1,0.129283,2.301098,[121  45] ; [52 11],[125.40611354  40.59388646] ; [47.59388646 15.40611354],0
p1,1,0.138838,2.190793,[ 13 153] ; [ 9 54],[ 15.94759825 150.05240175] ; [ 6.05240175 56.94759825],0
a3,1,0.140604,2.171336,[104  62] ; [46 17],[108.73362445  57.26637555] ; [41.26637555 21.73362445],0
s1,1,0.142583,2.149862,[  4 161] ; [ 4 58],[  5.81497797 159.18502203] ; [ 2.18502203 59.81497797],0
a8,1,0.180317,1.795008,[ 14 142] ; [ 2 55],[ 11.71830986 144.28169014] ; [ 4.28169014 52.71830986],0
p4,1,0.180459,1.793839,[68 98] ; [32 31],[72.48908297 93.51091703] ; [27.51091703 35.48908297],0
a2,1,0.187697,1.735601,[ 27 139] ; [15 48],[ 30.44541485 135.55458515] ; [11.55458515 51.44541485],0
n5,1,0.211191,1.563244,[126  39] ; [43 20],[122.30263158  42.69736842] ; [46.69736842 16.30263158],0
a1,1,0.211285,1.5626,[  3 163] ; [ 3 60],[  4.34934498 161.65065502] ; [ 1.65065502 61.34934498],0
b4,1,0.213418,1.548089,[104  62] ; [45 18],[108.00873362  57.99126638] ; [40.99126638 22.00873362],0
