Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,117.777172,[285 108] ; [ 48 143],[224.09075342 168.90924658] ; [108.90924658  82.09075342],1
p6,1,0.0,61.860739,[193 197] ; [ 30 161],[149.69018933 240.30981067] ; [ 73.30981067 117.69018933],1
p4,1,0.0,56.785641,[295 101] ; [ 82 110],[253.89795918 142.10204082] ; [123.10204082  68.89795918],1
p3,1,0.0,50.201019,[247 149] ; [ 60 132],[206.75510204 189.24489796] ; [100.24489796  91.75510204],1
p2,1,0.0,43.233823,[368  26] ; [142  50],[342.90102389  51.09897611] ; [167.09897611  24.90102389],1
s7,1,1.1e-05,19.247308,[216 167] ; [ 68 117],[191.5 191.5] ; [92.5 92.5],1
p10,1,0.000106,15.017969,[357  37] ; [151  40],[342.14017094  51.85982906] ; [165.85982906  25.14017094],1
s8,1,0.00013,14.645083,[205 190] ; [ 67 124],[183.3447099 211.6552901] ; [ 88.6552901 102.3447099],1
s5,1,0.000155,14.315307,[154 231] ; [ 43 138],[134.00176678 250.99823322] ; [ 62.99823322 118.00176678],1
r1,1,0.000191,13.920245,[338  57] ; [139  52],[321.52730375  73.47269625] ; [155.47269625  35.52730375],1
p5,1,0.000208,13.754375,[ 64 331] ; [ 10 179],[ 50.05136986 344.94863014] ; [ 23.94863014 165.05136986],1
v1,1,0.000522,12.033813,[239 149] ; [84 98],[219.86666667 168.13333333] ; [103.13333333  78.86666667],1
v4,1,0.000597,11.783966,[381  11] ; [174  18],[372.53424658  19.46575342] ; [182.46575342   9.53424658],1
r4,1,0.001848,9.694884,[372  25] ; [165  27],[361.95076401  35.04923599] ; [175.04923599  16.95076401],0
s6,1,0.001949,9.597059,[276 111] ; [111  79],[259.56499133 127.43500867] ; [127.43500867  62.56499133],0
v3,1,0.004577,8.039557,[174 208] ; [ 60 122],[158.4893617 223.5106383] ; [ 75.5106383 106.4893617],0
s2,1,0.017608,5.634779,[218 175] ; [ 85 104],[204.60309278 188.39690722] ; [98.39690722 90.60309278],0
v2,1,0.018803,5.519746,[245 140] ; [97 85],[232.22222222 152.77777778] ; [109.77777778  72.22222222],0
s3,1,0.028032,4.826105,[232 157] ; [95 95],[219.69430052 169.30569948] ; [107.30569948  82.69430052],0
a8,1,0.030006,4.708926,[ 64 296] ; [ 19 160],[ 55.43599258 304.56400742] ; [ 27.56400742 151.43599258],0
p9,1,0.030007,4.708897,[360  35] ; [161  28],[352.38869863  42.61130137] ; [168.61130137  20.38869863],0
a3,1,0.033693,4.510227,[312  84] ; [136  56],[301.71428571  94.28571429] ; [146.28571429  45.71428571],0
b4,1,0.042758,4.10495,[228 169] ; [127  65],[239.27843803 157.72156197] ; [115.72156197  76.27843803],0
n5,1,0.051628,3.787789,[312  83] ; [137  54],[302.65358362  92.34641638] ; [146.34641638  44.65358362],0
d3,1,0.059997,3.537479,[315  82] ; [139  53],[306.00679117  90.99320883] ; [147.99320883  44.00679117],0
n1,1,0.082736,3.010312,[17 47] ; [21 29],[21.33333333 42.66666667] ; [16.66666667 33.33333333],0
