Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,89.332865,[ 3 66] ; [197  96],[38.12154696 30.87845304] ; [161.87845304 131.12154696],1
d3,1,0.0,75.52377,[16 52] ; [229  64],[46.14958449 21.85041551] ; [198.85041551  94.14958449],1
d5,1,0.0,56.170603,[35 33] ; [263  30],[56.13296399 11.86703601] ; [241.86703601  51.13296399],1
d2,1,0.000402,12.520648,[18 51] ; [145 147],[31.15512465 37.84487535] ; [131.84487535 160.15512465],1
u1,1,0.001329,10.302478,[ 2 67] ; [ 54 239],[10.67403315 58.32596685] ; [ 45.32596685 247.67403315],0
a5,1,0.002623,9.05244,[41 28] ; [226  67],[50.89226519 18.10773481] ; [216.10773481  76.89226519],0
a4,1,0.004354,8.129914,[20 49] ; [140 152],[30.58171745 38.41828255] ; [129.41828255 162.58171745],0
a3,1,0.009563,6.71446,[38 31] ; [208  84],[47.01939058 21.98060942] ; [198.98060942  93.01939058],0
b4,1,0.021962,5.248772,[30 39] ; [172 121],[38.50276243 30.49723757] ; [163.49723757 129.50276243],0
v2,1,0.02736,4.86797,[28 36] ; [169 118],[35.92022792 28.07977208] ; [161.07977208 125.92022792],0
p12,1,0.077909,3.107983,[ 6 62] ; [ 11 280],[ 3.22005571 64.77994429] ; [ 13.77994429 277.22005571],0
v1,1,0.083427,2.996845,[29 39] ; [158 133],[35.42061281 32.57938719] ; [151.57938719 139.42061281],0
a7,1,0.091538,2.847112,[45 23] ; [223  70],[50.48199446 17.51800554] ; [217.51800554  75.48199446],0
r3,1,0.105525,2.619993,[66  3] ; [289   4],[67.66574586  1.33425414] ; [287.33425414   5.66574586],0
a2,1,0.11316,2.50952,[10 59] ; [ 68 225],[14.86740331 54.13259669] ; [ 63.13259669 229.86740331],0
p1,1,0.116629,2.462021,[ 8 61] ; [ 18 274],[ 4.96952909 64.03047091] ; [ 21.03047091 270.96952909],0
r1,1,0.140829,2.168882,[53 16] ; [246  46],[57.14958449 11.85041551] ; [241.85041551  50.14958449],0
n4,1,0.154096,2.031225,[46 23] ; [220  73],[50.70165746 18.29834254] ; [215.29834254  77.70165746],0
p3,1,0.154135,2.030839,[38 31] ; [133 159],[32.68421053 36.31578947] ; [138.31578947 153.68421053],0
n6,1,0.173801,1.849848,[54 15] ; [249  44],[57.75414365 11.24585635] ; [245.24585635  47.75414365],0
v3,1,0.179712,1.800005,[20 47] ; [109 173],[24.76504298 42.23495702] ; [104.23495702 177.76504298],0
a1,1,0.246896,1.340783,[ 1 68] ; [ 13 280],[ 2.66850829 66.33149171] ; [ 11.33149171 281.66850829],0
p2,1,0.278024,1.176722,[52 17] ; [237  55],[55.23822715 13.76177285] ; [233.76177285  58.23822715],0
b5,1,0.326375,0.963226,[47 22] ; [181 112],[43.45856354 25.54143646] ; [184.54143646 108.45856354],0
p10,1,0.331714,0.942193,[49 18] ; [228  62],[51.9859944 15.0140056] ; [225.0140056  64.9859944],0
n3,1,0.337191,0.92108,[14  3] ; [46 19],[12.43902439  4.56097561] ; [47.56097561 17.43902439],0
