Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,34.008917,[16 59] ; [21  3],[28.03030303 46.96969697] ; [ 8.96969697 15.03030303],1
s3,1,0.0,29.452582,[14 60] ; [19  5],[24.91836735 49.08163265] ; [ 8.08163265 15.91836735],1
s8,1,0.000256,13.36429,[ 7 68] ; [10 14],[12.87878788 62.12121212] ; [ 4.12121212 19.87878788],1
s7,1,0.002044,9.509349,[13 57] ; [11 10],[18.46153846 51.53846154] ; [ 5.53846154 15.46153846],0
v1,1,0.004075,8.25,[15 60] ; [12 12],[20.45454545 54.54545455] ; [ 6.54545455 17.45454545],0
s4,1,0.006192,7.493588,[ 8 67] ; [ 8 15],[12.24489796 62.75510204] ; [ 3.75510204 19.24489796],0
p3,1,0.006856,7.31033,[10 64] ; [ 9 14],[14.49484536 59.50515464] ; [ 4.50515464 18.49484536],0
p4,1,0.021054,5.322282,[16 58] ; [11 13],[20.3877551 53.6122449] ; [ 6.6122449 17.3877551],0
r4,1,0.024781,5.039142,[40 35] ; [19  5],[44.6969697 30.3030303] ; [14.3030303  9.6969697],0
a6,1,0.067752,3.336659,[50 25] ; [11 13],[46.21212121 28.78787879] ; [14.78787879  9.21212121],0
d2,1,0.068112,3.327944,[33 40] ; [16  8],[36.87628866 36.12371134] ; [12.12371134 11.87628866],0
r3,1,0.073189,3.210001,[51 23] ; [21  3],[54.36734694 19.63265306] ; [17.63265306  6.36734694],0
s1,1,0.079967,3.065566,[ 4 70] ; [ 4 20],[ 6.04081633 67.95918367] ; [ 1.95918367 22.04081633],0
p8,1,0.081644,3.031875,[ 6 69] ; [ 5 19],[ 8.33333333 66.66666667] ; [ 2.66666667 21.33333333],0
r1,1,0.094901,2.789217,[49 26] ; [20  4],[52.27272727 22.72727273] ; [16.72727273  7.27272727],0
a5,1,0.097306,2.749154,[42 33] ; [18  6],[45.45454545 29.54545455] ; [14.54545455  9.45454545],0
s5,1,0.115874,2.472225,[11 63] ; [ 7 17],[13.59183673 60.40816327] ; [ 4.40816327 19.59183673],0
n6,1,0.161667,1.95856,[41 34] ; [17  7],[43.93939394 31.06060606] ; [14.06060606  9.93939394],0
u3,1,0.180521,1.793331,[13 17] ; [5 2],[14.59459459 15.40540541] ; [3.40540541 3.59459459],0
v3,1,0.19087,1.710891,[18 54] ; [ 9 14],[20.46315789 51.53684211] ; [ 6.53684211 16.46315789],0
p2,1,0.221811,1.492615,[27 48] ; [12 12],[29.54545455 45.45454545] ; [ 9.45454545 14.54545455],0
b3,1,0.233038,1.422222,[20 28] ; [ 4 12],[18. 30.] ; [ 6. 10.],0
b2,1,0.233038,1.422222,[20 28] ; [ 4 12],[18. 30.] ; [ 6. 10.],0
b1,1,0.260889,1.264032,[37 38] ; [15  9],[39.39393939 35.60606061] ; [12.60606061 11.39393939],0
u1,1,0.27972,1.16845,[ 9 66] ; [ 5 19],[10.60606061 64.39393939] ; [ 3.39393939 20.60606061],0
d1,1,0.319742,0.99,[35 40] ; [14 10],[37.12121212 37.87878788] ; [11.87878788 12.12121212],0
u2,1,0.320428,0.987201,[11 19] ; [4 3],[12.16216216 17.83783784] ; [2.83783784 4.16216216],0
p1,1,0.331074,0.944694,[ 7 67] ; [ 4 20],[ 8.30612245 65.69387755] ; [ 2.69387755 21.30612245],0
n3,1,0.333002,0.93719,[16 17] ; [6 3],[17.28571429 15.71428571] ; [4.71428571 4.28571429],0
v4,1,0.334202,0.932545,[51 23] ; [19  5],[52.85714286 21.14285714] ; [17.14285714  6.85714286],0
a1,1,0.334993,0.9295,[ 8 67] ; [ 1 23],[ 6.81818182 68.18181818] ; [ 2.18181818 21.81818182],0
n2,1,0.370028,0.803571,[18 18] ; [6 3],[19.2 16.8] ; [4.8 4.2],0
