Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.006212,7.487822,[ 6 30] ; [9 8],[10.18867925 25.81132075] ; [ 4.81132075 12.18867925],0
a3,1,0.016301,5.770125,[12 25] ; [12  6],[16.14545455 20.85454545] ; [ 7.85454545 10.14545455],0
r4,1,0.016421,5.757222,[ 5 32] ; [ 8 11],[ 8.58928571 28.41071429] ; [ 4.41071429 14.58928571],0
a4,1,0.107162,2.595583,[ 5 32] ; [ 6 13],[ 7.26785714 29.73214286] ; [ 3.73214286 15.26785714],0
v2,1,0.124283,2.3625,[ 7 29] ; [ 7 11],[ 9.33333333 26.66666667] ; [ 4.66666667 13.33333333],0
p10,1,0.133257,2.254142,[17 19] ; [13  6],[19.63636364 16.36363636] ; [10.36363636  8.63636364],0
s8,1,0.142497,2.150782,[ 7 30] ; [ 7 12],[ 9.25 27.75] ; [ 4.75 14.25],0
n3,1,0.143235,2.142857,[11  5] ; [3 5],[9.33333333 6.66666667] ; [4.66666667 3.33333333],0
a5,1,0.15286,2.043475,[14 23] ; [11  8],[16.51785714 20.48214286] ; [ 8.48214286 10.51785714],0
a6,1,0.154414,2.0281,[17 20] ; [ 5 14],[14.53571429 22.46428571] ; [ 7.46428571 11.53571429],0
d5,1,0.207638,1.58782,[13 24] ; [10  9],[15.19642857 21.80357143] ; [ 7.80357143 11.19642857],0
p5,1,0.209334,1.576023,[ 2 34] ; [ 3 16],[ 3.27272727 32.72727273] ; [ 1.72727273 17.27272727],0
s4,1,0.218506,1.514157,[ 9 28] ; [ 2 17],[ 7.26785714 29.73214286] ; [ 3.73214286 15.26785714],0
v1,1,0.223314,1.482945,[ 8 29] ; [ 7 12],[ 9.91071429 27.08928571] ; [ 5.08928571 13.91071429],0
b2,1,0.279044,1.171739,[ 6 18] ; [4 5],[ 7.27272727 16.72727273] ; [2.72727273 6.27272727],0
b3,1,0.279044,1.171739,[ 6 18] ; [4 5],[ 7.27272727 16.72727273] ; [2.72727273 6.27272727],0
v3,1,0.299731,1.075391,[ 4 33] ; [ 4 15],[ 5.28571429 31.71428571] ; [ 2.71428571 16.28571429],0
d4,1,0.30264,1.062523,[18 19] ; [12  7],[19.82142857 17.17857143] ; [10.17857143  8.82142857],0
p7,1,0.30264,1.062523,[18 19] ; [12  7],[19.82142857 17.17857143] ; [10.17857143  8.82142857],0
d2,1,0.304686,1.053572,[ 8 29] ; [ 2 17],[ 6.60714286 30.39285714] ; [ 3.39285714 15.60714286],0
u3,1,0.326687,0.961988,[ 6 19] ; [3 4],[ 7.03125 17.96875] ; [1.96875 5.03125],0
n1,1,0.371093,0.8,[7 9] ; [2 6],[ 6. 10.] ; [3. 5.],0
a7,1,0.388822,0.742624,[15 22] ; [10  9],[16.51785714 20.48214286] ; [ 8.48214286 10.51785714],0
p4,1,0.388822,0.742624,[15 22] ; [10  9],[16.51785714 20.48214286] ; [ 8.48214286 10.51785714],0
p6,1,0.394938,0.723684,[ 6 30] ; [ 5 14],[ 7.2 28.8] ; [ 3.8 15.2],0
p2,1,0.397434,0.716075,[21 16] ; [13  6],[22.46428571 14.53571429] ; [11.53571429  7.46428571],0
b4,1,0.400079,0.708088,[19 18] ; [12  7],[20.48214286 16.51785714] ; [10.51785714  8.48214286],0
r3,1,0.461614,0.541978,[23 13] ; [14  5],[24.21818182 11.78181818] ; [12.78181818  6.21818182],0
a8,1,0.466143,0.531105,[ 5 30] ; [ 4 14],[ 5.94339623 29.05660377] ; [ 3.05660377 14.94339623],0
s1,1,0.481115,0.496334,[ 2 35] ; [ 2 17],[ 2.64285714 34.35714286] ; [ 1.35714286 17.64285714],0
n2,1,0.558185,0.342857,[10  6] ; [4 4],[9.33333333 6.66666667] ; [4.66666667 3.33333333],0
s3,1,0.592288,0.286785,[12 24] ; [ 5 14],[11.12727273 24.87272727] ; [ 5.87272727 13.12727273],0
u1,1,0.624947,0.238976,[ 1 36] ; [ 1 18],[ 1.32142857 35.67857143] ; [ 0.67857143 18.32142857],0
s5,1,0.654571,0.200186,[ 6 31] ; [ 4 15],[ 6.60714286 30.39285714] ; [ 3.39285714 15.60714286],0
p8,1,0.663491,0.189311,[13 23] ; [ 8 11],[13.74545455 22.25454545] ; [ 7.25454545 11.74545455],0
p9,1,0.663491,0.189311,[23 13] ; [11  8],[22.25454545 13.74545455] ; [11.74545455  7.25454545],0
p12,1,0.695506,0.15319,[ 3 34] ; [ 1 18],[ 2.64285714 34.35714286] ; [ 1.35714286 17.64285714],0
s6,1,0.756873,0.095846,[14 23] ; [ 8 11],[14.53571429 22.46428571] ; [ 7.46428571 11.53571429],0
v4,1,0.76875,0.086442,[21 16] ; [10  9],[20.48214286 16.51785714] ; [10.51785714  8.48214286],0
s2,1,0.783654,0.075384,[ 9 28] ; [ 4 15],[ 8.58928571 28.41071429] ; [ 4.41071429 14.58928571],0
b5,1,0.784289,0.07493,[20 17] ; [11  8],[20.48214286 16.51785714] ; [10.51785714  8.48214286],0
b1,1,0.78846,0.071991,[22 15] ; [12  7],[22.46428571 14.53571429] ; [11.53571429  7.46428571],0
p3,1,0.788888,0.071693,[11 26] ; [ 5 14],[10.57142857 26.42857143] ; [ 5.42857143 13.57142857],0
d3,1,0.886688,0.020305,[11 26] ; [ 6 13],[11.23214286 25.76785714] ; [ 5.76785714 13.23214286],0
