Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.3e-05,17.225764,[27  5] ; [ 8 18],[19.31034483 12.68965517] ; [15.68965517 10.31034483],1
a6,1,0.565534,0.330213,[22 10] ; [16 10],[20.96551724 11.03448276] ; [17.03448276  8.96551724],0
s6,1,0.570736,0.321453,[19 12] ; [14 12],[17.94736842 13.05263158] ; [15.05263158 10.94736842],0
v1,1,0.591729,0.287652,[12 20] ; [ 8 18],[11.03448276 20.96551724] ; [ 8.96551724 17.03448276],0
d2,1,0.597458,0.278846,[17 15] ; [12 14],[16. 16.] ; [13. 13.],0
p4,1,0.624989,0.238918,[21 10] ; [16 10],[20.12280702 10.87719298] ; [16.87719298  9.12280702],0
b5,1,0.639003,0.220049,[19 13] ; [17  9],[19.86206897 12.13793103] ; [16.13793103  9.86206897],0
p2,1,0.655021,0.199628,[25  7] ; [19  7],[24.27586207  7.72413793] ; [19.72413793  6.27586207],0
p7,1,0.709039,0.139239,[23  7] ; [21  5],[23.57142857  6.42857143] ; [20.42857143  5.57142857],0
u3,1,0.742787,0.107692,[6 6] ; [9 7],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
p6,1,0.761102,0.092437,[12 18] ; [ 9 16],[11.45454545 18.54545455] ; [ 9.54545455 15.45454545],0
s5,1,0.802695,0.06243,[ 5 25] ; [ 5 21],[ 5.35714286 24.64285714] ; [ 4.64285714 21.35714286],0
p1,1,0.82037,0.05156,[ 3 29] ; [ 2 24],[ 2.75862069 29.24137931] ; [ 2.24137931 23.75862069],0
b4,1,0.866973,0.028058,[19 13] ; [16 10],[19.31034483 12.68965517] ; [15.68965517 10.31034483],0
a1,1,0.881009,0.022407,[ 1 31] ; [ 1 25],[ 1.10344828 30.89655172] ; [ 0.89655172 25.10344828],0
s1,1,0.881009,0.022407,[ 1 31] ; [ 1 25],[ 1.10344828 30.89655172] ; [ 0.89655172 25.10344828],0
b1,1,0.897041,0.016744,[19 13] ; [15 11],[18.75862069 13.24137931] ; [15.24137931 10.75862069],0
p3,1,0.940265,0.005615,[14 17] ; [12 14],[14.14035088 16.85964912] ; [11.85964912 14.14035088],0
n3,1,1.0,0.0,[5 5] ; [3 3],[5. 5.] ; [3. 3.],0
