Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,8.2e-05,15.517066,[103   7] ; [73 26],[92.63157895 17.36842105] ; [83.36842105 15.63157895],1
r3,1,0.00011,14.95081,[109   1] ; [84 15],[101.57894737   8.42105263] ; [91.42105263  7.57894737],1
v3,1,0.000187,13.952789,[42 62] ; [16 81],[30.00995025 73.99004975] ; [27.99004975 69.00995025],1
v1,1,0.002363,9.243408,[52 55] ; [27 70],[41.43627451 65.56372549] ; [37.56372549 59.43627451],0
d1,1,0.003975,8.295194,[78 32] ; [51 48],[67.89473684 42.10526316] ; [61.10526316 37.89473684],0
r2,1,0.007192,7.224497,[101   6] ; [80 17],[94.93627451 12.06372549] ; [86.06372549 10.93627451],0
a3,1,0.01225,6.274254,[82 28] ; [57 41],[73.50961538 36.49038462] ; [65.49038462 32.50961538],0
a5,1,0.014372,5.991845,[81 29] ; [57 42],[72.63157895 37.36842105] ; [65.36842105 33.63157895],0
r1,1,0.032477,4.573138,[86 23] ; [65 34],[79.12980769 29.87019231] ; [71.87019231 27.12980769],0
a6,1,0.042268,4.124431,[74 36] ; [53 46],[66.84210526 43.15789474] ; [60.15789474 38.84210526],0
u1,1,0.047903,3.913374,[19 91] ; [ 8 91],[14.21052632 95.78947368] ; [12.78947368 86.21052632],0
d2,1,0.098515,2.729423,[57 53] ; [40 59],[51.05263158 58.94736842] ; [45.94736842 53.05263158],0
n6,1,0.120923,2.405319,[72 37] ; [55 44],[66.55288462 42.44711538] ; [60.44711538 38.55288462],0
a2,1,0.123329,2.374521,[22 88] ; [12 87],[17.89473684 92.10526316] ; [16.10526316 82.89473684],0
r4,1,0.153537,2.036754,[93 17] ; [76 23],[88.94736842 21.05263158] ; [80.05263158 18.94736842],0
s8,1,0.156906,2.003798,[38 72] ; [25 73],[33.31730769 76.68269231] ; [29.68269231 68.31730769],0
d3,1,0.160284,1.971545,[89 21] ; [72 27],[84.73684211 25.26315789] ; [76.26315789 22.73684211],0
p12,1,0.192237,1.700388,[  6 102] ; [ 2 96],[  4.19417476 103.80582524] ; [ 3.80582524 94.19417476],0
a7,1,0.356658,0.849628,[85 25] ; [71 28],[82.10526316 27.89473684] ; [73.89473684 25.10526316],0
n4,1,0.366907,0.814112,[49 61] ; [38 61],[45.78947368 64.21052632] ; [41.21052632 57.78947368],0
p9,1,0.382301,0.763291,[77 30] ; [65 33],[74.11707317 32.88292683] ; [67.88292683 30.11707317],0
n3,1,0.408918,0.681945,[22  8] ; [21 12],[20.47619048  9.52380952] ; [22.52380952 10.47619048],0
p1,1,0.453553,0.561758,[  7 102] ; [ 4 94],[  5.79227053 103.20772947] ; [ 5.20772947 92.79227053],0
u2,1,0.463426,0.537608,[16 12] ; [27 14],[17.44927536 10.55072464] ; [25.55072464 15.44927536],0
b3,1,0.49802,0.459152,[21 39] ; [16 39],[19.30434783 40.69565217] ; [17.69565217 37.30434783],0
b2,1,0.49802,0.459152,[21 39] ; [16 39],[19.30434783 40.69565217] ; [17.69565217 37.30434783],0
a4,1,0.523302,0.40738,[47 63] ; [38 61],[44.73684211 65.26315789] ; [40.26315789 58.73684211],0
s3,1,0.539164,0.377092,[52 56] ; [43 55],[49.80582524 58.19417476] ; [45.19417476 52.80582524],0
b4,1,0.556572,0.345674,[71 39] ; [60 39],[68.94736842 41.05263158] ; [62.05263158 36.94736842],0
p10,1,0.565239,0.330713,[69 38] ; [60 39],[67.00485437 39.99514563] ; [61.99514563 37.00485437],0
s7,1,0.574715,0.314856,[39 67] ; [30 61],[37.12690355 68.87309645] ; [31.87309645 59.12690355],0
s1,1,0.624279,0.239899,[  5 105] ; [ 6 93],[  5.78947368 104.21052632] ; [ 5.21052632 93.78947368],0
b5,1,0.633472,0.227381,[68 42] ; [58 41],[66.31578947 43.68421053] ; [59.68421053 39.31578947],0
s5,1,0.656991,0.197199,[31 71] ; [32 64],[32.45454545 69.54545455] ; [30.54545455 65.45454545],0
p11,1,0.670381,0.181156,[72 38] ; [62 37],[70.52631579 39.47368421] ; [63.47368421 35.52631579],0
s4,1,0.70238,0.146008,[21 89] ; [21 78],[22.10526316 87.89473684] ; [19.89473684 79.10526316],0
s6,1,0.719629,0.128848,[60 48] ; [52 46],[58.7184466 49.2815534] ; [53.2815534 44.7184466],0
s2,1,0.721661,0.126907,[46 64] ; [39 60],[44.73684211 65.26315789] ; [40.26315789 58.73684211],0
b1,1,0.75275,0.099234,[41 69] ; [39 60],[42.10526316 67.89473684] ; [37.89473684 61.10526316],0
v4,1,0.80204,0.062854,[97 12] ; [87 12],[96.42307692 12.57692308] ; [87.57692308 11.42307692],0
u3,1,0.820193,0.051664,[17 11] ; [26 15],[17.44927536 10.55072464] ; [25.55072464 15.44927536],0
a8,1,0.82425,0.049321,[ 6 93] ; [ 5 89],[ 5.64248705 93.35751295] ; [ 5.35751295 88.64248705],0
p3,1,0.833101,0.044406,[43 65] ; [38 61],[42.26086957 65.73913043] ; [38.73913043 60.26086957],0
p5,1,0.876029,0.024338,[  5 104] ; [ 5 94],[  5.24038462 103.75961538] ; [ 4.75961538 94.24038462],0
n1,1,0.894407,0.017617,[ 8 23] ; [ 9 24],[ 8.234375 22.765625] ; [ 8.765625 24.234375],0
a1,1,0.896082,0.017059,[  6 104] ; [ 5 94],[  5.78947368 104.21052632] ; [ 5.21052632 93.78947368],0
p8,1,0.898319,0.016329,[42 65] ; [38 61],[41.55339806 65.44660194] ; [38.44660194 60.55339806],0
p7,1,0.929292,0.007874,[55 53] ; [50 47],[55.31707317 52.68292683] ; [49.68292683 47.31707317],0
n2,1,0.960834,0.002411,[18 12] ; [20 13],[18.0952381 11.9047619] ; [19.9047619 13.0952381],0
p4,1,0.970622,0.001356,[45 63] ; [41 58],[44.86956522 63.13043478] ; [41.13043478 57.86956522],0
p2,1,0.979917,0.000634,[78 31] ; [71 28],[78.08173077 30.91826923] ; [70.91826923 28.08173077],0
p6,1,0.984832,0.000361,[28 76] ; [26 71],[27.94029851 76.05970149] ; [26.05970149 70.94029851],0
