Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,56.981242,[31 47] ; [132  19],[55.51965066 22.48034934] ; [107.48034934  43.51965066],1
r2,1,1e-06,24.723104,[55 21] ; [144   7],[66.62555066  9.37444934] ; [132.37444934  18.62555066],1
v4,1,1.3e-05,18.943002,[52 26] ; [135  15],[63.97368421 14.02631579] ; [123.02631579  26.97368421],1
r3,1,0.000124,14.733491,[53 24] ; [134  16],[63.43171806 13.56828194] ; [123.56828194  26.43171806],1
s8,1,0.000783,11.280735,[ 9 69] ; [ 48 103],[19.41484716 58.58515284] ; [ 37.58515284 113.41484716],1
d4,1,0.00113,10.601057,[48 30] ; [122  28],[58.15789474 19.84210526] ; [111.84210526  38.15789474],0
s6,1,0.001758,9.786683,[23 54] ; [77 72],[34.07079646 42.92920354] ; [65.92920354 83.07079646],0
a6,1,0.001857,9.685974,[39 39] ; [107  44],[49.72925764 28.27074236] ; [96.27074236 54.72925764],0
v2,1,0.002552,9.102904,[20 55] ; [67 73],[30.34883721 44.65116279] ; [56.65116279 83.34883721],0
d3,1,0.003812,8.371404,[34 44] ; [96 55],[44.27947598 33.72052402] ; [85.72052402 65.27947598],0
p1,1,0.005471,7.716923,[12 66] ; [  7 143],[ 6.5 71.5] ; [ 12.5 137.5],0
a5,1,0.007125,7.241206,[39 39] ; [103  48],[48.36681223 29.63318777] ; [93.63318777 57.36681223],0
p2,1,0.012441,6.246944,[34 44] ; [92 59],[42.91703057 35.08296943] ; [83.08296943 67.91703057],0
a2,1,0.014983,5.918522,[ 7 71] ; [ 33 118],[13.62445415 64.37554585] ; [ 26.37554585 124.62445415],0
d1,1,0.01832,5.565255,[27 51] ; [77 74],[35.42358079 42.57641921] ; [68.57641921 82.42358079],0
a7,1,0.020789,5.344396,[42 36] ; [104  46],[49.94736842 28.05263158] ; [96.05263158 53.94736842],0
u3,1,0.024991,5.02451,[12 22] ; [29 19],[17. 17.] ; [24. 24.],0
d5,1,0.03029,4.692742,[47 31] ; [112  39],[54.15720524 23.84279476] ; [104.84279476  46.15720524],0
a4,1,0.039591,4.235346,[24 53] ; [68 82],[31.20704846 45.79295154] ; [60.79295154 89.20704846],0
s3,1,0.051533,3.790861,[26 51] ; [70 78],[32.85333333 44.14666667] ; [63.14666667 84.85333333],0
b3,1,0.056098,3.649143,[21 20] ; [27 54],[16.13114754 24.86885246] ; [31.86885246 49.13114754],0
b2,1,0.056098,3.649143,[21 20] ; [27 54],[16.13114754 24.86885246] ; [31.86885246 49.13114754],0
a3,1,0.05681,3.628161,[44 34] ; [103  46],[50.51101322 27.48898678] ; [96.48898678 52.51101322],0
s7,1,0.06777,3.336231,[17 59] ; [49 94],[22.90410959 53.09589041] ; [43.09589041 99.90410959],0
u2,1,0.074702,3.176553,[12 22] ; [26 21],[15.95061728 18.04938272] ; [22.04938272 24.95061728],0
n4,1,0.096536,2.761854,[44 34] ; [102  49],[49.72925764 28.27074236] ; [96.27074236 54.72925764],0
a1,1,0.10326,2.654452,[ 8 70] ; [  7 144],[ 5.10917031 72.89082969] ; [  9.89082969 141.10917031],0
n1,1,0.113027,2.511378,[ 9 22] ; [26 30],[12.47126437 18.52873563] ; [22.52873563 33.47126437],0
s2,1,0.146632,2.106939,[21 57] ; [54 94],[25.88495575 52.11504425] ; [49.11504425 98.88495575],0
v1,1,0.160238,1.971981,[23 52] ; [60 89],[27.79017857 47.20982143] ; [55.20982143 93.79017857],0
n3,1,0.163012,1.946063,[16 16] ; [34 18],[19.04761905 12.95238095] ; [30.95238095 21.04761905],0
u1,1,0.260735,1.264849,[ 6 72] ; [ 19 132],[ 8.51528384 69.48471616] ; [ 16.48471616 134.51528384],0
p11,1,0.285741,1.13958,[45 33] ; [98 53],[48.70742358 29.29257642] ; [94.29257642 56.70742358],0
p12,1,0.336894,0.922214,[ 2 75] ; [  8 141],[ 3.40707965 73.59292035] ; [  6.59292035 142.40707965],0
s5,1,0.350695,0.870941,[12 62] ; [ 31 113],[14.59633028 59.40366972] ; [ 28.40366972 115.59633028],0
v3,1,0.352825,0.863271,[19 57] ; [44 98],[21.96330275 54.03669725] ; [ 41.03669725 100.96330275],0
n6,1,0.413862,0.667679,[51 27] ; [106  44],[53.71052632 24.28947368] ; [103.28947368  46.71052632],0
p10,1,0.431574,0.618585,[43 33] ; [93 57],[45.73451327 30.26548673] ; [90.26548673 59.73451327],0
s1,1,0.444041,0.585819,[ 2 75] ; [  7 142],[ 3.06637168 73.93362832] ; [  5.93362832 143.06637168],0
n2,1,0.492879,0.470235,[20 12] ; [39 17],[21.45454545 10.54545455] ; [37.54545455 18.45454545],0
d2,1,0.494881,0.465896,[34 42] ; [60 90],[31.61061947 44.38938053] ; [62.38938053 87.61061947],0
s4,1,0.553535,0.351023,[15 63] ; [ 24 125],[13.40088106 64.59911894] ; [ 25.59911894 123.40088106],0
a8,1,0.554527,0.349269,[ 5 69] ; [ 13 130],[ 6.13824885 67.86175115] ; [ 11.86175115 131.13824885],0
p6,1,0.612325,0.256804,[ 7 69] ; [ 11 140],[ 6.02643172 69.97356828] ; [ 11.97356828 139.02643172],0
p9,1,0.613606,0.254957,[47 25] ; [103  47],[48.64864865 23.35135135] ; [101.35135135  48.64864865],0
p5,1,0.624284,0.239893,[ 3 75] ; [  4 146],[ 2.39473684 75.60526316] ; [  4.60526316 145.39473684],0
b5,1,0.700996,0.147438,[46 32] ; [93 58],[47.34497817 30.65502183] ; [91.65502183 59.34497817],0
p8,1,0.757876,0.095031,[14 63] ; [ 25 126],[13.17105263 63.82894737] ; [ 25.82894737 125.17105263],0
b4,1,0.783503,0.075491,[50 28] ; [94 57],[49.04803493 28.95196507] ; [94.95196507 56.04803493],0
n5,1,0.821615,0.050836,[48 30] ; [90 60],[47.21052632 30.78947368] ; [90.78947368 59.21052632],0
p3,1,0.842627,0.039416,[ 8 69] ; [ 17 134],[ 8.44298246 68.55701754] ; [ 16.55701754 134.44298246],0
u4,1,0.978639,0.000717,[ 1 77] ; [  2 149],[ 1.02183406 76.97816594] ; [  1.97816594 149.02183406],0
b1,1,0.988939,0.000192,[29 49] ; [56 95],[28.95196507 49.04803493] ; [56.04803493 94.95196507],0
