Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,2.1e-05,18.131836,[49 22] ; [209  24],[60.25657895 10.74342105] ; [197.74342105  35.25657895],1
a3,1,3.5e-05,17.151535,[39 32] ; [187  48],[52.4379085 18.5620915] ; [173.5620915  61.4379085],1
a6,1,6.2e-05,16.047348,[35 36] ; [175  60],[48.7254902 22.2745098] ; [161.2745098  73.7254902],1
u1,1,8.3e-05,15.497153,[ 1 70] ; [ 50 185],[11.83333333 59.16666667] ; [ 39.16666667 195.83333333],1
d4,1,0.000124,14.724977,[50 20] ; [211  24],[59.90163934 10.09836066] ; [201.09836066  33.90163934],1
d5,1,0.00024,13.488782,[50 21] ; [208  27],[59.8627451 11.1372549] ; [198.1372549  36.8627451],1
r4,1,0.000278,13.210177,[54 17] ; [216  19],[62.64705882  8.35294118] ; [207.35294118  27.64705882],1
a4,1,0.001083,10.679605,[19 52] ; [114 120],[30.96065574 40.03934426] ; [102.03934426 131.96065574],0
d2,1,0.001209,10.476469,[23 47] ; [129 106],[34.8852459 35.1147541] ; [117.1147541 117.8852459],0
d1,1,0.001217,10.46459,[33 38] ; [159  76],[44.54901961 26.45098039] ; [147.45098039  87.54901961],0
s7,1,0.001664,9.887132,[19 49] ; [112 114],[30.29931973 37.70068027] ; [100.70068027 125.29931973],0
p4,1,0.001811,9.731848,[23 46] ; [128 106],[34.38613861 34.61386139] ; [116.61386139 117.38613861],0
p8,1,0.003573,8.489109,[21 49] ; [115 116],[31.62790698 38.37209302] ; [104.37209302 126.62790698],0
p3,1,0.004439,8.094932,[20 51] ; [111 124],[30.39542484 40.60457516] ; [100.60457516 134.39542484],0
p10,1,0.011668,6.360615,[48 21] ; [195  39],[55.33663366 13.66336634] ; [187.66336634  46.33663366],0
r2,1,0.015667,5.839876,[61  8] ; [221   9],[65.07692308  3.92307692] ; [216.92307692  13.07692308],0
p9,1,0.017965,5.599552,[50 19] ; [197  35],[56.62126246 12.37873754] ; [190.37873754  41.62126246],0
s5,1,0.025519,4.988322,[14 54] ; [ 80 149],[21.52188552 46.47811448] ; [ 72.47811448 156.52188552],0
s4,1,0.026612,4.915792,[15 55] ; [ 26 208],[ 9.44078947 60.55921053] ; [ 31.55921053 202.44078947],0
b2,1,0.028034,4.825946,[ 7 32] ; [54 94],[12.72192513 26.27807487] ; [48.27807487 99.72192513],0
b3,1,0.028034,4.825946,[ 7 32] ; [54 94],[12.72192513 26.27807487] ; [48.27807487 99.72192513],0
p2,1,0.032549,4.569334,[50 21] ; [193  42],[56.38235294 14.61764706] ; [186.61764706  48.38235294],0
n4,1,0.034415,4.473946,[45 25] ; [180  54],[51.80921053 18.19078947] ; [173.19078947  60.80921053],0
n5,1,0.049972,3.842403,[43 27] ; [170  61],[49.53488372 20.46511628] ; [163.46511628  67.53488372],0
r3,1,0.066283,3.372762,[66  4] ; [230   4],[68.15789474  1.84210526] ; [227.84210526   6.15789474],0
n2,1,0.072783,3.219112,[13  6] ; [41  6],[15.54545455  3.45454545] ; [38.45454545  8.54545455],0
p12,1,0.073448,3.204231,[ 1 68] ; [ 17 218],[ 4.08552632 64.91447368] ; [ 13.91447368 221.08552632],0
s2,1,0.082889,3.007321,[26 44] ; [114 119],[32.34323432 37.65676568] ; [107.65676568 125.34323432],0
v4,1,0.103351,2.653052,[63  7] ; [221  11],[65.82781457  4.17218543] ; [218.17218543  13.82781457],0
p11,1,0.138959,2.189454,[53 18] ; [194  41],[57.31045752 13.68954248] ; [189.68954248  45.31045752],0
a8,1,0.162198,1.953615,[ 6 60] ; [ 33 173],[ 9.46323529 56.53676471] ; [ 29.53676471 176.46323529],0
s8,1,0.163327,1.943153,[23 48] ; [ 97 136],[28.02631579 42.97368421] ; [ 91.97368421 141.02631579],0
s1,1,0.202449,1.62462,[ 2 68] ; [  2 229],[ 0.93023256 69.06976744] ; [  3.06976744 227.93023256],0
p7,1,0.237379,1.396092,[34 35] ; [133  99],[38.28239203 30.71760797] ; [128.71760797 103.28239203],0
d3,1,0.249662,1.325193,[46 25] ; [169  66],[49.88562092 21.11437908] ; [165.11437908  69.88562092],0
a7,1,0.259929,1.269134,[48 22] ; [177  58],[51.63934426 18.36065574] ; [173.36065574  61.63934426],0
