Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.0,33.384768,[41 10] ; [ 5 27],[28.26506024 22.73493976] ; [17.73493976 14.26506024],1
a6,1,2.5e-05,17.793967,[41 10] ; [11 21],[31.95180723 19.04819277] ; [20.04819277 11.95180723],1
a2,1,0.000686,11.527708,[18 33] ; [ 1 31],[11.6746988 39.3253012] ; [ 7.3253012 24.6746988],1
u1,1,0.012988,6.170792,[17 34] ; [ 3 29],[12.28915663 38.71084337] ; [ 7.71084337 24.28915663],0
u2,1,0.024427,5.064083,[ 3 10] ; [7 3],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
n1,1,0.025815,4.968363,[1 7] ; [7 4],[3.36842105 4.63157895] ; [4.63157895 6.36842105],0
d3,1,0.037319,4.335779,[41 10] ; [19 13],[36.86746988 14.13253012] ; [23.13253012  8.86746988],0
b4,1,0.048735,3.88446,[35 16] ; [15 17],[30.72289157 20.27710843] ; [19.27710843 12.72289157],0
b1,1,0.058595,3.576706,[21 30] ; [20 12],[25.19277108 25.80722892] ; [15.80722892 16.19277108],0
n6,1,0.059384,3.554514,[45  6] ; [23  9],[41.78313253  9.21686747] ; [26.21686747  5.78313253],0
r2,1,0.061834,3.487491,[49  2] ; [27  5],[46.69879518  4.30120482] ; [29.30120482  2.69879518],0
s6,1,0.062627,3.466406,[46  4] ; [24  7],[43.20987654  6.79012346] ; [26.79012346  4.20987654],0
p4,1,0.063739,3.43732,[46  5] ; [24  8],[43.01204819  7.98795181] ; [26.98795181  5.01204819],0
s2,1,0.110663,2.544733,[38 12] ; [19 13],[34.75609756 15.24390244] ; [22.24390244  9.75609756],0
v2,1,0.117689,2.447811,[26 24] ; [11 21],[22.56097561 27.43902439] ; [14.43902439 17.56097561],0
a1,1,0.124773,2.35636,[ 1 50] ; [ 3 29],[ 2.45783133 48.54216867] ; [ 1.54216867 30.45783133],0
n3,1,0.12707,2.327943,[7 1] ; [6 5],[5.47368421 2.52631579] ; [7.52631579 3.47368421],0
r3,1,0.130445,2.287196,[49  1] ; [29  3],[47.56097561  2.43902439] ; [30.43902439  1.56097561],0
p1,1,0.137353,2.20737,[ 4 47] ; [ 6 26],[ 6.14457831 44.85542169] ; [ 3.85542169 28.14457831],0
r4,1,0.137353,2.20737,[47  4] ; [26  6],[44.85542169  6.14457831] ; [28.14457831  3.85542169],0
s1,1,0.141866,2.157605,[ 2 49] ; [ 4 28],[ 3.68674699 47.31325301] ; [ 2.31325301 29.68674699],0
v4,1,0.141866,2.157605,[49  2] ; [28  4],[47.31325301  3.68674699] ; [29.68674699  2.31325301],0
s7,1,0.151926,2.052805,[30 20] ; [22  7],[32.91139241 17.08860759] ; [19.08860759  9.91139241],0
p12,1,0.168014,1.900573,[ 6 45] ; [ 1 31],[ 4.30120482 46.69879518] ; [ 2.69879518 29.30120482],0
n5,1,0.198228,1.655381,[40 11] ; [21 11],[37.48192771 13.51807229] ; [23.51807229  8.48192771],0
p7,1,0.215047,1.537121,[39 12] ; [28  4],[41.1686747  9.8313253] ; [25.8313253  6.1686747],0
p2,1,0.217386,1.521544,[45  6] ; [25  7],[43.01204819  7.98795181] ; [26.98795181  5.01204819],0
s3,1,0.24719,1.339113,[40 10] ; [22 10],[37.80487805 12.19512195] ; [24.19512195  7.80487805],0
r1,1,0.259569,1.271055,[42  9] ; [23  9],[39.93975904 11.06024096] ; [25.06024096  6.93975904],0
v1,1,0.28758,1.130918,[30 21] ; [15 17],[27.65060241 23.34939759] ; [17.34939759 14.65060241],0
n4,1,0.323405,0.975127,[40 11] ; [22 10],[38.09638554 12.90361446] ; [23.90361446  8.09638554],0
p9,1,0.334528,0.931288,[44  7] ; [25  7],[42.39759036  8.60240964] ; [26.60240964  5.39759036],0
n2,1,0.345099,0.891396,[5 3] ; [9 2],[5.89473684 2.10526316] ; [8.10526316 2.89473684],0
d2,1,0.392402,0.731487,[27 24] ; [20 12],[28.87951807 22.12048193] ; [18.12048193 13.87951807],0
p5,1,0.409156,0.681251,[ 8 43] ; [ 3 29],[ 6.75903614 44.24096386] ; [ 4.24096386 27.75903614],0
a5,1,0.496635,0.46212,[40 11] ; [23  9],[38.71084337 12.28915663] ; [24.28915663  7.71084337],0
p8,1,0.497416,0.460445,[33 18] ; [23  9],[34.40963855 16.59036145] ; [21.59036145 10.40963855],0
s5,1,0.550056,0.357216,[23 22] ; [18 13],[24.27631579 20.72368421] ; [16.72368421 14.27631579],0
d1,1,0.565514,0.330246,[35 16] ; [20 12],[33.79518072 17.20481928] ; [21.20481928 10.79518072],0
a3,1,0.568239,0.325638,[38 13] ; [22 10],[36.86746988 14.13253012] ; [23.13253012  8.86746988],0
p11,1,0.639253,0.21972,[39 12] ; [23  9],[38.09638554 12.90361446] ; [23.90361446  8.09638554],0
u3,1,0.672754,0.178397,[8 5] ; [7 3],[8.47826087 4.52173913] ; [6.52173913 3.47826087],0
s8,1,0.794085,0.068126,[27 24] ; [16 16],[26.42168675 24.57831325] ; [16.57831325 15.42168675],0
a8,1,0.810136,0.05772,[ 2 46] ; [ 1 31],[ 1.8 46.2] ; [ 1.2 30.8],0
v3,1,0.842158,0.039654,[17 34] ; [11 20],[17.41463415 33.58536585] ; [10.58536585 20.41463415],0
b2,1,0.873613,0.025304,[ 6 20] ; [ 6 18],[ 6.24 19.76] ; [ 5.76 18.24],0
b3,1,0.873613,0.025304,[ 6 20] ; [ 6 18],[ 6.24 19.76] ; [ 5.76 18.24],0
p10,1,0.89886,0.016155,[42  9] ; [26  6],[41.78313253  9.21686747] ; [26.21686747  5.78313253],0
a4,1,0.930709,0.007561,[26 25] ; [16 16],[25.80722892 25.19277108] ; [16.19277108 15.80722892],0
p6,1,0.960341,0.002473,[30 21] ; [19 13],[30.10843373 20.89156627] ; [18.89156627 13.10843373],0
d4,1,0.994035,5.6e-05,[43  8] ; [27  5],[43.01204819  7.98795181] ; [26.98795181  5.01204819],0
d5,1,0.994035,5.6e-05,[43  8] ; [27  5],[43.01204819  7.98795181] ; [26.98795181  5.01204819],0
