Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.002057,9.498398,[4 7] ; [24  4],[7.8974359 3.1025641] ; [20.1025641  7.8974359],0
n4,1,0.009568,6.713659,[5 6] ; [24  4],[8.17948718 2.82051282] ; [20.82051282  7.17948718],0
n6,1,0.037621,4.322078,[6 5] ; [24  4],[8.46153846 2.53846154] ; [21.53846154  6.46153846],0
a5,1,0.113556,2.504028,[4 7] ; [18 10],[6.20512821 4.79487179] ; [15.79487179 12.20512821],0
r1,1,0.124409,2.360913,[7 4] ; [24  4],[8.74358974 2.25641026] ; [22.25641026  5.74358974],0
d2,1,0.242696,1.364867,[4 7] ; [16 12],[5.64102564 5.35897436] ; [14.35897436 13.64102564],0
v3,1,0.274895,1.192157,[3 7] ; [14 14],[4.47368421 5.52631579] ; [12.52631579 15.47368421],0
d3,1,0.281984,1.157503,[5 6] ; [18 10],[6.48717949 4.51282051] ; [16.51282051 11.48717949],0
r4,1,0.306535,1.045547,[9 2] ; [26  2],[9.87179487 1.12820513] ; [25.12820513  2.87179487],0
d5,1,0.341591,0.904453,[8 3] ; [24  4],[9.02564103 1.97435897] ; [22.97435897  5.02564103],0
s7,1,0.353235,0.861801,[5 5] ; [18  9],[6.21621622 3.78378378] ; [16.78378378 10.21621622],0
u1,1,0.366273,0.816269,[ 1 10] ; [ 6 22],[1.97435897 9.02564103] ; [ 5.02564103 22.97435897],0
v1,1,0.368005,0.81039,[3 8] ; [12 16],[4.23076923 6.76923077] ; [10.76923077 17.23076923],0
s4,1,0.368955,0.807181,[3 8] ; [ 4 23],[2.02631579 8.97368421] ; [ 4.97368421 22.02631579],0
a4,1,0.383281,0.760151,[2 9] ; [ 9 19],[3.1025641 7.8974359] ; [ 7.8974359 20.1025641],0
p10,1,0.387145,0.74789,[6 5] ; [11 17],[4.79487179 6.20512821] ; [12.20512821 15.79487179],0
a3,1,0.435484,0.608154,[6 5] ; [19  9],[7.05128205 3.94871795] ; [17.94871795 10.05128205],0
p4,1,0.442068,0.590909,[7 4] ; [14 14],[5.92307692 5.07692308] ; [15.07692308 12.92307692],0
p2,1,0.477916,0.503616,[7 4] ; [21  7],[7.8974359 3.1025641] ; [20.1025641  7.8974359],0
a2,1,0.494739,0.466204,[ 1 10] ; [ 5 23],[1.69230769 9.30769231] ; [ 4.30769231 23.69230769],0
v2,1,0.507591,0.439031,[7 4] ; [14 13],[6.07894737 4.92105263] ; [14.92105263 12.07894737],0
d1,1,0.509966,0.434137,[5 6] ; [16 12],[5.92307692 5.07692308] ; [15.07692308 12.92307692],0
p11,1,0.573683,0.316558,[6 5] ; [18 10],[6.76923077 4.23076923] ; [17.23076923 10.76923077],0
a6,1,0.573683,0.316558,[6 5] ; [18 10],[6.76923077 4.23076923] ; [17.23076923 10.76923077],0
a7,1,0.573683,0.316558,[6 5] ; [18 10],[6.76923077 4.23076923] ; [17.23076923 10.76923077],0
s3,1,0.68547,0.164033,[7 4] ; [19  8],[7.52631579 3.47368421] ; [18.47368421  8.52631579],0
s6,1,0.696681,0.151948,[8 3] ; [22  6],[8.46153846 2.53846154] ; [21.53846154  6.46153846],0
p8,1,0.710644,0.137634,[4 7] ; [12 16],[4.51282051 6.48717949] ; [11.48717949 16.51282051],0
b1,1,0.766822,0.087933,[8 3] ; [19  9],[7.61538462 3.38461538] ; [19.38461538  8.61538462],0
s5,1,0.831573,0.045234,[3 8] ; [ 8 18],[3.27027027 7.72972973] ; [ 7.72972973 18.27027027],0
a1,1,0.837224,0.042208,[ 1 10] ; [ 2 26],[ 0.84615385 10.15384615] ; [ 2.15384615 25.84615385],0
s2,1,0.858273,0.031888,[7 4] ; [18  9],[7.23684211 3.76315789] ; [17.76315789  9.23684211],0
s1,1,0.861443,0.030463,[ 1 10] ; [ 2 25],[ 0.86842105 10.13157895] ; [ 2.13157895 24.86842105],0
b3,1,0.871524,0.026154,[2 7] ; [ 5 15],[2.17241379 6.82758621] ; [ 4.82758621 15.17241379],0
b2,1,0.871524,0.026154,[2 7] ; [ 5 15],[2.17241379 6.82758621] ; [ 4.82758621 15.17241379],0
p7,1,0.88012,0.022746,[6 5] ; [14 13],[5.78947368 5.21052632] ; [14.21052632 12.78947368],0
d4,1,0.883708,0.021395,[8 3] ; [21  7],[8.17948718 2.82051282] ; [20.82051282  7.17948718],0
p6,1,0.884483,0.021109,[3 8] ; [ 8 19],[3.18421053 7.81578947] ; [ 7.81578947 19.18421053],0
u2,1,0.92265,0.009428,[4 1] ; [7 2],[3.92857143 1.07142857] ; [7.07142857 1.92857143],0
b5,1,0.956212,0.003015,[6 5] ; [15 13],[5.92307692 5.07692308] ; [15.07692308 12.92307692],0
p3,1,0.969655,0.001447,[4 7] ; [10 18],[3.94871795 7.05128205] ; [10.05128205 17.94871795],0
n1,1,1.0,0.0,[1 1] ; [4 4],[1. 1.] ; [4. 4.],0
