Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.016185,5.782704,[ 2 11] ; [13 10],[5.41666667 7.58333333] ; [ 9.58333333 13.41666667],0
s7,1,0.039624,4.233924,[6 4] ; [ 5 17],[3.4375 6.5625] ; [ 7.5625 14.4375],0
a6,1,0.043829,4.063119,[5 9] ; [16  7],[7.94594595 6.05405405] ; [13.05405405  9.94594595],0
b4,1,0.058884,3.568535,[8 6] ; [ 6 17],[5.2972973 8.7027027] ; [ 8.7027027 14.2972973],0
d5,1,0.065817,3.384389,[12  2] ; [13 10],[9.45945946 4.54054054] ; [15.54054054  7.45945946],0
v3,1,0.139488,2.183598,[7 7] ; [ 6 17],[4.91891892 9.08108108] ; [ 8.08108108 14.91891892],0
n3,1,0.164264,1.934524,[1 3] ; [6 3],[2.15384615 1.84615385] ; [4.84615385 4.15384615],0
n5,1,0.173023,1.856556,[11  3] ; [13 10],[9.08108108 4.91891892] ; [14.91891892  8.08108108],0
s6,1,0.18303,1.772848,[6 8] ; [15  8],[7.94594595 6.05405405] ; [13.05405405  9.94594595],0
v2,1,0.195815,1.673318,[8 5] ; [ 9 14],[6.13888889 6.86111111] ; [10.86111111 12.13888889],0
a4,1,0.234005,1.416352,[7 7] ; [ 7 16],[5.2972973 8.7027027] ; [ 8.7027027 14.2972973],0
b1,1,0.2473,1.33849,[10  4] ; [12 11],[8.32432432 5.67567568] ; [13.67567568  9.32432432],0
p6,1,0.290588,1.116894,[6 8] ; [ 6 17],[4.54054054 9.45945946] ; [ 7.45945946 15.54054054],0
s3,1,0.318725,0.994171,[4 9] ; [11 12],[5.41666667 7.58333333] ; [ 9.58333333 13.41666667],0
s8,1,0.442703,0.589266,[6 8] ; [ 7 16],[4.91891892 9.08108108] ; [ 8.08108108 14.91891892],0
r4,1,0.442703,0.589266,[6 8] ; [ 7 16],[4.91891892 9.08108108] ; [ 8.08108108 14.91891892],0
p10,1,0.463956,0.536333,[10  3] ; [15  8],[9.02777778 3.97222222] ; [15.97222222  7.02777778],0
p5,1,0.464795,0.534323,[ 4 10] ; [ 4 18],[ 3.11111111 10.88888889] ; [ 4.88888889 17.11111111],0
a5,1,0.470774,0.520159,[9 5] ; [12 11],[7.94594595 6.05405405] ; [13.05405405  9.94594595],0
s4,1,0.574523,0.315173,[ 2 12] ; [ 5 18],[ 2.64864865 11.35135135] ; [ 4.35135135 18.64864865],0
p2,1,0.574523,0.315173,[12  2] ; [18  5],[11.35135135  2.64864865] ; [18.64864865  4.35135135],0
a7,1,0.58239,0.302386,[6 8] ; [12 11],[6.81081081 7.18918919] ; [11.18918919 11.81081081],0
u2,1,0.627477,0.235498,[4 2] ; [6 5],[3.52941176 2.47058824] ; [6.47058824 4.52941176],0
r3,1,0.638512,0.220694,[10  4] ; [18  5],[10.59459459  3.40540541] ; [17.40540541  5.59459459],0
a8,1,0.64649,0.210354,[ 1 11] ; [ 3 19],[ 1.41176471 10.58823529] ; [ 2.58823529 19.41176471],0
p8,1,0.67558,0.175144,[8 6] ; [11 11],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
d1,1,0.695487,0.153209,[ 4 10] ; [ 8 15],[4.54054054 9.45945946] ; [ 7.45945946 15.54054054],0
p7,1,0.695487,0.153209,[10  4] ; [15  8],[9.45945946 4.54054054] ; [15.54054054  7.45945946],0
p1,1,0.715379,0.132964,[ 1 13] ; [ 1 22],[ 0.75675676 13.24324324] ; [ 1.24324324 21.75675676],0
d2,1,0.739356,0.110694,[5 9] ; [ 7 16],[4.54054054 9.45945946] ; [ 7.45945946 15.54054054],0
v4,1,0.739356,0.110694,[9 5] ; [16  7],[9.45945946 4.54054054] ; [15.54054054  7.45945946],0
d4,1,0.748737,0.102595,[11  3] ; [17  6],[10.59459459  3.40540541] ; [17.40540541  5.59459459],0
n2,1,0.763824,0.090278,[3 1] ; [6 3],[2.76923077 1.23076923] ; [6.23076923 2.76923077],0
b5,1,0.768651,0.086518,[8 6] ; [12 11],[7.56756757 6.43243243] ; [12.43243243 10.56756757],0
v1,1,0.768651,0.086518,[6 8] ; [11 12],[6.43243243 7.56756757] ; [10.56756757 12.43243243],0
a3,1,0.768651,0.086518,[8 6] ; [12 11],[7.56756757 6.43243243] ; [12.43243243 10.56756757],0
b3,1,0.781867,0.076667,[2 6] ; [ 3 12],[1.73913043 6.26086957] ; [ 3.26086957 11.73913043],0
b2,1,0.781867,0.076667,[2 6] ; [ 3 12],[1.73913043 6.26086957] ; [ 3.26086957 11.73913043],0
p3,1,0.822818,0.050141,[8 6] ; [14  9],[8.32432432 5.67567568] ; [13.67567568  9.32432432],0
d3,1,0.822818,0.050141,[8 6] ; [14  9],[8.32432432 5.67567568] ; [13.67567568  9.32432432],0
n4,1,0.835388,0.043179,[9 5] ; [14  9],[8.7027027 5.2972973] ; [14.2972973  8.7027027],0
p9,1,0.841219,0.040134,[10  3] ; [17  6],[9.75 3.25] ; [17.25  5.75],0
u3,1,0.857596,0.032197,[3 3] ; [5 6],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
s5,1,0.868915,0.027237,[ 4 10] ; [ 6 17],[ 3.78378378 10.21621622] ; [ 6.21621622 16.78378378],0
n6,1,0.868915,0.027237,[10  4] ; [17  6],[10.21621622  3.78378378] ; [16.78378378  6.21621622],0
p11,1,0.868915,0.027237,[10  4] ; [17  6],[10.21621622  3.78378378] ; [16.78378378  6.21621622],0
p12,1,0.914635,0.011491,[ 2 12] ; [ 3 20],[ 1.89189189 12.10810811] ; [ 3.10810811 19.89189189],0
