Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,52.547083,[24  5] ; [17 98],[ 8.25694444 20.74305556] ; [32.74305556 82.25694444],1
s8,1,0.007656,7.112112,[13 16] ; [24 92],[ 7.4 21.6] ; [29.6 86.4],0
p12,1,0.011792,6.341874,[ 4 25] ; [  3 113],[ 1.4 27.6] ; [  5.6 110.4],0
s7,1,0.025133,5.014685,[14 15] ; [29 80],[ 9.03623188 19.96376812] ; [33.96376812 75.03623188],0
p8,1,0.047875,3.914372,[13 16] ; [74 40],[17.64335664 11.35664336] ; [69.35664336 44.64335664],0
a1,1,0.128228,2.31383,[ 2 27] ; [  2 114],[ 0.8 28.2] ; [  3.2 112.8],0
v1,1,0.173187,1.855142,[18  9] ; [60 55],[14.83098592 12.16901408] ; [63.16901408 51.83098592],0
a7,1,0.189864,1.718674,[24  5] ; [82 34],[21.2  7.8] ; [84.8 31.2],0
d2,1,0.276162,1.185879,[10 19] ; [53 63],[12.6 16.4] ; [50.4 65.6],0
d4,1,0.290393,1.117801,[24  5] ; [85 31],[21.8  7.2] ; [87.2 28.8],0
u3,1,0.297698,1.084477,[6 3] ; [18 20],[4.59574468 4.40425532] ; [19.40425532 18.59574468],0
r1,1,0.302983,1.061018,[19 10] ; [87 29],[21.2  7.8] ; [84.8 31.2],0
b5,1,0.313856,1.01438,[19 10] ; [64 52],[16.6 12.4] ; [66.4 49.6],0
b3,1,0.319871,0.989474,[10  9] ; [30 45],[ 8.08510638 10.91489362] ; [31.91489362 43.08510638],0
b2,1,0.319871,0.989474,[10  9] ; [30 45],[ 8.08510638 10.91489362] ; [31.91489362 43.08510638],0
a8,1,0.386109,0.75116,[ 4 23] ; [ 9 90],[ 2.78571429 24.21428571] ; [10.21428571 88.78571429],0
p2,1,0.387628,0.74637,[24  5] ; [102  13],[25.375  3.625] ; [100.625  14.375],0
b1,1,0.449054,0.573039,[14 15] ; [47 69],[12.2 16.8] ; [48.8 67.2],0
a4,1,0.451691,0.566406,[11 18] ; [53 63],[12.8 16.2] ; [51.2 64.8],0
s5,1,0.461741,0.54167,[ 5 22] ; [ 15 100],[ 3.8028169 23.1971831] ; [16.1971831 98.8028169],0
d5,1,0.488156,0.480587,[21  8] ; [91 25],[22.4  6.6] ; [89.6 26.4],0
r3,1,0.495415,0.464744,[25  4] ; [105  11],[26.  3.] ; [104.  12.],0
p1,1,0.495415,0.464744,[ 2 27] ; [ 13 103],[ 3. 26.] ; [ 12. 104.],0
n2,1,0.501594,0.451561,[5 1] ; [16  7],[4.34482759 1.65517241] ; [16.65517241  6.34482759],0
n4,1,0.504955,0.444507,[23  6] ; [85 31],[21.6  7.4] ; [86.4 29.6],0
v3,1,0.559565,0.340458,[11 14] ; [43 71],[ 9.71223022 15.28776978] ; [44.28776978 69.71223022],0
d1,1,0.559894,0.339887,[17 12] ; [61 55],[15.6 13.4] ; [62.4 53.6],0
b4,1,0.559894,0.339887,[17 12] ; [61 55],[15.6 13.4] ; [62.4 53.6],0
v4,1,0.585345,0.297673,[28  1] ; [109   7],[27.4  1.6] ; [109.6   6.4],0
p6,1,0.585996,0.296641,[10 19] ; [46 69],[11.27777778 17.72222222] ; [44.72222222 70.27777778],0
u2,1,0.604741,0.267904,[5 4] ; [17 20],[4.30434783 4.69565217] ; [17.69565217 19.30434783],0
p10,1,0.608284,0.262681,[24  5] ; [91 25],[23.  6.] ; [92. 24.],0
p5,1,0.634882,0.225499,[ 2 25] ; [ 12 103],[ 2.66197183 24.33802817] ; [ 11.33802817 103.66197183],0
d3,1,0.66226,0.190789,[20  9] ; [75 41],[19. 10.] ; [76. 40.],0
s1,1,0.698436,0.150104,[ 1 28] ; [  6 110],[ 1.4 27.6] ; [  5.6 110.4],0
p7,1,0.712268,0.136023,[20  9] ; [84 32],[20.8  8.2] ; [83.2 32.8],0
v2,1,0.798554,0.065136,[15 13] ; [63 49],[15.6 12.4] ; [62.4 49.6],0
n3,1,0.819477,0.052083,[5 1] ; [19  5],[4.8 1.2] ; [19.2  4.8],0
p11,1,0.820174,0.051675,[24  5] ; [98 18],[24.4  4.6] ; [97.6 18.4],0
a6,1,0.859172,0.031481,[20  9] ; [78 38],[19.6  9.4] ; [78.4 37.6],0
p3,1,0.893874,0.017796,[18 10] ; [73 43],[17.69444444 10.30555556] ; [73.30555556 42.69444444],0
u1,1,0.902065,0.015142,[ 4 25] ; [ 15 101],[ 3.8 25.2] ; [ 15.2 100.8],0
a3,1,0.906381,0.013831,[20  9] ; [78 37],[19.73611111  9.26388889] ; [78.26388889 36.73611111],0
a2,1,0.917323,0.010776,[ 6 23] ; [23 93],[ 5.8 23.2] ; [23.2 92.8],0
p9,1,0.917323,0.010776,[23  6] ; [93 23],[23.2  5.8] ; [92.8 23.2],0
a5,1,0.926537,0.008501,[21  8] ; [83 33],[20.8  8.2] ; [83.2 32.8],0
n5,1,0.926537,0.008501,[21  8] ; [83 33],[20.8  8.2] ; [83.2 32.8],0
n1,1,0.945119,0.004739,[2 3] ; [10 14],[2.06896552 2.93103448] ; [ 9.93103448 14.06896552],0
r2,1,0.965475,0.001874,[25  3] ; [103  12],[25.06293706  2.93706294] ; [102.93706294  12.06293706],0
n6,1,0.984802,0.000363,[24  5] ; [95 20],[23.96527778  5.03472222] ; [95.03472222 19.96527778],0
s4,1,1.0,0.0,[ 2 27] ; [  8 108],[ 2. 27.] ; [  8. 108.],0
r4,1,1.0,0.0,[24  5] ; [96 20],[24.  5.] ; [96. 20.],0
