Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,30.383768,[14 75] ; [19  8],[25.31896552 63.68103448] ; [ 7.68103448 19.31896552],1
s6,1,1.5e-05,18.795854,[30 66] ; [21  6],[39.80487805 56.19512195] ; [11.19512195 15.80487805],1
s5,1,6.7e-05,15.87979,[ 7 86] ; [10 16],[13.28571429 79.71428571] ; [ 3.71428571 22.28571429],1
p10,1,7.5e-05,15.673807,[39 54] ; [23  4],[48.05 44.95] ; [13.95 13.05],1
s2,1,0.001218,10.463542,[25 71] ; [16 11],[32. 64.] ; [ 9. 18.],0
v1,1,0.005017,7.873241,[28 66] ; [16 11],[34.18181818 59.81818182] ; [ 9.81818182 17.18181818],0
u3,1,0.006702,7.351026,[17 21] ; [10  1],[20.93877551 17.06122449] ; [6.06122449 4.93877551],0
p9,1,0.00737,7.180533,[49 44] ; [22  5],[55.025 37.975] ; [15.975 11.025],0
p7,1,0.008528,6.91908,[30 61] ; [16 10],[35.77777778 55.22222222] ; [10.22222222 15.77777778],0
d5,1,0.008548,6.914974,[60 35] ; [25  3],[65.6504065 29.3495935] ; [19.3495935  8.6504065],0
p8,1,0.010411,6.563212,[20 72] ; [13 15],[25.3 66.7] ; [ 7.7 20.3],0
p6,1,0.021623,5.275849,[10 82] ; [ 8 20],[13.8 78.2] ; [ 4.2 23.8],0
p11,1,0.022076,5.239803,[45 51] ; [20  8],[50.32258065 45.67741935] ; [14.67741935 13.32258065],0
s4,1,0.030002,4.709201,[ 9 87] ; [ 7 21],[12.38709677 83.61290323] ; [ 3.61290323 24.38709677],0
d1,1,0.030136,4.701516,[33 63] ; [16 12],[37.93548387 58.06451613] ; [11.06451613 16.93548387],0
p2,1,0.03523,4.434,[50 45] ; [21  7],[54.83739837 40.16260163] ; [16.16260163 11.83739837],0
u2,1,0.035268,4.432142,[22 17] ; [10  1],[24.96 14.04] ; [7.04 3.96],0
d3,1,0.062224,3.477079,[52 42] ; [21  7],[56.24590164 37.75409836] ; [16.75409836 11.24590164],0
r3,1,0.068071,3.328933,[69 26] ; [25  3],[72.60162602 22.39837398] ; [21.39837398  6.60162602],0
r4,1,0.074155,3.188571,[54 42] ; [21  7],[58.06451613 37.93548387] ; [16.93548387 11.06451613],0
s3,1,0.078255,3.10077,[40 55] ; [16 10],[43.96694215 51.03305785] ; [12.03305785 13.96694215],0
