Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.000158,14.27923,[7 2] ; [ 1 16],[2.76923077 6.23076923] ; [ 5.23076923 11.76923077],1
n5,1,0.002717,8.988431,[12 13] ; [31  6],[17.33870968  7.66129032] ; [25.66129032 11.33870968],0
d2,1,0.007929,7.049553,[ 6 19] ; [21 15],[11.06557377 13.93442623] ; [15.93442623 20.06557377],0
p2,1,0.022195,5.230433,[15 10] ; [11 25],[10.6557377 14.3442623] ; [15.3442623 20.6557377],0
d1,1,0.024382,5.067243,[ 4 21] ; [16 21],[ 8.06451613 16.93548387] ; [11.93548387 25.06451613],0
p8,1,0.02953,4.73642,[ 9 15] ; [ 5 32],[ 5.50819672 18.49180328] ; [ 8.49180328 28.50819672],0
a1,1,0.053334,3.733419,[ 1 24] ; [ 8 29],[ 3.62903226 21.37096774] ; [ 5.37096774 31.62903226],0
v1,1,0.117839,2.445809,[10 15] ; [ 8 29],[ 7.25806452 17.74193548] ; [10.74193548 26.25806452],0
a4,1,0.130683,2.284371,[ 7 18] ; [17 19],[ 9.83606557 15.16393443] ; [14.16393443 21.83606557],0
d4,1,0.131678,2.272606,[17  8] ; [18 19],[14.11290323 10.88709677] ; [20.88709677 16.11290323],0
p4,1,0.134329,2.241746,[10 15] ; [ 8 28],[ 7.37704918 17.62295082] ; [10.62295082 25.37704918],0
p7,1,0.141427,2.162364,[10 14] ; [ 8 26],[ 7.44827586 16.55172414] ; [10.55172414 23.44827586],0
p10,1,0.144864,2.125511,[13 12] ; [12 24],[10.24590164 14.75409836] ; [14.75409836 21.24590164],0
v4,1,0.162231,1.953309,[16  9] ; [17 20],[13.30645161 11.69354839] ; [19.69354839 17.30645161],0
p11,1,0.189064,1.7249,[10 15] ; [ 9 28],[ 7.66129032 17.33870968] ; [11.33870968 25.66129032],0
u2,1,0.192373,1.699346,[5 4] ; [ 5 12],[3.46153846 5.53846154] ; [ 6.53846154 10.46153846],0
n1,1,0.211486,1.561224,[ 4 10] ; [10 10],[5.76470588 8.23529412] ; [ 8.23529412 11.76470588],0
a5,1,0.231402,1.432221,[11 14] ; [22 15],[13.30645161 11.69354839] ; [19.69354839 17.30645161],0
d5,1,0.269912,1.217197,[12 13] ; [23 14],[14.11290323 10.88709677] ; [20.88709677 16.11290323],0
a6,1,0.277365,1.179955,[10 15] ; [20 17],[12.09677419 12.90322581] ; [17.90322581 19.09677419],0
s3,1,0.323678,0.974026,[ 5 20] ; [11 24],[ 6.66666667 18.33333333] ; [ 9.33333333 25.66666667],0
p9,1,0.326223,0.963832,[12 12] ; [13 22],[10.16949153 13.83050847] ; [14.83050847 20.16949153],0
r2,1,0.326223,0.963832,[13 12] ; [22 12],[14.83050847 10.16949153] ; [20.16949153 13.83050847],0
