Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.008774,6.868167,[11  3] ; [13 22],[6.85714286 7.14285714] ; [17.14285714 17.85714286],0
p2,1,0.010392,6.56636,[13  1] ; [19 16],[9.14285714 4.85714286] ; [22.85714286 12.14285714],0
p7,1,0.014688,5.9535,[11  3] ; [14 21],[7.14285714 6.85714286] ; [17.85714286 17.14285714],0
d5,1,0.030356,4.688995,[8 6] ; [30  5],[10.85714286  3.14285714] ; [27.14285714  7.85714286],0
p8,1,0.034512,4.469138,[9 5] ; [11 24],[5.71428571 8.28571429] ; [14.28571429 20.71428571],0
d1,1,0.070701,3.266667,[ 4 10] ; [20 15],[6.85714286 7.14285714] ; [17.14285714 17.85714286],0
a6,1,0.095135,2.785263,[6 8] ; [24 11],[8.57142857 5.42857143] ; [21.42857143 13.57142857],0
d2,1,0.103235,2.654849,[ 4 10] ; [19 16],[6.57142857 7.42857143] ; [16.42857143 18.57142857],0
n6,1,0.104364,2.63756,[13  1] ; [25 10],[10.85714286  3.14285714] ; [27.14285714  7.85714286],0
v3,1,0.114981,2.484386,[ 3 11] ; [16 19],[5.42857143 8.57142857] ; [13.57142857 21.42857143],0
p5,1,0.13169,2.272464,[ 2 12] ; [ 1 34],[ 0.85714286 13.14285714] ; [ 2.14285714 32.85714286],0
b3,1,0.141032,2.166667,[6 6] ; [ 7 20],[4. 8.] ; [ 9. 18.],0
b2,1,0.141032,2.166667,[6 6] ; [ 7 20],[4. 8.] ; [ 9. 18.],0
r1,1,0.159275,1.9811,[9 5] ; [29  6],[10.85714286  3.14285714] ; [27.14285714  7.85714286],0
n3,1,0.196667,1.666955,[4 1] ; [5 6],[2.8125 2.1875] ; [6.1875 4.8125],0
p10,1,0.201243,1.633333,[ 4 10] ; [17 18],[6. 8.] ; [15. 20.],0
a3,1,0.223142,1.48405,[7 7] ; [24 11],[8.85714286 5.14285714] ; [22.14285714 12.85714286],0
b4,1,0.223142,1.48405,[7 7] ; [24 11],[8.85714286 5.14285714] ; [22.14285714 12.85714286],0
p3,1,0.265583,1.239419,[6 8] ; [ 9 25],[4.375 9.625] ; [10.625 23.375],0
a5,1,0.307781,1.040175,[7 7] ; [23 12],[8.57142857 5.42857143] ; [21.42857143 13.57142857],0
v2,1,0.319383,0.991472,[5 9] ; [18 17],[6.57142857 7.42857143] ; [16.42857143 18.57142857],0
p1,1,0.322199,0.98,[ 2 12] ; [ 2 33],[ 1.14285714 12.85714286] ; [ 2.85714286 32.14285714],0
a4,1,0.353837,0.859649,[ 4 10] ; [15 20],[5.42857143 8.57142857] ; [13.57142857 21.42857143],0
a2,1,0.3864,0.750239,[ 2 12] ; [ 9 26],[ 3.14285714 10.85714286] ; [ 7.85714286 27.14285714],0
s5,1,0.387888,0.745554,[5 8] ; [ 9 26],[3.79166667 9.20833333] ; [10.20833333 24.79166667],0
b5,1,0.408106,0.68431,[7 7] ; [22 13],[8.28571429 5.71428571] ; [20.71428571 14.28571429],0
s2,1,0.413686,0.668182,[9 5] ; [18 17],[7.71428571 6.28571429] ; [19.28571429 15.71428571],0
s4,1,0.430179,0.62234,[4 9] ; [ 7 28],[ 2.97916667 10.02083333] ; [ 8.02083333 26.97916667],0
p11,1,0.453453,0.562007,[10  4] ; [21 14],[8.85714286 5.14285714] ; [22.14285714 12.85714286],0
a7,1,0.453453,0.562007,[10  4] ; [21 14],[8.85714286 5.14285714] ; [22.14285714 12.85714286],0
u2,1,0.473812,0.513071,[5 2] ; [6 5],[4.27777778 2.72222222] ; [6.72222222 4.27777778],0
u1,1,0.515936,0.42201,[ 4 10] ; [ 7 28],[ 3.14285714 10.85714286] ; [ 7.85714286 27.14285714],0
b1,1,0.522817,0.408333,[7 7] ; [21 14],[8. 6.] ; [20. 15.],0
d3,1,0.569056,0.324265,[10  4] ; [22 13],[9.14285714 4.85714286] ; [22.85714286 12.14285714],0
s8,1,0.649739,0.206229,[7 7] ; [15 20],[6.28571429 7.71428571] ; [15.71428571 19.28571429],0
d4,1,0.674332,0.176577,[10  4] ; [27  8],[10.57142857  3.42857143] ; [26.42857143  8.57142857],0
s3,1,0.699988,0.148485,[10  4] ; [23 12],[9.42857143 4.57142857] ; [23.57142857 11.42857143],0
r4,1,0.752642,0.099324,[11  3] ; [26  9],[10.57142857  3.42857143] ; [26.42857143  8.57142857],0
r3,1,0.782836,0.075969,[12  2] ; [31  4],[12.28571429  1.71428571] ; [30.71428571  4.28571429],0
u3,1,0.782935,0.075898,[4 3] ; [7 4],[4.27777778 2.72222222] ; [6.72222222 4.27777778],0
n4,1,0.837848,0.04188,[10  4] ; [26  9],[10.28571429  3.71428571] ; [25.71428571  9.28571429],0
v1,1,0.855858,0.032997,[6 8] ; [16 19],[6.28571429 7.71428571] ; [15.71428571 19.28571429],0
a8,1,0.858499,0.031786,[ 2 11] ; [ 4 26],[ 1.81395349 11.18604651] ; [ 4.18604651 25.81395349],0
r2,1,0.868951,0.027222,[13  1] ; [32  3],[12.85714286  1.14285714] ; [32.14285714  2.85714286],0
s1,1,0.868951,0.027222,[ 1 13] ; [ 3 32],[ 1.14285714 12.85714286] ; [ 2.85714286 32.14285714],0
a1,1,0.868951,0.027222,[ 1 13] ; [ 3 32],[ 1.14285714 12.85714286] ; [ 2.85714286 32.14285714],0
s6,1,0.924389,0.009007,[9 5] ; [23 12],[9.14285714 4.85714286] ; [22.85714286 12.14285714],0
n5,1,0.92534,0.008781,[9 5] ; [22 13],[8.85714286 5.14285714] ; [22.14285714 12.85714286],0
