Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,150.458149,[322 137] ; [ 66 213],[241.31707317 217.68292683] ; [146.68292683 132.31707317],1
p6,1,0.0,77.419234,[235 222] ; [ 51 223],[178.79890561 278.20109439] ; [107.20109439 166.79890561],1
p8,1,0.0,57.015944,[301 154] ; [104 173],[251.74180328 203.25819672] ; [153.25819672 123.74180328],1
p7,1,0.0,48.529745,[341 113] ; [133 135],[298.05540166 155.94459834] ; [175.94459834  92.05540166],1
p5,1,0.0,28.329642,[ 81 374] ; [ 12 266],[ 57.72851296 397.27148704] ; [ 35.27148704 242.72851296],1
n4,1,0.0,27.03205,[384  74] ; [188  91],[355.46268657 102.53731343] ; [216.53731343  62.46268657],1
p2,1,0.0,26.217649,[418  39] ; [218  61],[394.9076087  62.0923913] ; [241.0923913  37.9076087],1
n5,1,0.0,25.528796,[381  76] ; [187  91],[353.16462585 103.83537415] ; [214.83537415  63.16462585],1
s7,1,3e-06,22.165678,[256 179] ; [112 163],[225.46478873 209.53521127] ; [142.53521127 132.46478873],1
d1,1,2.5e-05,17.773291,[303 156] ; [141 139],[275.77266576 183.22733424] ; [168.22733424 111.77266576],1
v1,1,9.4e-05,15.258769,[278 168] ; [128 142],[252.89944134 193.10055866] ; [153.10055866 116.89944134],1
a5,1,0.000151,14.36529,[364  95] ; [187  93],[342.23139378 116.76860622] ; [208.76860622  71.23139378],1
s8,1,0.000311,13.000782,[242 215] ; [110 170],[218.26865672 238.73134328] ; [133.73134328 146.26865672],1
s6,1,0.000374,12.659588,[337 113] ; [173 104],[315.68088033 134.31911967] ; [194.31911967  82.68088033],1
d2,1,0.000653,11.617281,[241 218] ; [110 168],[218.60108548 240.39891452] ; [132.39891452 145.60108548],1
d5,1,0.000751,11.357711,[390  68] ; [209  69],[372.74728261  85.25271739] ; [226.25271739  51.74728261],1
s2,1,0.001298,10.345642,[264 192] ; [127 151],[242.91008174 213.08991826] ; [148.08991826 129.91008174],0
s5,1,0.001392,10.216961,[177 263] ; [ 76 192],[157.23163842 282.76836158] ; [ 95.76836158 172.23163842],0
p10,1,0.002182,9.390106,[427  30] ; [242  37],[415.39809783  41.60190217] ; [253.60190217  25.39809783],0
a4,1,0.002214,9.363188,[232 226] ; [109 170],[211.91044776 246.08955224] ; [129.08955224 149.91044776],0
n6,1,0.002462,9.168596,[408  49] ; [227  52],[394.28668478  62.71331522] ; [240.71331522  38.28668478],0
u1,1,0.002956,8.834169,[ 97 362] ; [ 35 245],[ 81.9864682 377.0135318] ; [ 50.0135318 229.9864682],0
d4,1,0.005635,7.663546,[394  64] ; [218  61],[380.3202171  77.6797829] ; [231.6797829  47.3202171],0
r1,1,0.006362,7.444769,[383  74] ; [211  68],[368.82880435  88.17119565] ; [225.17119565  53.82880435],0
a2,1,0.007247,7.210758,[127 332] ; [ 53 227],[111.79972936 347.20027064] ; [ 68.20027064 211.79972936],0
a3,1,0.009216,6.780489,[348 110] ; [186  91],[332.75102041 125.24897959] ; [201.24897959  75.75102041],0
d3,1,0.010527,6.54346,[339 120] ; [180  97],[323.66983696 135.33016304] ; [195.33016304  81.66983696],0
r4,1,0.012838,6.191356,[434  25] ; [251  29],[425.46008119  33.53991881] ; [259.53991881  20.46008119],0
