Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,32.581692,[88 11] ; [ 8 15],[77.90163934 21.09836066] ; [18.09836066  4.90163934],1
d3,1,0.000251,13.40174,[77 22] ; [ 9 14],[69.78688525 29.21311475] ; [16.21311475  6.78688525],1
a4,1,0.015235,5.889125,[44 54] ; [ 4 19],[38.87603306 59.12396694] ; [ 9.12396694 13.87603306],0
d2,1,0.017648,5.630724,[53 46] ; [ 6 17],[47.87704918 51.12295082] ; [11.12295082 11.87704918],0
a2,1,0.059379,3.554648,[27 72] ; [ 2 21],[23.53278689 75.46721311] ; [ 5.46721311 17.53278689],0
s4,1,0.086453,2.939206,[ 9 90] ; [ 5 18],[11.36065574 87.63934426] ; [ 2.63934426 20.36065574],0
a3,1,0.110516,2.546823,[79 19] ; [15  8],[76.1322314 21.8677686] ; [17.8677686  5.1322314],0
n6,1,0.122694,2.382594,[86 13] ; [17  6],[83.58196721 15.41803279] ; [19.41803279  3.58196721],0
v3,1,0.129738,2.295634,[46 50] ; [ 7 16],[42.75630252 53.24369748] ; [10.24369748 12.75630252],0
p2,1,0.14155,2.161031,[77 22] ; [21  2],[79.52459016 19.47540984] ; [18.47540984  4.52459016],0
p10,1,0.183976,1.765209,[77 20] ; [21  2],[79.21666667 17.78333333] ; [18.78333333  4.21666667],0
p8,1,0.203848,1.614587,[49 48] ; [15  8],[51.73333333 45.26666667] ; [12.26666667 10.73333333],0
b4,1,0.256536,1.287352,[56 43] ; [10 13],[53.55737705 45.44262295] ; [12.44262295 10.55737705],0
s8,1,0.273742,1.197898,[55 43] ; [10 13],[52.6446281 45.3553719] ; [12.3553719 10.6446281],0
n1,1,0.288581,1.12623,[12 17] ; [5 3],[13.32432432 15.67567568] ; [3.67567568 4.32432432],0
v2,1,0.292011,1.110328,[54 43] ; [10 13],[51.73333333 45.26666667] ; [12.26666667 10.73333333],0
u3,1,0.318388,0.995556,[14  6] ; [4 4],[12.85714286  7.14285714] ; [5.14285714 2.85714286],0
a8,1,0.33269,0.938397,[14 69] ; [ 2 21],[12.52830189 70.47169811] ; [ 3.47169811 19.52830189],0
p1,1,0.346884,0.884823,[ 7 92] ; [ 3 20],[ 8.1147541 90.8852459] ; [ 1.8852459 21.1147541],0
a7,1,0.35876,0.842229,[70 29] ; [14  9],[68.16393443 30.83606557] ; [15.83606557  7.16393443],0
n3,1,0.360865,0.834879,[16 12] ; [6 2],[17.11111111 10.88888889] ; [4.88888889 3.11111111],0
p4,1,0.424508,0.637802,[60 39] ; [16  7],[61.67213115 37.32786885] ; [14.32786885  8.67213115],0
s6,1,0.424508,0.637802,[60 39] ; [16  7],[61.67213115 37.32786885] ; [14.32786885  8.67213115],0
p11,1,0.460529,0.544608,[80 19] ; [17  6],[78.71311475 20.28688525] ; [18.28688525  4.71311475],0
b1,1,0.466935,0.529221,[35 64] ; [10 13],[36.51639344 62.48360656] ; [ 8.48360656 14.51639344],0
p5,1,0.556499,0.345802,[18 81] ; [ 3 20],[17.04098361 81.95901639] ; [ 3.95901639 19.04098361],0
u2,1,0.608757,0.261988,[13  7] ; [6 2],[13.57142857  6.42857143] ; [5.42857143 2.57142857],0
r1,1,0.611934,0.257368,[78 21] ; [17  6],[77.09016393 21.90983607] ; [17.90983607  5.09016393],0
a6,1,0.623304,0.241252,[68 31] ; [17  6],[68.97540984 30.02459016] ; [16.02459016  6.97540984],0
p7,1,0.674681,0.176175,[63 34] ; [16  7],[63.85833333 33.14166667] ; [15.14166667  7.85833333],0
b5,1,0.684564,0.165033,[52 47] ; [11 12],[51.12295082 47.87704918] ; [11.87704918 11.12295082],0
n4,1,0.691335,0.157644,[77 22] ; [17  6],[76.27868852 22.72131148] ; [17.72131148  5.27868852],0
s5,1,0.709659,0.138618,[22 76] ; [ 6 17],[22.67768595 75.32231405] ; [ 5.32231405 17.67768595],0
r4,1,0.710264,0.138014,[83 16] ; [20  3],[83.58196721 15.41803279] ; [19.41803279  3.58196721],0
n2,1,0.740947,0.109296,[20  9] ; [6 2],[20.37837838  8.62162162] ; [5.62162162 2.37837838],0
n5,1,0.75944,0.093768,[70 29] ; [17  6],[70.59836066 28.40163934] ; [16.40163934  6.59836066],0
b2,1,0.766437,0.088232,[34 43] ; [6 9],[33.47826087 43.52173913] ; [6.52173913 8.47826087],0
b3,1,0.766437,0.088232,[34 43] ; [6 9],[33.47826087 43.52173913] ; [6.52173913 8.47826087],0
r3,1,0.788269,0.072124,[92  7] ; [21  2],[91.69672131  7.30327869] ; [21.30327869  1.69672131],0
p12,1,0.808669,0.058633,[ 7 90] ; [ 2 21],[ 7.275 89.725] ; [ 1.725 21.275],0
a5,1,0.853188,0.034244,[75 24] ; [17  6],[74.6557377 24.3442623] ; [17.3442623  5.6557377],0
v1,1,0.895766,0.017164,[50 47] ; [11 11],[49.72268908 47.27731092] ; [11.27731092 10.72268908],0
p9,1,0.896674,0.016865,[79 18] ; [19  4],[79.21666667 17.78333333] ; [18.78333333  4.21666667],0
r2,1,0.919525,0.010207,[87  9] ; [21  2],[87.12605042  8.87394958] ; [20.87394958  2.12605042],0
s3,1,0.936571,0.006333,[29 69] ; [ 7 16],[29.15702479 68.84297521] ; [ 6.84297521 16.15702479],0
p6,1,0.958464,0.002712,[37 59] ; [ 9 14],[37.1092437 58.8907563] ; [ 8.8907563 14.1092437],0
p3,1,0.996946,1.5e-05,[56 43] ; [13 10],[55.99180328 43.00819672] ; [13.00819672  9.99180328],0
v4,1,1.0,0.0,[90  9] ; [20  2],[90.  9.] ; [20.  2.],0
