Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.048954,3.876923,[9 3] ; [ 6 10],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
d5,1,0.07776,3.111111,[11  1] ; [10  6],[9. 3.] ; [12.  4.],0
s7,1,0.098168,2.735065,[9 3] ; [6 8],[6.92307692 5.07692308] ; [8.07692308 5.92307692],0
v2,1,0.100348,2.7,[6 6] ; [ 3 12],[4. 8.] ; [ 5. 10.],0
s6,1,0.128872,2.306043,[10  2] ; [9 7],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
p9,1,0.136519,2.216761,[9 3] ; [7 8],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
u3,1,0.157299,2.0,[2 2] ; [7 1],[3. 1.] ; [6. 2.],0
p6,1,0.168201,1.898901,[8 4] ; [6 9],[6.22222222 5.77777778] ; [7.77777778 7.22222222],0
v1,1,0.171857,1.866667,[6 6] ; [ 4 12],[4.28571429 7.71428571] ; [ 5.71428571 10.28571429],0
v3,1,0.173566,1.851867,[ 1 10] ; [ 5 11],[2.44444444 8.55555556] ; [ 3.55555556 12.44444444],0
r3,1,0.222994,1.485,[11  1] ; [11  4],[9.77777778 2.22222222] ; [12.22222222  2.77777778],0
b5,1,0.228871,1.447863,[4 8] ; [9 7],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
b2,1,0.2524,1.309972,[4 5] ; [2 8],[2.84210526 6.15789474] ; [3.15789474 6.84210526],0
b3,1,0.2524,1.309972,[4 5] ; [2 8],[2.84210526 6.15789474] ; [3.15789474 6.84210526],0
p3,1,0.274006,1.196581,[7 5] ; [ 6 10],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
n1,1,0.276278,1.185306,[3 2] ; [2 5],[2.08333333 2.91666667] ; [2.91666667 4.08333333],0
n3,1,0.276278,1.185306,[2 3] ; [5 2],[2.91666667 2.08333333] ; [4.08333333 2.91666667],0
d2,1,0.314736,1.010695,[6 6] ; [ 5 11],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
a4,1,0.350045,0.873294,[5 7] ; [ 4 12],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
u1,1,0.377822,0.777778,[ 2 10] ; [ 1 15],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
p1,1,0.377822,0.777778,[ 2 10] ; [ 1 15],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
a3,1,0.377822,0.777778,[8 4] ; [8 8],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
p7,1,0.391153,0.735354,[8 4] ; [7 7],[6.92307692 5.07692308] ; [8.07692308 5.92307692],0
p2,1,0.392742,0.730435,[9 3] ; [14  2],[9.85714286 2.14285714] ; [13.14285714  2.85714286],0
a7,1,0.445009,0.583333,[5 7] ; [9 7],[6. 6.] ; [8. 8.],0
b1,1,0.445009,0.583333,[5 7] ; [9 7],[6. 6.] ; [8. 8.],0
p10,1,0.483522,0.490909,[8 4] ; [8 7],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
d1,1,0.508332,0.4375,[6 6] ; [ 6 10],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
p4,1,0.508332,0.4375,[6 6] ; [ 6 10],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
a6,1,0.508332,0.4375,[6 6] ; [10  6],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
p8,1,0.530236,0.393939,[5 6] ; [ 5 10],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
d3,1,0.56917,0.324074,[7 5] ; [11  5],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
a5,1,0.56917,0.324074,[5 7] ; [ 5 11],[4.28571429 7.71428571] ; [ 5.71428571 10.28571429],0
d4,1,0.594853,0.282828,[10  2] ; [12  4],[9.42857143 2.57142857] ; [12.57142857  3.42857143],0
s3,1,0.629063,0.233333,[8 4] ; [12  4],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
r1,1,0.742787,0.107692,[6 6] ; [9 7],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
p11,1,0.742787,0.107692,[6 6] ; [9 7],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
r2,1,0.756158,0.096429,[9 3] ; [12  3],[9.33333333 2.66666667] ; [11.66666667  3.33333333],0
r4,1,0.819872,0.051852,[8 4] ; [10  6],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
s2,1,0.823218,0.049911,[7 5] ; [10  6],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
n5,1,0.823218,0.049911,[5 7] ; [ 6 10],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
v4,1,0.824653,0.049091,[10  2] ; [12  3],[9.77777778 2.22222222] ; [12.22222222  2.77777778],0
a2,1,0.83224,0.044872,[ 1 11] ; [ 1 15],[ 0.85714286 11.14285714] ; [ 1.14285714 14.85714286],0
s8,1,0.912219,0.012153,[5 7] ; [7 9],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
n4,1,0.912219,0.012153,[5 7] ; [7 9],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
