Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.00033,12.89099,[6 2] ; [ 1 16],[2.24 5.76] ; [ 4.76 12.24],1
n5,1,0.00141,10.193208,[11 13] ; [32  6],[16.64516129  7.35483871] ; [26.35483871 11.64516129],0
a1,1,0.041826,4.142223,[ 1 23] ; [ 9 29],[ 3.87096774 20.12903226] ; [ 6.12903226 31.87096774],0
s5,1,0.041826,4.142223,[ 1 23] ; [ 9 29],[ 3.87096774 20.12903226] ; [ 6.12903226 31.87096774],0
d2,1,0.064744,3.411477,[ 6 18] ; [18 19],[ 9.44262295 14.55737705] ; [14.55737705 22.44262295],0
p2,1,0.110536,2.54654,[12 12] ; [11 26],[ 9.04918033 14.95081967] ; [13.95081967 23.04918033],0
d4,1,0.136941,2.212001,[16  8] ; [18 20],[13.16129032 10.83870968] ; [20.83870968 17.16129032],0
p7,1,0.150864,2.063492,[11 13] ; [10 26],[ 8.4 15.6] ; [12.6 23.4],0
s2,1,0.184727,1.759177,[ 2 22] ; [ 8 30],[ 3.87096774 20.12903226] ; [ 6.12903226 31.87096774],0
s6,1,0.191189,1.708429,[ 4 20] ; [12 26],[ 6.19354839 17.80645161] ; [ 9.80645161 28.19354839],0
d1,1,0.240825,1.375756,[ 6 18] ; [15 23],[ 8.12903226 15.87096774] ; [12.87096774 25.12903226],0
v4,1,0.244784,1.35283,[15  9] ; [18 20],[12.77419355 11.22580645] ; [20.22580645 17.77419355],0
p1,1,0.272067,1.206297,[ 2 22] ; [ 7 31],[ 3.48387097 20.51612903] ; [ 5.51612903 32.48387097],0
a4,1,0.324955,0.9689,[ 7 17] ; [15 21],[ 8.8 15.2] ; [13.2 22.8],0
a6,1,0.335371,0.928046,[ 9 15] ; [19 19],[10.83870968 13.16129032] ; [17.16129032 20.83870968],0
p8,1,0.348769,0.877931,[ 8 15] ; [ 9 29],[ 6.40983607 16.59016393] ; [10.59016393 27.40983607],0
p11,1,0.352144,0.865715,[ 9 15] ; [10 28],[ 7.35483871 16.64516129] ; [11.64516129 26.35483871],0
a5,1,0.353865,0.859548,[11 13] ; [22 16],[12.77419355 11.22580645] ; [20.22580645 17.77419355],0
p10,1,0.403405,0.698154,[11 13] ; [13 24],[ 9.44262295 14.55737705] ; [14.55737705 22.44262295],0
s7,1,0.405343,0.69242,[ 4 17] ; [ 4 32],[ 2.94736842 18.05263158] ; [ 5.05263158 30.94736842],0
n2,1,0.408942,0.681875,[7 6] ; [ 7 11],[5.87096774 7.12903226] ; [8.12903226 9.87096774],0
r1,1,0.418733,0.653868,[10 14] ; [12 26],[ 8.51612903 15.48387097] ; [13.48387097 24.51612903],0
p4,1,0.443289,0.587754,[ 8 16] ; [ 9 28],[ 6.68852459 17.31147541] ; [10.31147541 26.68852459],0
n6,1,0.45935,0.547477,[10 14] ; [19 18],[11.40983607 12.59016393] ; [17.59016393 19.40983607],0
a7,1,0.48207,0.494177,[11 13] ; [14 24],[ 9.67741935 14.32258065] ; [15.32258065 22.67741935],0
v1,1,0.482864,0.492387,[ 9 15] ; [11 27],[ 7.74193548 16.25806452] ; [12.25806452 25.74193548],0
r2,1,0.511684,0.430622,[14 10] ; [24 12],[15.2  8.8] ; [22.8 13.2],0
b3,1,0.512734,0.428484,[4 9] ; [12 17],[4.95238095 8.04761905] ; [11.04761905 17.95238095],0
b2,1,0.512734,0.428484,[4 9] ; [12 17],[4.95238095 8.04761905] ; [11.04761905 17.95238095],0
a3,1,0.515428,0.423032,[16  8] ; [21 15],[14.8  9.2] ; [22.2 13.8],0
s3,1,0.525129,0.403808,[ 4 20] ; [ 8 26],[ 4.96551724 19.03448276] ; [ 7.03448276 26.96551724],0
d3,1,0.542901,0.37019,[12 12] ; [16 22],[10.83870968 13.16129032] ; [17.16129032 20.83870968],0
a2,1,0.550229,0.356908,[ 3 21] ; [ 3 35],[ 2.32258065 21.67741935] ; [ 3.67741935 34.32258065],0
r4,1,0.558761,0.341855,[ 2 22] ; [ 5 33],[ 2.70967742 21.29032258] ; [ 4.29032258 33.70967742],0
