Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,25.883129,[11 98] ; [21 24],[22.64935065 86.35064935] ; [ 9.35064935 35.64935065],1
a3,1,0.0002,13.827195,[37 75] ; [30 16],[47.49367089 64.50632911] ; [19.50632911 26.49367089],1
d1,1,0.015534,5.854927,[27 85] ; [20 26],[33.3164557 78.6835443] ; [13.6835443 32.3164557],0
r1,1,0.051033,3.807181,[59 53] ; [32 14],[64.50632911 47.49367089] ; [26.49367089 19.50632911],0
s8,1,0.059184,3.560097,[23 89] ; [16 30],[27.64556962 84.35443038] ; [11.35443038 34.64556962],0
a7,1,0.071912,3.238833,[67 44] ; [34 11],[71.86538462 39.13461538] ; [29.13461538 15.86538462],0
d4,1,0.09084,2.859428,[66 46] ; [33 12],[70.62420382 41.37579618] ; [28.37579618 16.62420382],0
b5,1,0.102012,2.673806,[74 38] ; [24 22],[69.46835443 42.53164557] ; [28.53164557 17.46835443],0
d5,1,0.110702,2.544172,[62 49] ; [32 14],[66.45859873 44.54140127] ; [27.54140127 18.45859873],0
p4,1,0.122455,2.385641,[45 66] ; [12 32],[40.81935484 70.18064516] ; [16.18064516 27.81935484],0
p11,1,0.140178,2.176005,[69 43] ; [34 12],[73.01265823 38.98734177] ; [29.98734177 16.01265823],0
d3,1,0.179137,1.804767,[54 56] ; [28 18],[57.82051282 52.17948718] ; [24.17948718 21.82051282],0
a8,1,0.233721,1.418072,[10 96] ; [ 7 36],[12.09395973 93.90604027] ; [ 4.90604027 38.09395973],0
p1,1,0.244141,1.356522,[11 99] ; [ 2 44],[  9.16666667 100.83333333] ; [ 3.83333333 42.16666667],0
n2,1,0.259132,1.273389,[22 15] ; [10  3],[23.68 13.32] ; [8.32 4.68],0
s1,1,0.299387,1.076924,[  7 105] ; [ 1 44],[  5.70700637 106.29299363] ; [ 2.29299363 42.70700637],0
n3,1,0.338205,0.917225,[21 16] ; [10  4],[22.49019608 14.50980392] ; [8.50980392 5.49019608],0
p3,1,0.356403,0.850529,[35 77] ; [11 35],[32.60759494 79.39240506] ; [13.39240506 32.60759494],0
n6,1,0.377161,0.779937,[80 32] ; [36 10],[82.2278481 29.7721519] ; [33.7721519 12.2278481],0
d2,1,0.384981,0.754735,[25 87] ; [13 32],[27.10828025 84.89171975] ; [10.89171975 34.10828025],0
u2,1,0.41763,0.656974,[36 38] ; [ 6 10],[34.53333333 39.46666667] ; [7.46666667 8.53333333],0
s3,1,0.436786,0.604711,[54 56] ; [19 26],[51.80645161 58.19354839] ; [21.19354839 23.80645161],0
p12,1,0.501821,0.451084,[  1 111] ; [ 1 44],[  1.42675159 110.57324841] ; [ 0.57324841 44.42675159],0
n4,1,0.528787,0.396722,[56 56] ; [25 20],[57.78343949 54.21656051] ; [23.21656051 21.78343949],0
p7,1,0.535624,0.383711,[50 57] ; [23 21],[51.72847682 55.27152318] ; [21.27152318 22.72847682],0
n5,1,0.550298,0.356784,[65 46] ; [24 21],[63.32692308 47.67307692] ; [25.67307692 19.32692308],0
p2,1,0.569138,0.324126,[77 34] ; [34 12],[78.47770701 32.52229299] ; [32.52229299 13.47770701],0
a1,1,0.586088,0.296495,[  3 109] ; [ 2 44],[  3.5443038 108.4556962] ; [ 1.4556962 44.5443038],0
b2,1,0.588844,0.292153,[14 45] ; [ 5 22],[13.03488372 45.96511628] ; [ 5.96511628 21.03488372],0
b3,1,0.588844,0.292153,[14 45] ; [ 5 22],[13.03488372 45.96511628] ; [ 5.96511628 21.03488372],0
s2,1,0.596227,0.280724,[44 68] ; [16 30],[42.53164557 69.46835443] ; [17.46835443 28.53164557],0
s5,1,0.611163,0.258484,[21 89] ; [10 34],[22.14285714 87.85714286] ; [ 8.85714286 35.14285714],0
v4,1,0.615107,0.252805,[93 18] ; [40  6],[94.03184713 16.96815287] ; [38.96815287  7.03184713],0
a4,1,0.647609,0.208928,[14 98] ; [ 7 39],[14.88607595 97.11392405] ; [ 6.11392405 39.88607595],0
u1,1,0.648482,0.207819,[  4 108] ; [ 1 45],[  3.5443038 108.4556962] ; [ 1.4556962 44.5443038],0
r3,1,0.651174,0.204423,[93 18] ; [39  6],[93.92307692 17.07692308] ; [38.07692308  6.92307692],0
a6,1,0.682978,0.166793,[52 60] ; [23 23],[53.16455696 58.83544304] ; [21.83544304 24.16455696],0
s6,1,0.738574,0.111384,[51 60] ; [22 23],[51.94230769 59.05769231] ; [21.05769231 23.94230769],0
p6,1,0.739886,0.110227,[30 81] ; [11 34],[29.17307692 81.82692308] ; [11.82692308 33.17307692],0
s7,1,0.763863,0.090247,[32 77] ; [14 30],[32.77124183 76.22875817] ; [13.22875817 30.77124183],0
u3,1,0.796485,0.066512,[35 39] ; [7 9],[34.53333333 39.46666667] ; [7.46666667 8.53333333],0
n1,1,0.827768,0.047334,[ 9 28] ; [ 3 11],[ 8.70588235 28.29411765] ; [ 3.29411765 10.70588235],0
s4,1,0.856151,0.032861,[23 87] ; [10 35],[23.41935484 86.58064516] ; [ 9.58064516 35.41935484],0
p9,1,0.865107,0.028858,[67 42] ; [27 18],[66.53246753 42.46753247] ; [27.46753247 17.53246753],0
p10,1,0.871843,0.026023,[62 48] ; [26 19],[62.4516129 47.5483871] ; [25.5483871 19.4516129],0
r4,1,0.879765,0.022882,[79 33] ; [33 13],[79.39240506 32.60759494] ; [32.60759494 13.39240506],0
r2,1,0.887122,0.020149,[91 21] ; [37  8],[91.31210191 20.68789809] ; [36.68789809  8.31210191],0
b1,1,0.895813,0.017149,[45 67] ; [19 27],[45.36708861 66.63291139] ; [18.63291139 27.36708861],0
p5,1,0.965469,0.001874,[  5 106] ; [ 2 44],[  4.94904459 106.05095541] ; [ 2.05095541 43.94904459],0
p8,1,0.983532,0.000426,[45 67] ; [18 27],[44.94267516 67.05732484] ; [18.05732484 26.94267516],0
b4,1,0.985512,0.00033,[68 44] ; [28 18],[68.05063291 43.94936709] ; [27.94936709 18.05063291],0
