Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.006743,7.340074,[ 2 15] ; [9 7],[ 5.66666667 11.33333333] ; [ 5.33333333 10.66666667],0
v4,1,0.007595,7.126617,[ 6 11] ; [13  3],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
s6,1,0.007842,7.069281,[ 1 16] ; [7 8],[ 4.25 12.75] ; [ 3.75 11.25],0
p11,1,0.021229,5.307904,[ 3 14] ; [9 7],[ 6.18181818 10.81818182] ; [ 5.81818182 10.18181818],0
s7,1,0.024705,5.04442,[ 1 15] ; [6 9],[ 3.61290323 12.38709677] ; [ 3.38709677 11.61290323],0
s2,1,0.02639,4.930268,[ 1 16] ; [ 6 10],[ 3.60606061 13.39393939] ; [ 3.39393939 12.60606061],0
b3,1,0.034799,4.455,[7 3] ; [3 9],[4.54545455 5.45454545] ; [5.45454545 6.54545455],0
b2,1,0.034799,4.455,[7 3] ; [3 9],[4.54545455 5.45454545] ; [5.45454545 6.54545455],0
p8,1,0.036226,4.386448,[ 2 14] ; [7 8],[ 4.64516129 11.35483871] ; [ 4.35483871 10.64516129],0
p10,1,0.062749,3.463203,[ 3 13] ; [8 8],[ 5.5 10.5] ; [ 5.5 10.5],0
p4,1,0.084695,2.972426,[ 2 15] ; [ 6 10],[ 4.12121212 12.87878788] ; [ 3.87878788 12.12121212],0
s3,1,0.086679,2.934993,[ 2 15] ; [5 8],[ 3.96666667 13.03333333] ; [3.03333333 9.96666667],0
p2,1,0.118086,2.442528,[ 6 11] ; [10  6],[8.24242424 8.75757576] ; [7.75757576 8.24242424],0
b5,1,0.118989,2.430576,[ 5 12] ; [9 7],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
a5,1,0.118989,2.430576,[ 5 12] ; [9 7],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
n4,1,0.126752,2.331838,[11  6] ; [14  2],[12.87878788  4.12121212] ; [12.12121212  3.87878788],0
p7,1,0.218143,1.516544,[ 4 13] ; [7 9],[ 5.66666667 11.33333333] ; [ 5.33333333 10.66666667],0
s5,1,0.257673,1.281218,[ 1 16] ; [ 3 13],[ 2.06060606 14.93939394] ; [ 1.93939394 14.06060606],0
a4,1,0.27224,1.205423,[ 5 12] ; [ 2 13],[ 3.71875 13.28125] ; [ 3.28125 11.71875],0
p6,1,0.281136,1.161589,[ 2 15] ; [ 4 11],[ 3.1875 13.8125] ; [ 2.8125 12.1875],0
r2,1,0.286201,1.137408,[11  6] ; [13  3],[12.36363636  4.63636364] ; [11.63636364  4.36363636],0
n2,1,0.305319,1.050816,[5 6] ; [8 4],[6.2173913 4.7826087] ; [6.7826087 5.2173913],0
v2,1,0.315905,1.005826,[ 3 13] ; [ 1 14],[ 2.06451613 13.93548387] ; [ 1.93548387 13.06451613],0
b4,1,0.373301,0.792647,[8 9] ; [10  6],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
n3,1,0.391805,0.733333,[5 6] ; [7 4],[6. 5.] ; [6. 5.],0
d5,1,0.475067,0.510165,[ 5 12] ; [ 3 13],[ 4.12121212 12.87878788] ; [ 3.87878788 12.12121212],0
p5,1,0.544197,0.367816,[ 1 15] ; [ 2 14],[ 1.5 14.5] ; [ 1.5 14.5],0
n5,1,0.575942,0.312841,[15  2] ; [13  3],[14.42424242  2.57575758] ; [13.57575758  2.42424242],0
s4,1,0.575942,0.312841,[ 2 15] ; [ 3 13],[ 2.57575758 14.42424242] ; [ 2.42424242 13.57575758],0
a6,1,0.578709,0.308326,[8 9] ; [ 6 10],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
a3,1,0.593634,0.284705,[7 9] ; [8 7],[7.74193548 8.25806452] ; [7.25806452 7.74193548],0
b1,1,0.597504,0.278776,[8 9] ; [9 7],[8.75757576 8.24242424] ; [8.24242424 7.75757576],0
d3,1,0.605591,0.266645,[ 3 14] ; [ 4 12],[ 3.60606061 13.39393939] ; [ 3.39393939 12.60606061],0
u3,1,0.671373,0.18,[2 8] ; [1 7],[1.66666667 8.33333333] ; [1.33333333 6.66666667],0
u2,1,0.737316,0.1125,[3 7] ; [3 5],[3.33333333 6.66666667] ; [2.66666667 5.33333333],0
p9,1,0.765087,0.089286,[ 6 10] ; [6 8],[6.4 9.6] ; [5.6 8.4],0
v1,1,0.776105,0.080882,[ 5 12] ; [ 4 12],[ 4.63636364 12.36363636] ; [ 4.36363636 11.63636364],0
d2,1,0.805453,0.060662,[ 6 11] ; [ 5 11],[ 5.66666667 11.33333333] ; [ 5.33333333 10.66666667],0
a7,1,0.805453,0.060662,[ 6 11] ; [ 5 11],[ 5.66666667 11.33333333] ; [ 5.33333333 10.66666667],0
v3,1,0.837944,0.04183,[ 4 13] ; [ 4 11],[ 4.25 12.75] ; [ 3.75 11.25],0
n1,1,0.854757,0.033508,[6 5] ; [7 5],[6.2173913 4.7826087] ; [6.7826087 5.2173913],0
p1,1,0.934568,0.00674,[ 3 14] ; [ 3 13],[ 3.09090909 13.90909091] ; [ 2.90909091 13.09090909],0
s1,1,0.948428,0.004184,[ 2 15] ; [ 2 14],[ 2.06060606 14.93939394] ; [ 1.93939394 14.06060606],0
