Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.1e-05,19.285309,[13 19] ; [66 14],[22.57142857  9.42857143] ; [56.42857143 23.57142857],1
n6,1,0.00083,11.172811,[17 15] ; [66 13],[23.92792793  8.07207207] ; [59.07207207 19.92792793],1
s4,1,0.012074,6.299979,[13 19] ; [14 64],[ 7.85454545 24.14545455] ; [19.14545455 58.85454545],0
a5,1,0.016195,5.781599,[17 15] ; [61 19],[22.28571429  9.71428571] ; [55.71428571 24.28571429],0
b1,1,0.021401,5.293879,[ 8 24] ; [39 41],[13.42857143 18.57142857] ; [33.57142857 46.42857143],0
s8,1,0.036098,4.392483,[10 22] ; [42 37],[14.99099099 17.00900901] ; [37.00900901 41.99099099],0
v3,1,0.08417,2.982491,[ 7 22] ; [31 42],[10.80392157 18.19607843] ; [27.19607843 45.80392157],0
p11,1,0.101292,2.685079,[19 13] ; [60 20],[22.57142857  9.42857143] ; [56.42857143 23.57142857],0
a6,1,0.142131,2.154733,[17 15] ; [53 25],[20.36363636 11.63636364] ; [49.63636364 28.36363636],0
a2,1,0.145272,2.121212,[ 4 28] ; [20 60],[ 6.85714286 25.14285714] ; [17.14285714 62.85714286],0
p5,1,0.169896,1.883857,[ 1 30] ; [ 9 68],[ 2.87037037 28.12962963] ; [ 7.12962963 69.87037037],0
d2,1,0.210219,1.56992,[12 20] ; [39 38],[14.97247706 17.02752294] ; [36.02752294 40.97247706],0
d4,1,0.245712,1.347518,[26  6] ; [55 23],[23.56363636  8.43636364] ; [57.43636364 20.56363636],0
s3,1,0.249629,1.325379,[14 18] ; [43 34],[16.73394495 15.26605505] ; [40.26605505 36.73394495],0
a8,1,0.278579,1.17401,[ 2 30] ; [10 64],[ 3.62264151 28.37735849] ; [ 8.37735849 65.62264151],0
a7,1,0.280139,1.166414,[19 13] ; [56 24],[21.42857143 10.57142857] ; [53.57142857 26.42857143],0
p12,1,0.333998,0.933333,[ 2 30] ; [10 70],[ 3.42857143 28.57142857] ; [ 8.57142857 71.42857143],0
a4,1,0.338979,0.914288,[13 19] ; [40 39],[15.27927928 16.72072072] ; [37.72072072 41.27927928],0
v1,1,0.33997,0.910545,[13 19] ; [39 38],[15.26605505 16.73394495] ; [36.73394495 40.26605505],0
b5,1,0.346797,0.885142,[23  9] ; [50 30],[20.85714286 11.14285714] ; [52.14285714 27.85714286],0
s7,1,0.347515,0.882511,[12 19] ; [37 39],[14.19626168 16.80373832] ; [34.80373832 41.19626168],0
p7,1,0.376534,0.781986,[10 22] ; [31 46],[12.03669725 19.96330275] ; [28.96330275 48.03669725],0
u3,1,0.38917,0.741533,[8 4] ; [14 13],[6.76923077 5.23076923] ; [15.23076923 11.76923077],0
n1,1,0.423187,0.641447,[5 7] ; [15 12],[6.15384615 5.84615385] ; [13.84615385 13.15384615],0
b4,1,0.429767,0.623452,[17 15] ; [49 31],[18.85714286 13.14285714] ; [47.14285714 32.85714286],0
n3,1,0.463291,0.537931,[8 4] ; [21  6],[8.92307692 3.07692308] ; [20.07692308  6.92307692],0
p3,1,0.503852,0.446813,[10 22] ; [30 49],[11.53153153 20.46846847] ; [28.46846847 50.53153153],0
u4,1,0.507001,0.440252,[ 1 31] ; [ 5 75],[ 1.71428571 30.28571429] ; [ 4.28571429 75.71428571],0
u1,1,0.515126,0.423641,[ 4 28] ; [14 66],[ 5.14285714 26.85714286] ; [12.85714286 67.14285714],0
r3,1,0.52953,0.395294,[30  2] ; [72  8],[29.14285714  2.85714286] ; [72.85714286  7.14285714],0
v4,1,0.546891,0.362916,[28  4] ; [73  7],[28.85714286  3.14285714] ; [72.14285714  7.85714286],0
b2,1,0.570266,0.322238,[ 6 13] ; [21 33],[ 7.02739726 11.97260274] ; [19.97260274 34.02739726],0
b3,1,0.570266,0.322238,[ 6 13] ; [21 33],[ 7.02739726 11.97260274] ; [19.97260274 34.02739726],0
p4,1,0.608376,0.262547,[13 19] ; [28 51],[11.81981982 20.18018018] ; [29.18018018 49.81981982],0
r4,1,0.617315,0.249659,[28  4] ; [67 13],[27.14285714  4.85714286] ; [67.85714286 12.14285714],0
n2,1,0.63196,0.229412,[10  2] ; [24  3],[10.46153846  1.53846154] ; [23.53846154  3.46153846],0
a3,1,0.644435,0.212988,[20 12] ; [53 26],[21.04504505 10.95495495] ; [51.95495495 27.04504505],0
a1,1,0.660174,0.193312,[ 2 30] ; [ 7 73],[ 2.57142857 29.42857143] ; [ 6.42857143 73.57142857],0
u2,1,0.748053,0.103175,[6 6] ; [15 12],[6.46153846 5.53846154] ; [14.53846154 12.46153846],0
d1,1,0.763767,0.090323,[17 15] ; [45 35],[17.71428571 14.28571429] ; [44.28571429 35.71428571],0
s5,1,0.767139,0.087686,[ 9 18] ; [23 53],[ 8.38834951 18.61165049] ; [23.61165049 52.38834951],0
p1,1,0.771948,0.084,[ 3 29] ; [ 9 71],[ 3.42857143 28.57142857] ; [ 8.57142857 71.42857143],0
p8,1,0.793183,0.068738,[10 22] ; [23 57],[ 9.42857143 22.57142857] ; [23.57142857 56.42857143],0
p10,1,0.811228,0.057046,[27  5] ; [66 14],[26.57142857  5.42857143] ; [66.42857143 13.57142857],0
r1,1,0.844114,0.038665,[23  9] ; [56 24],[22.57142857  9.42857143] ; [56.42857143 23.57142857],0
p6,1,0.868329,0.027483,[ 9 23] ; [21 58],[ 8.64864865 23.35135135] ; [21.35135135 57.64864865],0
d5,1,0.886396,0.020411,[23  9] ; [55 23],[22.69090909  9.30909091] ; [55.30909091 22.69090909],0
v2,1,0.892398,0.018298,[16 14] ; [40 33],[16.31067961 13.68932039] ; [39.68932039 33.31067961],0
s6,1,0.906148,0.0139,[19 12] ; [50 30],[19.27027027 11.72972973] ; [49.72972973 30.27027027],0
r2,1,0.931693,0.007347,[29  3] ; [72  7],[29.11711712  2.88288288] ; [71.88288288  7.11711712],0
d3,1,0.931702,0.007345,[19 13] ; [47 31],[19.2 12.8] ; [46.8 31.2],0
s1,1,0.975052,0.000978,[ 2 30] ; [ 5 73],[ 2.03636364 29.96363636] ; [ 4.96363636 73.03636364],0
s2,1,0.978467,0.000729,[16 15] ; [41 38],[16.06363636 14.93636364] ; [40.93636364 38.06363636],0
