Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000585,11.821594,[ 2 27] ; [16 19],[ 8.15625 20.84375] ; [ 9.84375 25.15625],1
r3,1,0.011845,6.333911,[15 13] ; [29  6],[19.55555556  8.44444444] ; [24.44444444 10.55555556],0
d3,1,0.023824,5.107389,[10 19] ; [22 13],[14.5 14.5] ; [17.5 17.5],0
b4,1,0.044442,4.039672,[22  7] ; [18 17],[18.125 10.875] ; [21.875 13.125],0
p2,1,0.058781,3.571454,[14 15] ; [25 10],[17.671875 11.328125] ; [21.328125 13.671875],0
n4,1,0.070551,3.270163,[19 10] ; [15 20],[15.40625 13.59375] ; [18.59375 16.40625],0
u2,1,0.072998,3.214286,[4 8] ; [12  6],[6.4 5.6] ; [9.6 8.4],0
a2,1,0.104629,2.633528,[ 4 25] ; [ 1 34],[ 2.265625 26.734375] ; [ 2.734375 32.265625],0
a5,1,0.11314,2.509805,[19 10] ; [16 19],[15.859375 13.140625] ; [19.140625 15.859375],0
n1,1,0.120507,2.410714,[4 5] ; [ 3 15],[2.33333333 6.66666667] ; [ 4.66666667 13.33333333],0
p9,1,0.133681,2.249224,[14 13] ; [24 10],[16.81967213 10.18032787] ; [21.18032787 12.81967213],0
b1,1,0.159664,1.977402,[14 15] ; [23 12],[16.765625 12.234375] ; [20.234375 14.765625],0
p4,1,0.191837,1.703452,[11 18] ; [19 16],[13.59375 15.40625] ; [16.40625 18.59375],0
a6,1,0.209287,1.576355,[12 17] ; [20 15],[14.5 14.5] ; [17.5 17.5],0
n6,1,0.223129,1.484135,[15 13] ; [24 11],[17.33333333 10.66666667] ; [21.66666667 13.33333333],0
d5,1,0.241781,1.370177,[14 15] ; [22 13],[16.3125 12.6875] ; [19.6875 15.3125],0
d2,1,0.293887,1.101729,[11 18] ; [ 9 26],[ 9.0625 19.9375] ; [10.9375 24.0625],0
a8,1,0.29627,1.090909,[ 6 21] ; [ 4 29],[ 4.5 22.5] ; [ 5.5 27.5],0
v2,1,0.301919,1.065699,[ 8 20] ; [14 20],[ 9.93548387 18.06451613] ; [12.06451613 21.93548387],0
a4,1,0.303136,1.060346,[10 19] ; [ 8 27],[ 8.15625 20.84375] ; [ 9.84375 25.15625],0
p8,1,0.303547,1.058547,[ 7 21] ; [13 22],[ 8.88888889 19.11111111] ; [11.11111111 23.88888889],0
p5,1,0.31624,1.004434,[ 3 25] ; [ 7 28],[ 4.44444444 23.55555556] ; [ 5.55555556 29.44444444],0
a3,1,0.336616,0.923276,[17 11] ; [17 18],[15.11111111 12.88888889] ; [18.88888889 16.11111111],0
p10,1,0.352486,0.864488,[13 14] ; [21 14],[14.80645161 12.19354839] ; [19.19354839 15.80645161],0
d1,1,0.376412,0.782388,[ 7 22] ; [12 23],[ 8.609375 20.390625] ; [10.390625 24.609375],0
p11,1,0.389527,0.740418,[16 13] ; [23 12],[17.671875 11.328125] ; [21.328125 13.671875],0
p7,1,0.393004,0.729627,[11 18] ; [17 18],[12.6875 16.3125] ; [15.3125 19.6875],0
b3,1,0.415426,0.663219,[ 6 15] ; [ 7 10],[ 7.18421053 13.81578947] ; [ 5.81578947 11.18421053],0
b2,1,0.415426,0.663219,[ 6 15] ; [ 7 10],[ 7.18421053 13.81578947] ; [ 5.81578947 11.18421053],0
p3,1,0.427939,0.628409,[ 6 23] ; [10 24],[ 7.36507937 21.63492063] ; [ 8.63492063 25.36507937],0
u1,1,0.446625,0.579203,[ 2 27] ; [ 1 34],[ 1.359375 27.640625] ; [ 1.640625 33.359375],0
v3,1,0.468525,0.525452,[ 6 23] ; [10 25],[ 7.25 21.75] ; [ 8.75 26.25],0
p1,1,0.491996,0.472158,[ 3 26] ; [ 2 33],[ 2.265625 26.734375] ; [ 2.734375 32.265625],0
s6,1,0.494256,0.467248,[10 19] ; [15 20],[11.328125 17.671875] ; [13.671875 21.328125],0
n5,1,0.530249,0.393915,[18 11] ; [19 16],[16.765625 12.234375] ; [20.234375 14.765625],0
s7,1,0.55565,0.347293,[ 5 21] ; [ 8 23],[ 5.92982456 20.07017544] ; [ 7.07017544 23.92982456],0
n3,1,0.579639,0.306818,[6 3] ; [10  8],[5.33333333 3.66666667] ; [10.66666667  7.33333333],0
a7,1,0.632007,0.22935,[14 15] ; [19 16],[14.953125 14.046875] ; [18.046875 16.953125],0
r1,1,0.649939,0.205977,[10 19] ; [14 21],[10.875 18.125] ; [13.125 21.875],0
b5,1,0.697064,0.151545,[16 13] ; [21 14],[16.765625 12.234375] ; [20.234375 14.765625],0
s5,1,0.713321,0.134983,[ 4 25] ; [ 6 29],[ 4.53125 24.46875] ; [ 5.46875 29.53125],0
s3,1,0.731862,0.117409,[ 8 19] ; [ 9 26],[ 7.40322581 19.59677419] ; [ 9.59677419 25.40322581],0
d4,1,0.782734,0.076042,[20  9] ; [23 12],[19.484375  9.515625] ; [23.515625 11.484375],0
v1,1,0.782734,0.076042,[ 9 20] ; [12 23],[ 9.515625 19.484375] ; [11.484375 23.515625],0
a1,1,0.803717,0.061772,[ 2 27] ; [ 3 32],[ 2.265625 26.734375] ; [ 2.734375 32.265625],0
