Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000196,13.87179,[ 7 10] ; [81 17],[13.00869565  3.99130435] ; [74.99130435 23.00869565],1
r4,1,0.001024,10.783099,[12  5] ; [93  5],[15.52173913  1.47826087] ; [89.47826087  8.52173913],0
r2,1,0.026193,4.943244,[12  4] ; [90  7],[14.44247788  1.55752212] ; [87.55752212  9.44247788],0
s1,1,0.036308,4.382584,[ 2 14] ; [ 2 95],[ 0.56637168 15.43362832] ; [ 3.43362832 93.56637168],0
d3,1,0.058838,3.569832,[8 9] ; [69 29],[11.3826087  5.6173913] ; [65.6173913 32.3826087],0
v4,1,0.060544,3.522424,[14  3] ; [93  5],[15.8173913  1.1826087] ; [91.1826087  6.8173913],0
s5,1,0.062451,3.471055,[ 1 14] ; [28 67],[ 3.95454545 11.04545455] ; [25.04545455 69.95454545],0
p9,1,0.088155,2.907737,[13  4] ; [88  9],[15.06140351  1.93859649] ; [85.93859649 11.06140351],0
p1,1,0.102428,2.667331,[ 3 14] ; [ 6 92],[ 1.33043478 15.66956522] ; [ 7.66956522 90.33043478],0
b5,1,0.11218,2.523238,[ 6 11] ; [55 43],[9.0173913 7.9826087] ; [51.9826087 46.0173913],0
d5,1,0.112879,2.513439,[11  6] ; [80 18],[13.45217391  3.54782609] ; [77.54782609 20.45217391],0
a2,1,0.114937,2.484994,[ 1 16] ; [22 76],[ 3.4 13.6] ; [19.6 78.4],0
n5,1,0.131436,2.275457,[10  7] ; [74 23],[12.52631579  4.47368421] ; [71.47368421 25.52631579],0
a4,1,0.133192,2.254902,[ 4 13] ; [42 56],[ 6.8 10.2] ; [39.2 58.8],0
n3,1,0.138795,2.191263,[6 1] ; [12 10],[4.34482759 2.65517241] ; [13.65517241  8.34482759],0
n4,1,0.156643,2.006342,[12  5] ; [83 15],[14.04347826  2.95652174] ; [80.95652174 17.04347826],0
a8,1,0.171122,1.873084,[ 1 15] ; [18 69],[ 2.95145631 13.04854369] ; [16.04854369 70.95145631],0
p10,1,0.229255,1.445478,[12  4] ; [84 13],[13.59292035  2.40707965] ; [82.40707965 14.59292035],0
d4,1,0.243011,1.363042,[12  5] ; [81 17],[13.74782609  3.25217391] ; [79.25217391 18.74782609],0
