Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.945498,[3 6] ; [94  9],[7.79464286 1.20535714] ; [89.20535714 13.79464286],1
r2,1,9e-05,15.337691,[4 4] ; [95  7],[7.2 0.8] ; [91.8 10.2],1
r3,1,0.000465,12.251133,[6 3] ; [99  4],[8.4375 0.5625] ; [96.5625  6.4375],1
p2,1,0.001297,10.346678,[4 5] ; [89 14],[7.47321429 1.52678571] ; [85.52678571 17.47321429],0
p4,1,0.003765,8.393972,[2 7] ; [72 31],[5.94642857 3.05357143] ; [68.05357143 34.94642857],0
p10,1,0.007457,7.159443,[5 4] ; [90 12],[7.7027027 1.2972973] ; [87.2972973 14.7027027],0
r1,1,0.016559,5.742509,[4 5] ; [82 21],[6.91071429 2.08928571] ; [79.08928571 23.91071429],0
v2,1,0.022465,5.209439,[2 7] ; [62 39],[5.23636364 3.76363636] ; [58.76363636 42.23636364],0
p3,1,0.027279,4.873067,[2 7] ; [62 41],[5.14285714 3.85714286] ; [58.85714286 44.14285714],0
s1,1,0.028506,4.797221,[1 8] ; [  1 101],[0.16216216 8.83783784] ; [  1.83783784 100.16216216],0
s8,1,0.039503,4.239122,[2 7] ; [59 43],[4.94594595 4.05405405] ; [56.05405405 45.94594595],0
n5,1,0.044389,4.041697,[4 5] ; [77 25],[6.56756757 2.43243243] ; [74.43243243 27.56756757],0
p7,1,0.045863,3.98662,[3 6] ; [68 34],[5.75675676 3.24324324] ; [65.24324324 36.75675676],0
p9,1,0.055825,3.657273,[5 3] ; [89 13],[6.83636364 1.16363636] ; [87.16363636 14.83636364],0
p8,1,0.072405,3.22763,[2 7] ; [54 47],[4.58181818 4.41818182] ; [51.41818182 49.58181818],0
a7,1,0.073387,3.205596,[4 5] ; [75 28],[6.34821429 2.65178571] ; [72.65178571 30.34821429],0
s6,1,0.079453,3.07606,[3 6] ; [65 38],[5.46428571 3.53571429] ; [62.53571429 40.46428571],0
n4,1,0.115703,2.474537,[5 4] ; [81 22],[6.91071429 2.08928571] ; [79.08928571 23.91071429],0
v3,1,0.116204,2.467748,[2 7] ; [50 51],[4.25454545 4.74545455] ; [47.74545455 53.25454545],0
a6,1,0.153018,2.041907,[4 5] ; [70 33],[5.94642857 3.05357143] ; [68.05357143 34.94642857],0
s5,1,0.169007,1.891729,[1 8] ; [34 68],[2.83783784 6.16216216] ; [32.16216216 69.83783784],0
a4,1,0.184208,1.763344,[2 7] ; [46 56],[3.89189189 5.10810811] ; [44.10810811 57.89189189],0
d1,1,0.204274,1.611551,[3 6] ; [57 46],[4.82142857 4.17857143] ; [55.17857143 47.82142857],0
d5,1,0.242467,1.366194,[6 3] ; [85 18],[7.3125 1.6875] ; [83.6875 19.3125],0
a2,1,0.291131,1.114384,[1 8] ; [28 75],[2.33035714 6.66964286] ; [26.66964286 76.33035714],0
a1,1,0.314004,1.013758,[1 8] ; [ 4 99],[0.40178571 8.59821429] ; [ 4.59821429 98.40178571],0
u1,1,0.315663,1.006832,[1 8] ; [27 76],[2.25 6.75] ; [25.75 77.25],0
n6,1,0.323866,0.973271,[6 2] ; [90 13],[6.91891892 1.08108108] ; [89.08108108 13.91891892],0
b5,1,0.326495,0.962752,[4 5] ; [63 40],[5.38392857 3.61607143] ; [61.61607143 41.38392857],0
s2,1,0.341862,0.903438,[1 8] ; [26 77],[2.16964286 6.83035714] ; [24.83035714 78.16964286],0
d3,1,0.373189,0.793018,[5 4] ; [72 31],[6.1875 2.8125] ; [70.8125 32.1875],0
b4,1,0.380789,0.768155,[6 3] ; [53 50],[4.74107143 4.25892857] ; [54.25892857 48.74107143],0
a3,1,0.392595,0.730889,[8 1] ; [78 24],[6.97297297 2.02702703] ; [79.02702703 22.97297297],0
a8,1,0.424015,0.639161,[2 7] ; [11 76],[1.21875 7.78125] ; [11.78125 75.21875],0
n3,1,0.429441,0.624336,[4 1] ; [16 10],[3.22580645 1.77419355] ; [16.77419355  9.22580645],0
s4,1,0.486626,0.483978,[2 7] ; [14 88],[1.2972973 7.7027027] ; [14.7027027 87.2972973],0
b1,1,0.527453,0.399295,[4 5] ; [35 68],[3.13392857 5.86607143] ; [35.86607143 67.13392857],0
p1,1,0.529851,0.394678,[1 8] ; [ 6 97],[0.5625 8.4375] ; [ 6.4375 96.5625],0
p11,1,0.595166,0.282348,[6 3] ; [77 26],[6.66964286 2.33035714] ; [76.33035714 26.66964286],0
d2,1,0.728147,0.12082,[4 5] ; [52 51],[4.5 4.5] ; [51.5 51.5],0
d4,1,0.780785,0.077449,[7 2] ; [84 19],[7.3125 1.6875] ; [83.6875 19.3125],0
n2,1,0.817734,0.053112,[3 2] ; [17  9],[3.22580645 1.77419355] ; [16.77419355  9.22580645],0
v1,1,0.821316,0.051009,[5 3] ; [59 42],[4.69724771 3.30275229] ; [59.30275229 41.69724771],0
p5,1,0.83399,0.043927,[1 8] ; [14 89],[1.20535714 7.79464286] ; [13.79464286 89.20535714],0
b2,1,0.884386,0.021145,[4 4] ; [35 39],[3.80487805 4.19512195] ; [35.19512195 38.80487805],0
b3,1,0.884386,0.021145,[4 4] ; [35 39],[3.80487805 4.19512195] ; [35.19512195 38.80487805],0
n1,1,0.948429,0.004184,[2 3] ; [10 16],[1.93548387 3.06451613] ; [10.06451613 15.93548387],0
a5,1,0.951751,0.003661,[7 2] ; [81 22],[7.07142857 1.92857143] ; [80.92857143 22.07142857],0
