Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.002582,9.081298,[ 3 29] ; [11 14],[ 7.85964912 24.14035088] ; [ 6.14035088 18.85964912],0
s8,1,0.00462,8.02266,[ 3 29] ; [10 14],[ 7.42857143 24.57142857] ; [ 5.57142857 18.42857143],0
n6,1,0.005693,7.644903,[15 16] ; [21  4],[19.92857143 11.07142857] ; [16.07142857  8.92857143],0
s6,1,0.01257,6.228704,[ 7 25] ; [13 11],[11.42857143 20.57142857] ; [ 8.57142857 15.42857143],0
a3,1,0.013148,6.149068,[16 16] ; [19  4],[20.36363636 11.63636364] ; [14.63636364  8.36363636],0
p8,1,0.016301,5.770125,[ 6 25] ; [12 12],[10.14545455 20.85454545] ; [ 7.85454545 16.14545455],0
p10,1,0.017898,5.606114,[10 21] ; [16  9],[14.39285714 16.60714286] ; [11.60714286 13.39285714],0
p5,1,0.023927,5.099914,[ 2 29] ; [ 7 17],[ 5.07272727 25.92727273] ; [ 3.92727273 20.07272727],0
v3,1,0.028318,4.808587,[ 4 28] ; [ 9 15],[ 7.42857143 24.57142857] ; [ 5.57142857 18.42857143],0
p3,1,0.029425,4.742547,[ 5 27] ; [10 14],[ 8.57142857 23.42857143] ; [ 6.42857143 17.57142857],0
v4,1,0.034887,4.450718,[17 15] ; [20  5],[20.77192982 11.22807018] ; [16.22807018  8.77192982],0
s7,1,0.042251,4.125119,[ 6 24] ; [11 13],[ 9.44444444 20.55555556] ; [ 7.55555556 16.44444444],0
n2,1,0.0505,3.824774,[7 8] ; [15  4],[9.70588235 5.29411765] ; [12.29411765  6.70588235],0
b3,1,0.114685,2.48845,[12 12] ; [ 5 14],[ 9.48837209 14.51162791] ; [ 7.51162791 11.48837209],0
b2,1,0.114685,2.48845,[12 12] ; [ 5 14],[ 9.48837209 14.51162791] ; [ 7.51162791 11.48837209],0
p9,1,0.125763,2.344036,[12 17] ; [15  9],[14.77358491 14.22641509] ; [12.22641509 11.77358491],0
b4,1,0.171997,1.865455,[16 16] ; [17  8],[18.52631579 13.47368421] ; [14.47368421 10.52631579],0
n1,1,0.179183,1.804386,[6 9] ; [12  7],[7.94117647 7.05882353] ; [10.05882353  8.94117647],0
d3,1,0.181105,1.788537,[11 21] ; [13 12],[13.47368421 18.52631579] ; [10.52631579 14.47368421],0
p12,1,0.193048,1.694204,[ 1 31] ; [ 3 22],[ 2.24561404 29.75438596] ; [ 1.75438596 23.24561404],0
p2,1,0.214394,1.541505,[12 20] ; [13 11],[14.28571429 17.71428571] ; [10.71428571 13.28571429],0
s4,1,0.217165,1.523004,[ 8 24] ; [ 3 22],[ 6.1754386 25.8245614] ; [ 4.8245614 20.1754386],0
r2,1,0.235467,1.407532,[20 11] ; [19  5],[21.98181818  9.01818182] ; [17.01818182  6.98181818],0
v2,1,0.237903,1.392979,[ 6 25] ; [ 8 16],[ 7.89090909 23.10909091] ; [ 6.10909091 17.89090909],0
a7,1,0.273637,1.198425,[12 20] ; [13 12],[14.03508772 17.96491228] ; [10.96491228 14.03508772],0
s5,1,0.277312,1.180215,[ 6 25] ; [ 8 17],[ 7.75 23.25] ; [ 6.25 18.75],0
d1,1,0.322067,0.980536,[10 22] ; [11 14],[11.78947368 20.21052632] ; [ 9.21052632 15.78947368],0
a1,1,0.330712,0.946109,[ 7 25] ; [ 3 22],[ 5.61403509 26.38596491] ; [ 4.38596491 20.61403509],0
