Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,3e-06,21.636861,[5 3] ; [280  10],[7.65100671 0.34899329] ; [277.34899329  12.65100671],1
r1,1,8e-06,20.04677,[2 6] ; [247  44],[6.66220736 1.33779264] ; [242.33779264  48.66220736],1
r4,1,1.5e-05,18.759758,[4 4] ; [272  21],[7.33554817 0.66445183] ; [268.66445183  24.33554817],1
v4,1,7.3e-05,15.732138,[6 2] ; [285   6],[7.78595318 0.21404682] ; [283.21404682   7.78595318],1
d5,1,0.01423,6.009437,[4 4] ; [241  48],[6.5993266 1.4006734] ; [238.4006734  50.5993266],0
p10,1,0.017958,5.600247,[5 3] ; [261  31],[7.09333333 0.90666667] ; [258.90666667  33.09333333],0
p9,1,0.017958,5.600247,[5 3] ; [261  31],[7.09333333 0.90666667] ; [258.90666667  33.09333333],0
s7,1,0.02164,5.274507,[3 5] ; [211  74],[5.84300341 2.15699659] ; [208.15699659  76.84300341],0
s3,1,0.036746,4.362123,[5 3] ; [256  36],[6.96 1.04] ; [254.04  37.96],0
s6,1,0.039826,4.225273,[5 3] ; [251  36],[6.94237288 1.05762712] ; [249.05762712  37.94237288],0
d4,1,0.053774,3.719696,[5 3] ; [251  39],[6.87248322 1.12751678] ; [249.12751678  40.87248322],0
s8,1,0.103236,2.654826,[3 5] ; [191 101],[5.17333333 2.82666667] ; [188.82666667 103.17333333],0
s5,1,0.137925,2.200958,[2 6] ; [146 137],[4.06872852 3.93127148] ; [143.93127148 139.06872852],0
d1,1,0.139511,2.183341,[3 5] ; [185 108],[4.99667774 3.00332226] ; [183.00332226 109.99667774],0
d2,1,0.165817,1.920361,[2 6] ; [145 146],[3.93311037 4.06688963] ; [143.06688963 147.93311037],0
a7,1,0.187025,1.740897,[4 4] ; [208  83],[5.6722408 2.3277592] ; [206.3277592  84.6722408],0
p2,1,0.214551,1.540446,[6 2] ; [261  32],[7.09634551 0.90365449] ; [259.90365449  33.09634551],0
b5,1,0.318282,0.995994,[6 2] ; [168 125],[4.62458472 3.37541528] ; [169.37541528 123.62458472],0
a5,1,0.431826,0.617908,[7 1] ; [221  72],[6.05980066 1.94019934] ; [221.94019934  71.05980066],0
s4,1,0.463452,0.537544,[1 7] ; [ 68 220],[1.86486486 6.13513514] ; [ 67.13513514 220.86486486],0
n3,1,0.482284,0.493695,[1 1] ; [40 15],[1.43859649 0.56140351] ; [39.56140351 15.43859649],0
v2,1,0.530181,0.394044,[4 4] ; [172 110],[4.85517241 3.14482759] ; [171.14482759 110.85517241],0
a4,1,0.55289,0.352164,[3 5] ; [141 152],[3.82724252 4.17275748] ; [140.17275748 152.82724252],0
p8,1,0.590398,0.289723,[6 2] ; [193 100],[5.28903654 2.71096346] ; [193.71096346  99.28903654],0
p11,1,0.597859,0.278238,[6 2] ; [241  52],[6.56478405 1.43521595] ; [240.43521595  52.56478405],0
n4,1,0.616965,0.250156,[7 1] ; [234  57],[6.44816054 1.55183946] ; [234.55183946  56.44816054],0
n5,1,0.628656,0.233888,[6 2] ; [237  53],[6.52348993 1.47651007] ; [236.47651007  53.52348993],0
a1,1,0.631899,0.229494,[1 7] ; [ 23 270],[0.63787375 7.36212625] ; [ 23.36212625 269.63787375],0
b2,1,0.642694,0.215237,[3 3] ; [ 75 110],[2.45026178 3.54973822] ; [ 75.54973822 109.45026178],0
b3,1,0.642694,0.215237,[3 3] ; [ 75 110],[2.45026178 3.54973822] ; [ 75.54973822 109.45026178],0
a6,1,0.658004,0.195958,[6 2] ; [196  94],[5.42281879 2.57718121] ; [196.57718121  93.42281879],0
b4,1,0.658089,0.195853,[5 3] ; [160 133],[4.38538206 3.61461794] ; [160.61461794 132.38538206],0
v3,1,0.685377,0.164136,[3 5] ; [127 157],[3.56164384 4.43835616] ; [126.43835616 157.56164384],0
p6,1,0.796257,0.066664,[4 4] ; [160 133],[4.35880399 3.64119601] ; [159.64119601 133.35880399],0
v1,1,0.813522,0.055642,[5 3] ; [168 120],[4.67567568 3.32432432] ; [168.32432432 119.67567568],0
b1,1,0.814713,0.05492,[3 5] ; [122 171],[3.32225914 4.67774086] ; [121.67774086 171.32225914],0
a3,1,0.854355,0.033696,[6 2] ; [227  65],[6.21333333 1.78666667] ; [226.78666667  65.21333333],0
p3,1,0.914315,0.011577,[5 3] ; [177 115],[4.85333333 3.14666667] ; [177.14666667 114.85333333],0
d3,1,0.92186,0.009622,[6 2] ; [213  77],[5.87919463 2.12080537] ; [213.12080537  76.87919463],0
