Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000159,14.266254,[ 1 11] ; [18  6],[6.33333333 5.66666667] ; [12.66666667 11.33333333],1
d1,1,0.004124,8.228571,[ 1 11] ; [14 10],[5. 7.] ; [10. 14.],0
d3,1,0.009411,6.743034,[ 2 10] ; [15  9],[5.66666667 6.33333333] ; [11.33333333 12.66666667],0
n5,1,0.017706,5.625,[10  2] ; [10 14],[6.66666667 5.33333333] ; [13.33333333 10.66666667],0
d2,1,0.023843,5.106032,[3 9] ; [15  8],[6.17142857 5.82857143] ; [11.82857143 11.17142857],0
r3,1,0.031444,4.628571,[ 2 10] ; [13 11],[5. 7.] ; [10. 14.],0
a1,1,0.060793,3.515625,[3 9] ; [ 1 23],[ 1.33333333 10.66666667] ; [ 2.66666667 21.33333333],0
a5,1,0.096875,2.75625,[3 9] ; [13 11],[5.33333333 6.66666667] ; [10.66666667 13.33333333],0
r1,1,0.096875,2.75625,[3 9] ; [13 11],[5.33333333 6.66666667] ; [10.66666667 13.33333333],0
a3,1,0.149603,2.076293,[4 7] ; [15  9],[5.97142857 5.02857143] ; [13.02857143 10.97142857],0
b4,1,0.151494,2.057143,[5 7] ; [16  8],[7. 5.] ; [14. 10.],0
v1,1,0.156376,2.008929,[ 1 11] ; [ 7 17],[2.66666667 9.33333333] ; [ 5.33333333 18.66666667],0
s4,1,0.172848,1.858065,[3 9] ; [ 2 22],[ 1.66666667 10.33333333] ; [ 3.33333333 20.66666667],0
r2,1,0.181423,1.78593,[5 7] ; [15  8],[6.85714286 5.14285714] ; [13.14285714  9.85714286],0
p3,1,0.233614,1.418719,[ 1 11] ; [ 6 18],[2.33333333 9.66666667] ; [ 4.66666667 19.33333333],0
s6,1,0.292584,1.107692,[ 2 10] ; [ 8 16],[3.33333333 8.66666667] ; [ 6.66666667 17.33333333],0
n2,1,0.329114,0.952381,[2 8] ; [4 6],[3. 7.] ; [3. 7.],0
a7,1,0.342782,0.9,[4 8] ; [12 12],[5.33333333 6.66666667] ; [10.66666667 13.33333333],0
b1,1,0.345033,0.891641,[5 7] ; [14 10],[6.33333333 5.66666667] ; [12.66666667 11.33333333],0
b2,1,0.371093,0.8,[4 4] ; [ 5 11],[3. 5.] ; [ 6. 10.],0
b3,1,0.371093,0.8,[4 4] ; [ 5 11],[3. 5.] ; [ 6. 10.],0
a4,1,0.403173,0.698842,[3 9] ; [ 9 14],[4.11428571 7.88571429] ; [ 7.88571429 15.11428571],0
p11,1,0.414216,0.666667,[ 2 10] ; [ 7 17],[3. 9.] ; [ 6. 18.],0
p1,1,0.453255,0.5625,[ 2 10] ; [ 2 22],[ 1.33333333 10.66666667] ; [ 2.66666667 21.33333333],0
p2,1,0.551476,0.35468,[3 9] ; [ 4 20],[2.33333333 9.66666667] ; [ 4.66666667 19.33333333],0
p8,1,0.552119,0.353535,[ 1 10] ; [ 4 20],[1.57142857 9.42857143] ; [ 3.42857143 20.57142857],0
s3,1,0.554015,0.350173,[3 9] ; [ 8 15],[3.77142857 8.22857143] ; [ 7.22857143 15.77142857],0
s2,1,0.57075,0.321429,[ 2 10] ; [ 6 18],[2.66666667 9.33333333] ; [ 5.33333333 18.66666667],0
p4,1,0.57075,0.321429,[ 2 10] ; [ 6 18],[2.66666667 9.33333333] ; [ 5.33333333 18.66666667],0
n4,1,0.628745,0.233766,[8 4] ; [14 10],[7.33333333 4.66666667] ; [14.66666667  9.33333333],0
n1,1,0.639207,0.21978,[4 6] ; [3 7],[3.5 6.5] ; [3.5 6.5],0
a2,1,0.70766,0.140625,[ 1 11] ; [ 3 21],[ 1.33333333 10.66666667] ; [ 2.66666667 21.33333333],0
s1,1,0.733271,0.116129,[ 2 10] ; [ 3 21],[ 1.66666667 10.33333333] ; [ 3.33333333 20.66666667],0
n6,1,0.736183,0.11351,[4 8] ; [ 9 14],[4.45714286 7.54285714] ; [ 8.54285714 14.45714286],0
n3,1,0.763573,0.090476,[4 6] ; [3 6],[3.68421053 6.31578947] ; [3.31578947 5.68421053],0
p7,1,0.776814,0.080357,[3 9] ; [ 5 19],[2.66666667 9.33333333] ; [ 5.33333333 18.66666667],0
a6,1,0.812524,0.05625,[5 7] ; [11 13],[5.33333333 6.66666667] ; [10.66666667 13.33333333],0
b5,1,0.813381,0.055728,[6 6] ; [11 13],[5.66666667 6.33333333] ; [11.33333333 12.66666667],0
s7,1,0.864547,0.029101,[ 2 10] ; [ 4 17],[2.18181818 9.81818182] ; [ 3.81818182 17.18181818],0
u3,1,0.929308,0.00787,[1 7] ; [1 8],[0.94117647 7.05882353] ; [1.05882353 7.94117647],0
p6,1,0.940753,0.005524,[ 1 10] ; [ 2 22],[ 0.94285714 10.05714286] ; [ 2.05714286 21.94285714],0
a8,1,1.0,0.0,[ 1 11] ; [ 2 22],[ 1. 11.] ; [ 2. 22.],0
