Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,35.345455,[26 38] ; [106  22],[44. 20.] ; [88. 40.],1
d3,1,0.0,28.261953,[25 39] ; [99 28],[41.54973822 22.45026178] ; [82.45026178 44.54973822],1
d1,1,8.7e-05,15.400182,[20 44] ; [79 50],[32.82901554 31.17098446] ; [66.17098446 62.82901554],1
a2,1,0.000141,14.489885,[ 7 57] ; [48 81],[18.23834197 45.76165803] ; [36.76165803 92.23834197],1
u1,1,0.000475,12.211562,[ 4 60] ; [36 93],[13.2642487 50.7357513] ; [ 26.7357513 102.2642487],1
p9,1,0.001241,10.428897,[43 21] ; [112  17],[51.39896373 12.60103627] ; [103.60103627  25.39896373],0
p10,1,0.001922,9.622299,[40 23] ; [107  21],[48.48691099 14.51308901] ; [98.51308901 29.48691099],0
d5,1,0.00305,8.777143,[42 22] ; [108  20],[50. 14.] ; [100.  28.],0
r3,1,0.003766,8.393443,[57  7] ; [126   2],[61.  3.] ; [122.   6.],0
b5,1,0.003918,8.321248,[31 33] ; [90 39],[40.12435233 23.87564767] ; [80.87564767 48.12435233],0
r2,1,0.005142,7.828836,[54 10] ; [120   5],[58.92063492  5.07936508] ; [115.07936508   9.92063492],0
a5,1,0.010593,6.532304,[36 28] ; [96 33],[43.77202073 20.22797927] ; [88.22797927 40.77202073],0
r4,1,0.016018,5.800862,[50 14] ; [117  12],[55.37823834  8.62176166] ; [111.62176166  17.37823834],0
s6,1,0.020349,5.381685,[33 30] ; [89 39],[40.2408377 22.7591623] ; [81.7591623 46.2408377],0
r1,1,0.022741,5.188185,[43 21] ; [104  23],[49.2565445 14.7434555] ; [97.7434555 29.2565445],0
a8,1,0.023529,5.12901,[ 5 53] ; [26 89],[10.39306358 47.60693642] ; [20.60693642 94.39306358],0
v4,1,0.024324,5.07141,[55  8] ; [122   5],[58.68947368  4.31052632] ; [118.31052632   8.68947368],0
d4,1,0.028084,4.822908,[44 19] ; [107  21],[49.80628272 13.19371728] ; [101.19371728  26.80628272],0
p3,1,0.044954,4.020376,[22 42] ; [64 65],[28.51813472 35.48186528] ; [57.48186528 71.51813472],0
