Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.026088,4.950145,[18 14] ; [ 6 17],[13.96363636 18.03636364] ; [10.03636364 12.96363636],0
d3,1,0.033965,4.496481,[19 13] ; [ 7 16],[15.12727273 16.87272727] ; [10.87272727 12.12727273],0
d2,1,0.036415,4.37756,[21 10] ; [ 9 14],[17.22222222 13.77777778] ; [12.77777778 10.22222222],0
d5,1,0.070174,3.278938,[23  9] ; [11 12],[19.78181818 12.21818182] ; [14.21818182  8.78181818],0
v4,1,0.074162,3.188406,[16 16] ; [ 6 17],[12.8 19.2] ; [ 9.2 13.8],0
a6,1,0.102345,2.668623,[21 11] ; [10 13],[18.03636364 13.96363636] ; [12.96363636 10.03636364],0
v3,1,0.116961,2.457547,[10 22] ; [ 3 20],[ 7.56363636 24.43636364] ; [ 5.43636364 17.56363636],0
u2,1,0.121335,2.4,[1 9] ; [4 6],[2.5 7.5] ; [2.5 7.5],0
p8,1,0.1392,2.186777,[ 8 24] ; [ 2 20],[ 5.92592593 26.07407407] ; [ 4.07407407 17.92592593],0
r1,1,0.163013,1.946048,[11 21] ; [ 4 19],[ 8.72727273 23.27272727] ; [ 6.27272727 16.72727273],0
b2,1,0.241374,1.372549,[9 8] ; [ 6 12],[7.28571429 9.71428571] ; [ 7.71428571 10.28571429],0
b3,1,0.241374,1.372549,[9 8] ; [ 6 12],[7.28571429 9.71428571] ; [ 7.71428571 10.28571429],0
s5,1,0.283494,1.150265,[ 4 27] ; [ 1 22],[ 2.87037037 28.12962963] ; [ 2.12962963 20.87037037],0
n4,1,0.315183,1.008832,[21 11] ; [12 11],[19.2 12.8] ; [13.8  9.2],0
s7,1,0.31822,0.99625,[ 8 23] ; [ 3 18],[ 6.55769231 24.44230769] ; [ 4.44230769 16.55769231],0
n3,1,0.373156,0.793129,[ 7 14] ; [5 5],[ 8.12903226 12.87096774] ; [3.87096774 6.12903226],0
n5,1,0.390889,0.736174,[23  9] ; [14  9],[21.52727273 10.47272727] ; [15.47272727  7.52727273],0
b5,1,0.396183,0.719882,[13 19] ; [12 11],[14.54545455 17.45454545] ; [10.45454545 12.54545455],0
a1,1,0.402241,0.701615,[ 7 25] ; [ 3 20],[ 5.81818182 26.18181818] ; [ 4.18181818 18.81818182],0
b1,1,0.424552,0.637681,[16 16] ; [14  9],[17.45454545 14.54545455] ; [12.54545455 10.45454545],0
b4,1,0.424552,0.637681,[16 16] ; [14  9],[17.45454545 14.54545455] ; [12.54545455 10.45454545],0
p10,1,0.433422,0.613636,[12 20] ; [ 6 16],[10.66666667 21.33333333] ; [ 7.33333333 14.66666667],0
a4,1,0.442764,0.589108,[14 17] ; [ 8 15],[12.62962963 18.37037037] ; [ 9.37037037 13.62962963],0
a5,1,0.443793,0.586454,[20 12] ; [12 11],[18.61818182 13.38181818] ; [13.38181818  9.61818182],0
a3,1,0.465199,0.533356,[22 10] ; [13  9],[20.74074074 11.25925926] ; [14.25925926  7.74074074],0
v1,1,0.472245,0.516719,[ 7 25] ; [ 7 16],[ 8.14545455 23.85454545] ; [ 5.85454545 17.14545455],0
a2,1,0.572566,0.318407,[ 6 26] ; [ 3 20],[ 5.23636364 26.76363636] ; [ 3.76363636 19.23636364],0
s3,1,0.580847,0.304867,[11 21] ; [ 6 16],[10.07407407 21.92592593] ; [ 6.92592593 15.07407407],0
u3,1,0.605577,0.266667,[2 8] ; [3 7],[2.5 7.5] ; [2.5 7.5],0
p3,1,0.620294,0.245455,[ 6 26] ; [ 3 19],[ 5.33333333 26.66666667] ; [ 3.66666667 18.33333333],0
n1,1,0.630872,0.23088,[ 9 13] ; [5 5],[ 9.625 12.375] ; [4.375 5.625],0
p11,1,0.655306,0.199275,[ 8 24] ; [ 7 16],[ 8.72727273 23.27272727] ; [ 6.27272727 16.72727273],0
r3,1,0.655306,0.199275,[12 20] ; [10 13],[12.8 19.2] ; [ 9.2 13.8],0
s2,1,0.681771,0.168139,[ 7 25] ; [ 4 19],[ 6.4 25.6] ; [ 4.6 18.4],0
a7,1,0.698205,0.150346,[17 15] ; [11 12],[16.29090909 15.70909091] ; [11.70909091 11.29090909],0
n6,1,0.72435,0.124362,[12 19] ; [10 13],[12.62962963 18.37037037] ; [ 9.37037037 13.62962963],0
d4,1,0.758701,0.094364,[21 11] ; [16  7],[21.52727273 10.47272727] ; [15.47272727  7.52727273],0
u1,1,0.75929,0.093889,[ 2 30] ; [ 1 22],[ 1.74545455 30.25454545] ; [ 1.25454545 21.74545455],0
s6,1,0.784573,0.074728,[ 6 26] ; [ 5 18],[ 6.4 25.6] ; [ 4.6 18.4],0
n2,1,0.811235,0.057041,[12 10] ; [5 5],[11.6875 10.3125] ; [5.3125 4.6875],0
p7,1,0.829678,0.046274,[ 6 25] ; [ 5 18],[ 6.31481481 24.68518519] ; [ 4.68518519 18.31481481],0
p1,1,0.861349,0.030505,[ 5 27] ; [ 4 19],[ 5.23636364 26.76363636] ; [ 3.76363636 19.23636364],0
s1,1,0.861349,0.030505,[ 5 27] ; [ 4 19],[ 5.23636364 26.76363636] ; [ 3.76363636 19.23636364],0
p4,1,0.897464,0.016606,[ 6 26] ; [ 4 19],[ 5.81818182 26.18181818] ; [ 4.18181818 18.81818182],0
s8,1,0.931112,0.007473,[ 3 29] ; [ 2 21],[ 2.90909091 29.09090909] ; [ 2.09090909 20.90909091],0
p9,1,0.935358,0.006578,[10 21] ; [ 7 14],[10.13461538 20.86538462] ; [ 6.86538462 14.13461538],0
s4,1,0.952432,0.003558,[ 4 28] ; [ 3 20],[ 4.07272727 27.92727273] ; [ 2.92727273 20.07272727],0
v2,1,0.973032,0.001143,[10 21] ; [ 7 15],[ 9.94339623 21.05660377] ; [ 7.05660377 14.94339623],0
