Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,25.107692,[ 5 12] ; [73 12],[13.  4.] ; [65. 20.],1
d3,1,0.000553,11.929412,[ 2 15] ; [49 36],[8.5 8.5] ; [42.5 42.5],1
p8,1,0.00115,10.569491,[12  4] ; [26 56],[6.20408163 9.79591837] ; [31.79591837 50.20408163],0
a3,1,0.001178,10.524001,[ 7 10] ; [66 17],[12.41  4.59] ; [60.59 22.41],0
s1,1,0.001404,10.2,[ 3 14] ; [ 1 84],[ 0.66666667 16.33333333] ; [ 3.33333333 81.66666667],0
d2,1,0.013131,6.151385,[ 4 13] ; [48 37],[8.66666667 8.33333333] ; [43.33333333 41.66666667],0
r3,1,0.02035,5.381586,[13  4] ; [79  5],[15.48514851  1.51485149] ; [76.51485149  7.48514851],0
p11,1,0.02904,4.765251,[16  1] ; [58 27],[12.33333333  4.66666667] ; [61.66666667 23.33333333],0
n5,1,0.033645,4.512672,[15  2] ; [51 32],[11.22  5.78] ; [54.78 28.22],0
a5,1,0.062164,3.478696,[9 8] ; [64 21],[12.16666667  4.83333333] ; [60.83333333 24.16666667],0
s7,1,0.072059,3.235475,[12  4] ; [43 42],[8.71287129 7.28712871] ; [46.28712871 38.71287129],0
p5,1,0.080393,3.056931,[ 3 13] ; [ 5 80],[ 1.26732673 14.73267327] ; [ 6.73267327 78.26732673],0
a4,1,0.105335,2.622857,[ 4 13] ; [38 47],[ 7. 10.] ; [35. 50.],0
v1,1,0.117989,2.443809,[ 6 11] ; [46 36],[8.92929293 8.07070707] ; [43.07070707 38.92929293],0
v3,1,0.133538,2.250883,[7 9] ; [21 62],[ 4.52525253 11.47474747] ; [23.47474747 59.52525253],0
b3,1,0.173451,1.852861,[2 7] ; [26 30],[3.87692308 5.12307692] ; [24.12307692 31.87692308],0
b2,1,0.173451,1.852861,[2 7] ; [26 30],[3.87692308 5.12307692] ; [24.12307692 31.87692308],0
n6,1,0.180416,1.794195,[16  1] ; [67 16],[14.11  2.89] ; [68.89 14.11],0
p1,1,0.20304,1.62037,[ 3 13] ; [ 7 77],[ 1.6 14.4] ; [ 8.4 75.6],0
a8,1,0.254945,1.296,[ 1 14] ; [14 61],[ 2.5 12.5] ; [12.5 62.5],0
p7,1,0.269548,1.219048,[11  5] ; [43 37],[9. 7.] ; [45. 35.],0
a6,1,0.297509,1.085328,[8 9] ; [51 33],[9.93069307 7.06930693] ; [49.06930693 34.93069307],0
s2,1,0.304904,1.052623,[13  4] ; [54 31],[11.16666667  5.83333333] ; [55.83333333 29.16666667],0
n4,1,0.332272,0.940022,[13  4] ; [54 30],[11.27722772  5.72277228] ; [55.72277228 28.27722772],0
s4,1,0.337589,0.919564,[ 6 11] ; [20 63],[ 4.42 12.58] ; [21.58 61.42],0
v2,1,0.386874,0.748745,[7 9] ; [45 36],[8.57731959 7.42268041] ; [43.42268041 37.57731959],0
r1,1,0.389079,0.741818,[12  5] ; [68 17],[13.33333333  3.66666667] ; [66.66666667 18.33333333],0
b1,1,0.412172,0.672527,[8 9] ; [31 54],[ 6.5 10.5] ; [32.5 52.5],0
b4,1,0.412172,0.672527,[9 8] ; [54 31],[10.5  6.5] ; [52.5 32.5],0
p6,1,0.418087,0.655687,[ 5 12] ; [17 66],[ 3.74 13.26] ; [18.26 64.74],0
r2,1,0.450995,0.568149,[16  1] ; [80  2],[16.48484848  0.51515152] ; [79.51515152  2.48484848],0
p12,1,0.467284,0.52839,[ 1 16] ; [10 74],[ 1.85148515 15.14851485] ; [ 9.14851485 74.85148515],0
s6,1,0.469602,0.522912,[14  2] ; [67 17],[12.96  3.04] ; [68.04 15.96],0
b5,1,0.476513,0.506832,[8 9] ; [48 37],[9.33333333 7.66666667] ; [46.66666667 38.33333333],0
r4,1,0.506739,0.440795,[14  3] ; [75 10],[14.83333333  2.16666667] ; [74.16666667 10.83333333],0
p10,1,0.569533,0.323464,[12  4] ; [69 16],[12.83168317  3.16831683] ; [68.16831683 16.83168317],0
p2,1,0.582839,0.301667,[11  5] ; [64 21],[11.88118812  4.11881188] ; [63.11881188 21.88118812],0
u2,1,0.638101,0.221235,[3 7] ; [ 7 11],[3.57142857 6.42857143] ; [ 6.42857143 11.57142857],0
u3,1,0.684498,0.165106,[5 5] ; [11  8],[5.51724138 4.48275862] ; [10.48275862  8.51724138],0
n1,1,0.706146,0.142157,[2 2] ; [15 10],[2.34482759 1.65517241] ; [14.65517241 10.34482759],0
a7,1,0.714106,0.134211,[10  7] ; [54 31],[10.66666667  6.33333333] ; [53.33333333 31.66666667],0
p9,1,0.774324,0.08221,[13  3] ; [69 13],[13.3877551  2.6122449] ; [68.6122449 13.3877551],0
u1,1,0.807602,0.059302,[ 3 14] ; [13 72],[ 2.66666667 14.33333333] ; [13.33333333 71.66666667],0
p3,1,0.921802,0.009636,[ 5 12] ; [24 61],[ 4.83333333 12.16666667] ; [24.16666667 60.83333333],0
s8,1,0.965564,0.001864,[8 8] ; [43 42],[8.07920792 7.92079208] ; [42.92079208 42.07920792],0
s3,1,0.995255,3.5e-05,[11  5] ; [57 26],[10.98989899  5.01010101] ; [57.01010101 25.98989899],0
