Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7e-06,20.219897,[175  93] ; [24 44],[158.72619048 109.27380952] ; [40.27380952 27.72619048],1
p7,1,3e-05,17.397948,[199  65] ; [33 34],[185.03927492  78.96072508] ; [46.96072508 20.03927492],1
p9,1,0.000166,14.180987,[254  17] ; [52 14],[246.07121662  24.92878338] ; [59.92878338  6.07121662],1
p10,1,0.000818,11.200905,[246  25] ; [50 16],[238.02967359  32.97032641] ; [57.97032641  8.02967359],1
p2,1,0.00306,8.771626,[239  33] ; [50 18],[231.2  40.8] ; [57.8 10.2],0
b1,1,0.007762,7.08754,[104 169] ; [38 30],[113.68328446 159.31671554] ; [28.31671554 39.68328446],0
p4,1,0.010947,6.473897,[192  80] ; [37 31],[183.2  88.8] ; [45.8 22.2],0
r3,1,0.015751,5.830456,[268   5] ; [63  5],[264.9941349   8.0058651] ; [66.0058651  1.9941349],0
p1,1,0.021119,5.316963,[ 20 252] ; [11 56],[ 24.87315634 247.12684366] ; [ 6.12684366 60.87315634],0
a5,1,0.03038,4.687681,[228  45] ; [49 19],[221.76246334  51.23753666] ; [55.23753666 12.76246334],0
n4,1,0.04562,3.995567,[235  38] ; [51 16],[229.64117647  43.35882353] ; [56.35882353 10.64117647],0
p3,1,0.052095,3.772703,[164 109] ; [32 36],[156.91495601 116.08504399] ; [39.08504399 28.91495601],0
v1,1,0.064531,3.416929,[174  90] ; [36 31],[167.49244713  96.50755287] ; [42.50755287 24.49244713],0
b3,1,0.084829,2.969857,[ 91 101] ; [13 27],[ 86.06896552 105.93103448] ; [17.93103448 22.06896552],0
b2,1,0.084829,2.969857,[ 91 101] ; [13 27],[ 86.06896552 105.93103448] ; [17.93103448 22.06896552],0
s7,1,0.124873,2.355111,[200  65] ; [50  9],[204.47530864  60.52469136] ; [45.52469136 13.47530864],0
s6,1,0.164347,1.933769,[229  43] ; [60  6],[232.56804734  39.43195266] ; [56.43195266  9.56804734],0
p12,1,0.188249,1.73127,[ 36 234] ; [ 5 62],[ 32.84866469 237.15133531] ; [ 8.15133531 58.84866469],0
s4,1,0.211213,1.56309,[ 46 225] ; [16 52],[ 49.56342183 221.43657817] ; [12.43657817 55.56342183],0
n5,1,0.213396,1.548238,[225  47] ; [51 16],[221.45132743  50.54867257] ; [54.54867257 12.45132743],0
n1,1,0.21376,1.545779,[17 27] ; [15 13],[19.55555556 24.44444444] ; [12.44444444 15.55555556],0
b4,1,0.214828,1.53859,[154 119] ; [44 24],[158.51612903 114.48387097] ; [39.48387097 28.51612903],0
s5,1,0.222731,1.486686,[115 147] ; [34 31],[119.382263 142.617737] ; [29.617737 35.382263],0
d4,1,0.23003,1.440678,[239  33] ; [56 12],[236.  36.] ; [59.  9.],0
s2,1,0.259265,1.272679,[187  82] ; [52 16],[190.77448071  78.22551929] ; [48.22551929 19.77448071],0
n6,1,0.300776,1.070749,[244  29] ; [56 10],[241.59292035  31.40707965] ; [58.40707965  7.59292035],0
