Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,54.604517,[89  6] ; [ 9 21],[74.48 20.52] ; [23.52  6.48],1
p11,1,7e-06,20.277594,[78 17] ; [13 19],[68.07086614 26.92913386] ; [22.92913386  9.07086614],1
r3,1,0.00017,14.137301,[87  7] ; [21 11],[80.57142857 13.42857143] ; [27.42857143  4.57142857],1
r4,1,0.000554,11.925094,[68 27] ; [12 20],[59.84251969 35.15748031] ; [20.15748031 11.84251969],1
p2,1,0.000601,11.773681,[77 18] ; [16 16],[69.56692913 25.43307087] ; [23.43307087  8.56692913],1
s2,1,0.000758,11.342173,[47 48] ; [ 5 27],[38.8976378 56.1023622] ; [13.1023622 18.8976378],1
s6,1,0.0014,10.2064,[56 36] ; [ 9 23],[48.22580645 43.77419355] ; [16.77419355 15.22580645],0
s5,1,0.002085,9.473285,[29 62] ; [ 1 28],[22.75 68.25] ; [ 7.25 21.75],0
r2,1,0.0037,8.425586,[81 12] ; [19 11],[75.6097561 17.3902439] ; [24.3902439  5.6097561],0
p8,1,0.005085,7.849114,[45 49] ; [ 6 25],[38.352 55.648] ; [12.648 18.352],0
v4,1,0.005377,7.74814,[85 10] ; [22 10],[80.03937008 14.96062992] ; [26.96062992  5.03937008],0
n6,1,0.006356,7.446621,[78 17] ; [18 13],[72.38095238 22.61904762] ; [23.61904762  7.38095238],0
b1,1,0.009144,6.794473,[29 66] ; [18 14],[35.15748031 59.84251969] ; [11.84251969 20.15748031],0
s3,1,0.027555,4.855696,[48 47] ; [ 9 23],[42.63779528 52.36220472] ; [14.36220472 17.63779528],0
b4,1,0.029014,4.766778,[65 30] ; [15 17],[59.84251969 35.15748031] ; [20.15748031 11.84251969],0
s8,1,0.051831,3.781208,[32 63] ; [ 5 27],[27.67716535 67.32283465] ; [ 9.32283465 22.67716535],0
n5,1,0.060775,3.516117,[65 30] ; [16 16],[60.59055118 34.40944882] ; [20.40944882 11.59055118],0
v1,1,0.060905,3.512568,[44 47] ; [ 9 22],[39.53278689 51.46721311] ; [13.46721311 17.53278689],0
a3,1,0.068004,3.330563,[54 41] ; [24  8],[58.34645669 36.65354331] ; [19.65354331 12.34645669],0
a4,1,0.098109,2.736023,[24 71] ; [13 19],[27.67716535 67.32283465] ; [ 9.32283465 22.67716535],0
d2,1,0.117675,2.44799,[30 65] ; [15 17],[33.66141732 61.33858268] ; [11.33858268 20.66141732],0
s1,1,0.138859,2.19056,[ 3 92] ; [ 3 28],[ 4.52380952 90.47619048] ; [ 1.47619048 29.52380952],0
u2,1,0.141413,2.16252,[24 17] ; [2 5],[22.20833333 18.79166667] ; [3.79166667 3.20833333],0
p5,1,0.16476,1.929988,[11 83] ; [ 1 30],[ 9.024 84.976] ; [ 2.976 28.024],0
u3,1,0.174058,1.847643,[21 20] ; [2 6],[19.24489796 21.75510204] ; [3.75510204 4.24489796],0
s7,1,0.212711,1.55288,[34 55] ; [ 8 23],[31.15 57.85] ; [10.85 20.15],0
p7,1,0.239098,1.385906,[49 44] ; [13 19],[46.128 46.872] ; [15.872 16.128],0
a1,1,0.261273,1.262002,[ 6 89] ; [ 4 28],[ 7.48031496 87.51968504] ; [ 2.51968504 29.48031496],0
p3,1,0.291014,1.114925,[44 51] ; [11 20],[41.46825397 53.53174603] ; [13.53174603 17.46825397],0
n4,1,0.30554,1.049857,[63 32] ; [18 14],[60.59055118 34.40944882] ; [20.40944882 11.59055118],0
n2,1,0.306136,1.047273,[18  6] ; [7 5],[16.66666667  7.33333333] ; [8.33333333 3.66666667],0
d4,1,0.337618,0.919456,[76 19] ; [23  9],[74.05511811 20.94488189] ; [24.94488189  7.05511811],0
d3,1,0.353618,0.860432,[67 27] ; [20 12],[64.9047619 29.0952381] ; [22.0952381  9.9047619],0
n3,1,0.453255,0.5625,[15  9] ; [9 3],[16.  8.] ; [8. 4.],0
p6,1,0.472555,0.515996,[32 63] ; [ 8 22],[30.4 64.6] ; [ 9.6 20.4],0
p12,1,0.48709,0.482947,[ 6 88] ; [ 1 31],[ 5.22222222 88.77777778] ; [ 1.77777778 30.22222222],0
d5,1,0.488073,0.480772,[74 21] ; [23  9],[72.55905512 22.44094488] ; [24.44094488  7.55905512],0
d1,1,0.507754,0.438693,[45 50] ; [13 19],[43.38582677 51.61417323] ; [14.61417323 17.38582677],0
u1,1,0.559697,0.340229,[ 6 89] ; [ 3 29],[ 6.73228346 88.26771654] ; [ 2.26771654 29.73228346],0
a5,1,0.564474,0.332017,[56 39] ; [17 15],[54.60629921 40.39370079] ; [18.39370079 13.60629921],0
b5,1,0.603168,0.270244,[67 28] ; [21 11],[65.82677165 29.17322835] ; [22.17322835  9.82677165],0
p4,1,0.647123,0.209547,[46 49] ; [14 18],[44.88188976 50.11811024] ; [15.11811024 16.88188976],0
a2,1,0.667111,0.185,[12 83] ; [ 5 27],[12.71653543 82.28346457] ; [ 4.28346457 27.71653543],0
n1,1,0.670269,0.181287,[ 7 17] ; [4 7],[ 7.54285714 16.45714286] ; [3.45714286 7.54285714],0
s4,1,0.688258,0.160978,[21 74] ; [ 6 26],[20.19685039 74.80314961] ; [ 6.80314961 25.19685039],0
p1,1,0.715482,0.132863,[ 7 88] ; [ 3 29],[ 7.48031496 87.51968504] ; [ 2.51968504 29.48031496],0
a8,1,0.729679,0.119406,[11 81] ; [ 3 28],[10.47154472 81.52845528] ; [ 3.52845528 27.47154472],0
a6,1,0.769844,0.085602,[65 30] ; [21 11],[64.33070866 30.66929134] ; [21.66929134 10.33070866],0
v2,1,0.89678,0.01683,[39 54] ; [13 19],[38.688 54.312] ; [13.312 18.688],0
b2,1,0.927718,0.008229,[21 30] ; [ 8 12],[20.83098592 30.16901408] ; [ 8.16901408 11.83098592],0
b3,1,0.927718,0.008229,[21 30] ; [ 8 12],[20.83098592 30.16901408] ; [ 8.16901408 11.83098592],0
v3,1,0.994353,5e-05,[29 64] ; [10 22],[29.016 63.984] ; [ 9.984 22.016],0
