Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.003402,8.578431,[ 3 12] ; [14  6],[7.28571429 7.71428571] ; [ 9.71428571 10.28571429],0
a5,1,0.005289,7.777778,[ 5 10] ; [16  4],[9. 6.] ; [12.  8.],0
a4,1,0.012981,6.171667,[ 1 14] ; [ 9 11],[ 4.28571429 10.71428571] ; [ 5.71428571 14.28571429],0
a7,1,0.0137,6.076389,[ 5 10] ; [15  5],[8.57142857 6.42857143] ; [11.42857143  8.57142857],0
a3,1,0.015627,5.844381,[7 8] ; [17  3],[10.28571429  4.71428571] ; [13.71428571  6.28571429],0
d5,1,0.027737,4.844349,[10  5] ; [19  1],[12.42857143  2.57142857] ; [16.57142857  3.42857143],0
d3,1,0.040147,4.211667,[8 7] ; [17  3],[10.71428571  4.28571429] ; [14.28571429  5.71428571],0
v1,1,0.074447,3.182143,[12  3] ; [9 9],[9.54545455 5.45454545] ; [11.45454545  6.54545455],0
s3,1,0.112925,2.512808,[8 7] ; [15  4],[10.14705882  4.85294118] ; [12.85294118  6.14705882],0
p10,1,0.112925,2.512808,[8 7] ; [15  4],[10.14705882  4.85294118] ; [12.85294118  6.14705882],0
n4,1,0.141763,2.158717,[9 6] ; [ 7 13],[6.85714286 8.14285714] ; [ 9.14285714 10.85714286],0
b2,1,0.241567,1.371429,[2 6] ; [8 8],[3.33333333 4.66666667] ; [6.66666667 9.33333333],0
b3,1,0.241567,1.371429,[2 6] ; [8 8],[3.33333333 4.66666667] ; [6.66666667 9.33333333],0
v4,1,0.264616,1.244444,[14  1] ; [16  4],[12.85714286  2.14285714] ; [17.14285714  2.85714286],0
b4,1,0.312563,1.019814,[8 7] ; [14  6],[9.42857143 5.57142857] ; [12.57142857  7.42857143],0
p11,1,0.324127,0.972222,[10  5] ; [10 10],[8.57142857 6.42857143] ; [11.42857143  8.57142857],0
p7,1,0.334746,0.930451,[10  5] ; [9 9],[8.63636364 6.36363636] ; [10.36363636  7.63636364],0
s7,1,0.334746,0.930451,[10  5] ; [9 9],[8.63636364 6.36363636] ; [10.36363636  7.63636364],0
a8,1,0.347479,0.882642,[ 2 12] ; [ 1 19],[ 1.23529412 12.76470588] ; [ 1.76470588 18.23529412],0
a1,1,0.38347,0.759549,[ 2 13] ; [ 1 19],[ 1.28571429 13.71428571] ; [ 1.71428571 18.28571429],0
