Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,27.571665,[47  1] ; [20 20],[36.54545455 11.45454545] ; [30.45454545  9.54545455],1
d2,1,1e-06,24.483618,[31 17] ; [ 5 35],[19.63636364 28.36363636] ; [16.36363636 23.63636364],1
d3,1,8e-06,19.996727,[42  6] ; [17 23],[32.18181818 15.81818182] ; [26.81818182 13.18181818],1
a4,1,0.000942,10.937698,[22 27] ; [ 5 35],[14.86516854 34.13483146] ; [12.13483146 27.86516854],1
a5,1,0.006653,7.364305,[38 11] ; [20 20],[31.93258427 17.06741573] ; [26.06741573 13.93258427],0
a2,1,0.011886,6.327798,[14 35] ; [ 3 37],[ 9.35955056 39.64044944] ; [ 7.64044944 32.35955056],0
a3,1,0.012134,6.291119,[36 13] ; [19 21],[30.28089888 18.71910112] ; [24.71910112 15.28089888],0
r2,1,0.046509,3.963051,[45  3] ; [31  8],[41.93103448  6.06896552] ; [34.06896552  4.93103448],0
p10,1,0.046922,3.948174,[37 12] ; [21 17],[32.66666667 16.33333333] ; [25.33333333 12.66666667],0
u1,1,0.053149,3.739236,[ 7 42] ; [ 1 39],[ 4.40449438 44.59550562] ; [ 3.59550562 36.40449438],0
v2,1,0.065467,3.393176,[28 17] ; [15 21],[23.88888889 21.11111111] ; [19.11111111 16.88888889],0
a8,1,0.072472,3.226127,[ 3 40] ; [ 8 31],[ 5.76829268 37.23170732] ; [ 5.23170732 33.76829268],0
b4,1,0.084862,2.969231,[31 18] ; [18 22],[26.97752809 22.02247191] ; [22.02247191 17.97752809],0
a7,1,0.112887,2.513329,[36 13] ; [23 17],[32.48314607 16.51685393] ; [26.51685393 13.48314607],0
u2,1,0.125606,2.345985,[12  1] ; [14  6],[10.24242424  2.75757576] ; [15.75757576  4.24242424],0
n5,1,0.158411,1.989325,[19 30] ; [21 18],[22.27272727 26.72727273] ; [17.72727273 21.27272727],0
b5,1,0.162154,1.954025,[34 15] ; [22 18],[30.83146067 18.16853933] ; [25.16853933 14.83146067],0
s2,1,0.2082,1.583897,[31 18] ; [20 20],[28.07865169 20.92134831] ; [22.92134831 17.07865169],0
a1,1,0.216255,1.529053,[ 1 48] ; [ 3 37],[ 2.20224719 46.79775281] ; [ 1.79775281 38.20224719],0
s8,1,0.219516,1.507533,[26 23] ; [16 24],[23.12359551 25.87640449] ; [18.87640449 21.12359551],0
b3,1,0.2217,1.493333,[12 23] ; [ 4 17],[10. 25.] ; [ 6. 15.],0
b2,1,0.2217,1.493333,[12 23] ; [ 4 17],[10. 25.] ; [ 6. 15.],0
p8,1,0.227405,1.457019,[19 29] ; [20 18],[21.76744186 26.23255814] ; [17.23255814 20.76744186],0
p6,1,0.234333,1.414365,[16 32] ; [ 8 29],[13.55294118 34.44705882] ; [10.44705882 26.55294118],0
p5,1,0.250209,1.322139,[ 4 44] ; [ 1 38],[ 2.75862069 45.24137931] ; [ 2.24137931 36.75862069],0
p1,1,0.268004,1.226932,[ 2 47] ; [ 4 36],[ 3.30337079 45.69662921] ; [ 2.69662921 37.30337079],0
p4,1,0.271335,1.209984,[29 20] ; [19 21],[26.42696629 22.57303371] ; [21.57303371 18.42696629],0
