Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.005618,7.668949,[9 8] ; [62 12],[13.26373626  3.73626374] ; [57.73626374 16.26373626],0
s8,1,0.010999,6.465442,[ 6 11] ; [50 23],[10.57777778  6.42222222] ; [45.42222222 27.57777778],0
r4,1,0.017324,5.663206,[13  4] ; [70  4],[15.50549451  1.49450549] ; [67.49450549  6.50549451],0
r2,1,0.017324,5.663206,[13  4] ; [70  4],[15.50549451  1.49450549] ; [67.49450549  6.50549451],0
d2,1,0.025024,5.022258,[ 5 12] ; [44 30],[9.15384615 7.84615385] ; [39.84615385 34.15384615],0
s7,1,0.02505,5.020397,[7 8] ; [53 17],[10.58823529  4.41176471] ; [49.41176471 20.58823529],0
s3,1,0.026058,4.952138,[ 7 10] ; [51 22],[10.95555556  6.04444444] ; [47.04444444 25.95555556],0
v3,1,0.026304,4.935936,[ 6 11] ; [46 25],[10.04545455  6.95454545] ; [41.95454545 29.04545455],0
n6,1,0.032608,4.56624,[13  3] ; [71  3],[14.93333333  1.06666667] ; [69.06666667  4.93333333],0
a5,1,0.044832,4.024965,[9 8] ; [57 17],[12.32967033  4.67032967] ; [53.67032967 20.32967033],0
p1,1,0.059743,3.544515,[ 2 15] ; [26 48],[ 5.23076923 11.76923077] ; [22.76923077 51.23076923],0
a4,1,0.059876,3.540827,[ 4 13] ; [36 38],[7.47252747 9.52747253] ; [32.52747253 41.47252747],0
u2,1,0.084978,2.967033,[7 1] ; [6 6],[5.2 2.8] ; [7.8 4.2],0
s6,1,0.10776,2.586771,[12  5] ; [59  9],[14.2  2.8] ; [56.8 11.2],0
a2,1,0.110663,2.544733,[ 1 16] ; [17 57],[ 3.36263736 13.63736264] ; [14.63736264 59.36263736],0
p6,1,0.127956,2.317127,[8 8] ; [51 22],[10.60674157  5.39325843] ; [48.39325843 24.60674157],0
n2,1,0.136641,2.215385,[3 3] ; [10  2],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
p8,1,0.208112,1.584515,[12  5] ; [62 12],[13.82417582  3.17582418] ; [60.17582418 13.82417582],0
r3,1,0.214613,1.540029,[15  2] ; [70  3],[16.05555556  0.94444444] ; [68.94444444  4.05555556],0
v4,1,0.214613,1.540029,[15  2] ; [70  3],[16.05555556  0.94444444] ; [68.94444444  4.05555556],0
s2,1,0.226528,1.46253,[8 9] ; [46 27],[10.2  6.8] ; [43.8 29.2],0
a1,1,0.227122,1.458797,[ 4 13] ; [ 9 65],[ 2.42857143 14.57142857] ; [10.57142857 63.42857143],0
s4,1,0.257466,1.282329,[ 1 16] ; [12 60],[ 2.48314607 14.51685393] ; [10.51685393 61.48314607],0
d5,1,0.268932,1.222188,[12  5] ; [61 13],[13.63736264  3.36263736] ; [59.36263736 14.63736264],0
p3,1,0.302003,1.065327,[13  4] ; [64 10],[14.38461538  2.61538462] ; [62.61538462 11.38461538],0
a7,1,0.302543,1.062953,[10  7] ; [53 21],[11.76923077  5.23076923] ; [51.23076923 22.76923077],0
n1,1,0.317311,1.0,[2 4] ; [7 5],[3. 3.] ; [6. 6.],0
n4,1,0.330373,0.947437,[14  3] ; [67  7],[15.13186813  1.86813187] ; [65.86813187  8.13186813],0
s5,1,0.410689,0.676805,[9 7] ; [45 22],[10.40963855  5.59036145] ; [43.59036145 23.40963855],0
v2,1,0.427194,0.63044,[9 8] ; [45 26],[10.43181818  6.56818182] ; [43.56818182 27.43181818],0
p2,1,0.436689,0.604968,[14  2] ; [69  5],[14.75555556  1.24444444] ; [68.24444444  5.75555556],0
n5,1,0.484698,0.488275,[15  2] ; [69  5],[15.69230769  1.30769231] ; [68.30769231  5.69230769],0
d1,1,0.564848,0.331379,[10  7] ; [49 25],[11.02197802  5.97802198] ; [47.97802198 26.02197802],0
p12,1,0.609836,0.260413,[ 4 13] ; [22 52],[ 4.85714286 12.14285714] ; [21.14285714 52.85714286],0
p10,1,0.631139,0.23052,[15  2] ; [68  6],[15.50549451  1.49450549] ; [67.49450549  6.50549451],0
d4,1,0.646427,0.210435,[15  2] ; [62 12],[14.38461538  2.61538462] ; [62.61538462 11.38461538],0
u3,1,0.690328,0.15873,[6 2] ; [8 4],[5.6 2.4] ; [8.4 3.6],0
v1,1,0.705109,0.143211,[11  6] ; [50 22],[11.65168539  5.34831461] ; [49.34831461 22.65168539],0
p11,1,0.741852,0.108506,[15  2] ; [63 11],[14.57142857  2.42857143] ; [63.42857143 10.57142857],0
b5,1,0.775009,0.081698,[8 9] ; [32 42],[7.47252747 9.52747253] ; [32.52747253 41.47252747],0
b1,1,0.775009,0.081698,[8 9] ; [32 42],[7.47252747 9.52747253] ; [32.52747253 41.47252747],0
p7,1,0.791634,0.069796,[14  3] ; [62 11],[14.35555556  2.64444444] ; [61.64444444 11.35555556],0
a6,1,0.798604,0.065103,[10  7] ; [46 28],[10.46153846  6.53846154] ; [45.53846154 28.46153846],0
b4,1,0.876599,0.024112,[10  7] ; [42 32],[9.71428571 7.28571429] ; [42.28571429 31.71428571],0
b2,1,0.877872,0.023614,[5 5] ; [27 30],[4.7761194 5.2238806] ; [27.2238806 29.7761194],0
b3,1,0.877872,0.023614,[5 5] ; [27 30],[4.7761194 5.2238806] ; [27.2238806 29.7761194],0
