Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,21.99738,[14 20] ; [63 11],[24.24074074  9.75925926] ; [52.75925926 21.24074074],1
n6,1,5e-06,20.799888,[18 17] ; [66  7],[27.22222222  7.77777778] ; [56.77777778 16.22222222],1
u1,1,0.016463,5.752768,[ 1 34] ; [15 59],[ 5.13761468 29.86238532] ; [10.86238532 63.13761468],0
d1,1,0.020767,5.346253,[13 22] ; [45 29],[18.62385321 16.37614679] ; [39.37614679 34.62385321],0
n3,1,0.022395,5.214815,[8 7] ; [16  2],[10.90909091  4.09090909] ; [13.09090909  4.90909091],0
d3,1,0.02389,5.1026,[15 20] ; [48 25],[20.41666667 14.58333333] ; [42.58333333 30.41666667],0
p3,1,0.034602,4.464713,[ 8 27] ; [32 41],[12.96296296 22.03703704] ; [27.03703704 45.96296296],0
a6,1,0.043686,4.068668,[18 17] ; [52 21],[22.68518519 12.31481481] ; [47.31481481 25.68518519],0
p11,1,0.044873,4.023391,[21 14] ; [58 16],[25.36697248  9.63302752] ; [53.63302752 20.36697248],0
r2,1,0.05337,3.732306,[29  6] ; [68  4],[31.72897196  3.27102804] ; [65.27102804  6.72897196],0
s7,1,0.094919,2.788914,[11 21] ; [37 34],[14.91262136 17.08737864] ; [33.08737864 37.91262136],0
a7,1,0.098389,2.731459,[20 15] ; [54 20],[23.76146789 11.23853211] ; [50.23853211 23.76146789],0
v3,1,0.09842,2.730966,[ 8 24] ; [29 40],[11.72277228 20.27722772] ; [25.27722772 43.72277228],0
s8,1,0.10912,2.566923,[12 23] ; [37 36],[15.87962963 19.12037037] ; [33.12037037 39.87962963],0
n2,1,0.110067,2.553257,[12  4] ; [17  1],[13.64705882  2.35294118] ; [15.35294118  2.64705882],0
p7,1,0.145385,2.120013,[10 24] ; [31 39],[13.40384615 20.59615385] ; [27.59615385 42.40384615],0
r1,1,0.16603,1.918433,[22 13] ; [56 18],[25.04587156  9.95412844] ; [52.95412844 21.04587156],0
n1,1,0.201754,1.62963,[ 5 10] ; [10  8],[6.81818182 8.18181818] ; [8.18181818 9.81818182],0
d2,1,0.210444,1.568372,[13 22] ; [36 36],[16.02803738 18.97196262] ; [32.97196262 39.02803738],0
p12,1,0.224513,1.475287,[ 2 33] ; [10 64],[ 3.85321101 31.14678899] ; [ 8.14678899 65.85321101],0
d4,1,0.28538,1.141292,[24 11] ; [57 16],[26.25  8.75] ; [54.75 18.25],0
r4,1,0.304459,1.05456,[27  8] ; [63 11],[28.89908257  6.10091743] ; [61.10091743 12.89908257],0
s6,1,0.313544,1.015689,[18 17] ; [45 28],[20.41666667 14.58333333] ; [42.58333333 30.41666667],0
b3,1,0.316507,1.003325,[ 5 14] ; [20 31],[ 6.78571429 12.21428571] ; [18.21428571 32.78571429],0
b2,1,0.316507,1.003325,[ 5 14] ; [20 31],[ 6.78571429 12.21428571] ; [18.21428571 32.78571429],0
a8,1,0.325944,0.964944,[ 2 33] ; [ 8 60],[ 3.39805825 31.60194175] ; [ 6.60194175 61.39805825],0
v2,1,0.355943,0.852157,[16 15] ; [43 27],[18.10891089 12.89108911] ; [40.89108911 29.10891089],0
a2,1,0.364563,0.822114,[ 5 30] ; [16 58],[ 6.74311927 28.25688073] ; [14.25688073 59.74311927],0
p9,1,0.370542,0.801846,[29  6] ; [65  8],[30.46296296  4.53703704] ; [63.53703704  9.46296296],0
