Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,8.3e-05,15.498749,[41 22] ; [ 58 103],[27.84375 35.15625] ; [71.15625 89.84375],1
p4,1,0.001299,10.344575,[36 27] ; [ 55 108],[25.36725664 37.63274336] ; [65.63274336 97.36725664],0
r4,1,0.004039,8.266198,[54 10] ; [106  57],[45.11013216 18.88986784] ; [114.88986784  48.11013216],0
p6,1,0.004567,8.043522,[25 38] ; [ 34 127],[16.59375 46.40625] ; [ 42.40625 118.59375],0
p3,1,0.007549,7.137371,[31 33] ; [ 48 114],[22.37168142 41.62831858] ; [ 56.62831858 105.37168142],0
n2,1,0.007623,7.120033,[18  2] ; [41 30],[12.96703297  7.03296703] ; [46.03296703 24.96703297],0
p2,1,0.009172,6.788957,[47 17] ; [89 74],[38.34361233 25.65638767] ; [97.65638767 65.34361233],0
v4,1,0.021955,5.249315,[59  5] ; [128  33],[53.19111111 10.80888889] ; [133.80888889  27.19111111],0
r1,1,0.026034,4.95379,[50 13] ; [103  58],[43.03125 19.96875] ; [109.96875  51.03125],0
b1,1,0.035416,4.424988,[27 37] ; [94 69],[34.11453744 29.88546256] ; [86.88546256 76.11453744],0
u4,1,0.035807,4.406272,[ 3 61] ; [  1 162],[ 1.1277533 62.8722467] ; [  2.8722467 160.1277533],0
v3,1,0.037533,4.326056,[25 37] ; [ 40 114],[18.65740741 43.34259259] ; [ 46.34259259 107.65740741],0
p10,1,0.046699,3.956195,[39 25] ; [73 85],[32.28828829 31.71171171] ; [79.71171171 78.28828829],0
a1,1,0.055183,3.676538,[ 1 63] ; [ 14 149],[ 4.22907489 59.77092511] ; [ 10.77092511 152.22907489],0
d3,1,0.066798,3.36,[46 18] ; [94 66],[40. 24.] ; [100.  60.],0
r3,1,0.072393,3.227905,[55  8] ; [124  38],[50.12 12.88] ; [128.88  33.12],0
r2,1,0.095313,2.782262,[59  4] ; [136  23],[55.33783784  7.66216216] ; [139.66216216  19.33783784],0
n6,1,0.098146,2.735421,[46 17] ; [98 62],[40.68161435 22.31838565] ; [103.31838565  56.68161435],0
d1,1,0.151701,2.055067,[37 27] ; [77 86],[32.14096916 31.85903084] ; [81.85903084 81.14096916],0
b3,1,0.1569,2.003857,[ 7 23] ; [33 55],[10.16949153 19.83050847] ; [29.83050847 58.16949153],0
b2,1,0.1569,2.003857,[ 7 23] ; [33 55],[10.16949153 19.83050847] ; [29.83050847 58.16949153],0
n1,1,0.166523,1.913972,[10  9] ; [25 46],[ 7.38888889 11.61111111] ; [27.61111111 43.38888889],0
s1,1,0.176227,1.829155,[ 2 62] ; [ 13 147],[ 4.28571429 59.71428571] ; [ 10.71428571 149.28571429],0
a2,1,0.198786,1.651273,[11 53] ; [ 41 122],[14.66079295 49.33920705] ; [ 37.33920705 125.66079295],0
v1,1,0.265507,1.239815,[29 35] ; [ 60 101],[25.31555556 38.68444444] ; [63.68444444 97.31555556],0
s7,1,0.26849,1.224446,[27 32] ; [55 92],[23.48543689 35.51456311] ; [58.51456311 88.48543689],0
a8,1,0.308267,1.038087,[ 3 49] ; [ 16 136],[ 4.84313725 47.15686275] ; [ 14.15686275 137.84313725],0
p12,1,0.331507,0.943002,[ 2 62] ; [  2 160],[ 1.13274336 62.86725664] ; [  2.86725664 159.13274336],0
s6,1,0.335302,0.928313,[37 25] ; [84 76],[33.79279279 28.20720721] ; [87.20720721 72.79279279],0
a4,1,0.343425,0.897603,[24 39] ; [73 89],[27.16 35.84] ; [69.84 92.16],0
s3,1,0.366086,0.816908,[33 30] ; [74 88],[29.96 33.04] ; [77.04 84.96],0
p9,1,0.405672,0.691449,[39 24] ; [87 69],[36.24657534 26.75342466] ; [89.75342466 66.24657534],0
a5,1,0.412405,0.671858,[43 21] ; [100  63],[40.31718062 23.68281938] ; [102.68281938  60.31718062],0
v2,1,0.41467,0.665371,[30 32] ; [66 90],[27.30275229 34.69724771] ; [68.69724771 87.30275229],0
n3,1,0.43061,0.621176,[14  6] ; [41 27],[12.5  7.5] ; [42.5 25.5],0
s4,1,0.442333,0.590224,[11 52] ; [ 36 127],[13.10176991 49.89823009] ; [ 33.89823009 129.10176991],0
d5,1,0.479043,0.501042,[46 18] ; [123  38],[48.07111111 15.92888889] ; [120.92888889  40.07111111],0
u2,1,0.479064,0.500993,[ 9 16] ; [24 30],[10.44303797 14.55696203] ; [22.55696203 31.44303797],0
u3,1,0.493984,0.467836,[10 14] ; [28 28],[11.4 12.6] ; [26.6 29.4],0
a6,1,0.501997,0.450712,[36 28] ; [99 63],[38.2300885 25.7699115] ; [96.7699115 65.2300885],0
u1,1,0.585264,0.297801,[ 8 56] ; [ 25 138],[ 9.30396476 54.69603524] ; [ 23.69603524 139.30396476],0
d4,1,0.680157,0.169949,[49 15] ; [119  42],[47.78666667 16.21333333] ; [120.21333333  40.78666667],0
a3,1,0.68049,0.169574,[39 23] ; [106  55],[40.31390135 21.68609865] ; [104.68609865  56.31390135],0
a7,1,0.764821,0.089494,[42 22] ; [109  52],[42.95111111 21.04888889] ; [108.04888889  52.95111111],0
d2,1,0.766468,0.088208,[30 34] ; [79 82],[31.00444444 32.99555556] ; [77.99555556 83.00444444],0
p1,1,0.790111,0.070845,[ 4 59] ; [ 12 151],[ 4.46017699 58.53982301] ; [ 11.53982301 151.46017699],0
s5,1,0.792354,0.069303,[17 46] ; [ 44 109],[17.79166667 45.20833333] ; [ 43.20833333 109.79166667],0
n5,1,0.797267,0.06599,[38 26] ; [92 68],[37.14285714 26.85714286] ; [92.85714286 67.14285714],0
s2,1,0.800903,0.063594,[29 34] ; [72 91],[28.15486726 34.84513274] ; [72.84513274 90.15486726],0
n4,1,0.829388,0.046434,[39 25] ; [95 65],[38.28571429 25.71428571] ; [95.71428571 64.28571429],0
b5,1,0.834746,0.043522,[41 23] ; [102  61],[40.31718062 23.68281938] ; [102.68281938  60.31718062],0
b4,1,0.858286,0.031882,[35 29] ; [87 76],[34.39647577 29.60352423] ; [87.60352423 75.39647577],0
s8,1,0.917931,0.010617,[19 44] ; [ 50 112],[19.32 43.68] ; [ 49.68 112.32],0
