Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2e-06,23.004608,[33  9] ; [19 43],[21. 21.] ; [31. 31.],1
d1,1,0.000168,14.153464,[32 10] ; [24 38],[22.61538462 19.38461538] ; [33.38461538 28.61538462],1
a4,1,0.000293,13.116722,[28 14] ; [19 43],[18.98076923 23.01923077] ; [28.01923077 33.98076923],1
s7,1,0.000531,12.00368,[29  8] ; [24 33],[20.86170213 16.13829787] ; [32.13829787 24.86170213],1
p7,1,0.000978,10.868402,[32 10] ; [27 35],[23.82692308 18.17307692] ; [35.17307692 26.82692308],1
a2,1,0.001243,10.424954,[17 25] ; [ 8 54],[10.09615385 31.90384615] ; [14.90384615 47.09615385],0
u1,1,0.006003,7.54951,[14 28] ; [ 7 55],[ 8.48076923 33.51923077] ; [12.51923077 49.48076923],0
a3,1,0.006778,7.330872,[32  9] ; [32 30],[25.47572816 15.52427184] ; [38.52427184 23.47572816],0
n4,1,0.010958,6.472134,[33  9] ; [33 28],[26.91262136 15.08737864] ; [39.08737864 21.91262136],0
b3,1,0.014006,6.037387,[10 15] ; [ 4 29],[ 6.03448276 18.96551724] ; [ 7.96551724 25.03448276],0
b2,1,0.014006,6.037387,[10 15] ; [ 4 29],[ 6.03448276 18.96551724] ; [ 7.96551724 25.03448276],0
p8,1,0.014064,6.030073,[24 18] ; [20 41],[17.94174757 24.05825243] ; [26.05825243 34.94174757],0
p10,1,0.020089,5.404122,[30 12] ; [29 31],[24.29411765 17.70588235] ; [34.70588235 25.29411765],0
a5,1,0.022179,5.231661,[34  8] ; [37 25],[28.67307692 13.32692308] ; [42.32692308 19.67307692],0
d3,1,0.025397,4.996642,[36  6] ; [41 21],[31.09615385 10.90384615] ; [45.90384615 16.09615385],0
p3,1,0.029453,4.740918,[30 12] ; [31 31],[24.63461538 17.36538462] ; [36.36538462 25.63461538],0
r1,1,0.033662,4.511809,[36  6] ; [41 20],[31.39805825 10.60194175] ; [45.60194175 15.39805825],0
p2,1,0.038704,4.273806,[38  4] ; [46 16],[33.92307692  8.07692308] ; [50.07692308 11.92307692],0
p9,1,0.042493,4.115472,[34  8] ; [38 23],[29.3592233 12.6407767] ; [42.6407767 18.3592233],0
