Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.034799,4.455,[33 33] ; [12  3],[36.66666667 29.33333333] ; [8.33333333 6.66666667],0
d5,1,0.035199,4.435508,[38 28] ; [13  2],[41.55555556 24.44444444] ; [9.44444444 5.55555556],0
u3,1,0.049219,3.867863,[21 14] ; [1 5],[18.7804878 16.2195122] ; [3.2195122 2.7804878],0
d2,1,0.070646,3.267953,[27 39] ; [10  5],[30.14814815 35.85185185] ; [6.85185185 8.14814815],0
b5,1,0.092616,2.828306,[42 24] ; [6 9],[39.11111111 26.88888889] ; [8.88888889 6.11111111],0
s4,1,0.107052,2.59721,[ 7 58] ; [ 4 11],[ 8.9375 56.0625] ; [ 2.0625 12.9375],0
a7,1,0.117105,2.455621,[41 25] ; [6 9],[38.2962963 27.7037037] ; [8.7037037 6.2962963],0
s6,1,0.138001,2.200111,[30 36] ; [10  5],[32.59259259 33.40740741] ; [7.40740741 7.59259259],0
a6,1,0.179219,1.804091,[39 27] ; [6 9],[36.66666667 29.33333333] ; [8.33333333 6.66666667],0
n1,1,0.18262,1.776169,[ 6 11] ; [4 2],[7.39130435 9.60869565] ; [2.60869565 3.39130435],0
v1,1,0.183661,1.767748,[23 43] ; [8 7],[25.25925926 40.74074074] ; [5.74074074 9.25925926],0
p4,1,0.203318,1.618382,[32 34] ; [10  5],[34.22222222 31.77777778] ; [7.77777778 7.22222222],0
p2,1,0.21761,1.520065,[47 19] ; [13  2],[48.88888889 17.11111111] ; [11.11111111  3.88888889],0
p10,1,0.240518,1.377556,[20 45] ; [7 8],[21.9375 43.0625] ; [5.0625 9.9375],0
v2,1,0.286353,1.136689,[27 38] ; [8 6],[28.79746835 36.20253165] ; [6.20253165 7.79746835],0
s3,1,0.287609,1.13078,[34 32] ; [10  5],[35.85185185 30.14814815] ; [8.14814815 6.85185185],0
a4,1,0.333241,0.936262,[14 51] ; [ 5 10],[15.4375 49.5625] ; [ 3.5625 11.4375],0
a3,1,0.362213,0.830205,[31 35] ; [9 6],[32.59259259 33.40740741] ; [7.40740741 7.59259259],0
s7,1,0.388747,0.742857,[18 45] ; [6 9],[19.38461538 43.61538462] ; [ 4.61538462 10.38461538],0
p11,1,0.452459,0.564484,[37 29] ; [10  5],[38.2962963 27.7037037] ; [8.7037037 6.2962963],0
d1,1,0.458651,0.549185,[24 42] ; [7 8],[25.25925926 40.74074074] ; [5.74074074 9.25925926],0
r3,1,0.458873,0.548643,[57  9] ; [14  1],[57.85185185  8.14814815] ; [13.14814815  1.85185185],0
a2,1,0.473765,0.51318,[ 5 61] ; [ 2 13],[ 5.7037037 60.2962963] ; [ 1.2962963 13.7037037],0
d4,1,0.51981,0.41427,[42 23] ; [11  4],[43.0625 21.9375] ; [9.9375 5.0625],0
s2,1,0.604833,0.267769,[26 40] ; [7 8],[26.88888889 39.11111111] ; [6.11111111 8.88888889],0
b1,1,0.604833,0.267769,[40 26] ; [8 7],[39.11111111 26.88888889] ; [8.88888889 6.11111111],0
u1,1,0.619099,0.247136,[ 6 60] ; [ 2 13],[ 6.51851852 59.48148148] ; [ 1.48148148 13.51851852],0
v3,1,0.638432,0.220799,[18 48] ; [ 5 10],[18.74074074 47.25925926] ; [ 4.25925926 10.74074074],0
p6,1,0.652411,0.202874,[22 43] ; [6 9],[22.75 42.25] ; [5.25 9.75],0
n4,1,0.662892,0.190029,[40 26] ; [10  5],[40.74074074 25.25925926] ; [9.25925926 5.74074074],0
p1,1,0.732148,0.117149,[ 3 63] ; [ 1 14],[ 3.25925926 62.74074074] ; [ 0.74074074 14.25925926],0
p5,1,0.742476,0.107962,[ 3 62] ; [ 1 14],[ 3.25 61.75] ; [ 0.75 14.25],0
s8,1,0.745162,0.105641,[15 51] ; [ 4 11],[15.48148148 50.51851852] ; [ 3.51851852 11.48148148],0
d3,1,0.76463,0.089644,[38 28] ; [8 7],[37.48148148 28.51851852] ; [8.51851852 6.48148148],0
n5,1,0.76463,0.089644,[38 28] ; [8 7],[37.48148148 28.51851852] ; [8.51851852 6.48148148],0
a8,1,0.787181,0.072886,[ 7 53] ; [ 2 12],[ 7.2972973 52.7027027] ; [ 1.7027027 12.2972973],0
r1,1,0.818604,0.052597,[46 20] ; [10  5],[45.62962963 20.37037037] ; [10.37037037  4.62962963],0
n3,1,0.818733,0.052521,[12  6] ; [5 2],[12.24  5.76] ; [4.76 2.24],0
u2,1,0.862362,0.030057,[19 15] ; [3 2],[19.17948718 14.82051282] ; [2.82051282 2.17948718],0
p3,1,0.863649,0.029491,[28 38] ; [6 9],[27.7037037 38.2962963] ; [6.2962963 8.7037037],0
s1,1,0.891868,0.01848,[ 5 60] ; [ 1 14],[ 4.875 60.125] ; [ 1.125 13.875],0
r4,1,0.91712,0.010829,[52 14] ; [12  3],[52.14814815 13.85185185] ; [11.85185185  3.14814815],0
b2,1,0.941863,0.005319,[ 8 30] ; [2 8],[ 7.91666667 30.08333333] ; [2.08333333 7.91666667],0
b3,1,0.941863,0.005319,[ 8 30] ; [2 8],[ 7.91666667 30.08333333] ; [2.08333333 7.91666667],0
n6,1,0.969798,0.001433,[43 22] ; [10  5],[43.0625 21.9375] ; [9.9375 5.0625],0
p8,1,0.971357,0.001289,[35 30] ; [8 7],[34.9375 30.0625] ; [8.0625 6.9375],0
r2,1,0.97533,0.000956,[57  9] ; [13  2],[57.03703704  8.96296296] ; [12.96296296  2.03703704],0
a5,1,0.983063,0.000451,[35 31] ; [8 7],[35.03703704 30.96296296] ; [7.96296296 7.03703704],0
