Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,53.698402,[61  2] ; [40 61],[38.79878049 24.20121951] ; [62.20121951 38.79878049],1
d2,1,0.0,52.244225,[51 11] ; [24 76],[28.7037037 33.2962963] ; [46.2962963 53.7037037],1
d3,1,0.0,39.898756,[42 21] ; [18 83],[23.04878049 39.95121951] ; [36.95121951 64.04878049],1
a5,1,0.0,31.131209,[54  9] ; [42 59],[36.87804878 26.12195122] ; [59.12195122 41.87804878],1
a4,1,0.0,25.335324,[38 24] ; [22 78],[22.96296296 39.03703704] ; [37.03703704 62.96296296],1
a3,1,9e-06,19.801609,[50 13] ; [44 56],[36.33128834 26.66871166] ; [57.66871166 42.33128834],1
v2,1,0.001516,10.059434,[33 28] ; [28 69],[23.55063291 37.44936709] ; [37.44936709 59.55063291],0
p7,1,0.001893,9.650794,[41 19] ; [43 57],[31.5 28.5] ; [52.5 47.5],0
p10,1,0.005129,7.833384,[46 14] ; [54 45],[37.73584906 22.26415094] ; [62.26415094 36.73584906],0
s5,1,0.006306,7.460799,[21 40] ; [15 81],[13.98726115 47.01273885] ; [22.01273885 73.98726115],0
p8,1,0.013318,6.126308,[31 28] ; [33 68],[23.6 35.4] ; [40.4 60.6],0
r2,1,0.018514,5.546842,[55  4] ; [80 21],[49.78125  9.21875] ; [85.21875 15.78125],0
a2,1,0.034078,4.490769,[ 7 56] ; [ 3 98],[ 3.84146341 59.15853659] ; [ 6.15853659 94.84146341],0
n4,1,0.036325,4.381771,[50 12] ; [66 35],[44.12269939 17.87730061] ; [71.87730061 29.12269939],0
p9,1,0.039728,4.229456,[48 12] ; [64 35],[42.26415094 17.73584906] ; [69.73584906 29.26415094],0
v3,1,0.040337,4.203647,[22 38] ; [21 76],[16.43312102 43.56687898] ; [26.56687898 70.43312102],0
p3,1,0.051287,3.798864,[28 33] ; [31 70],[22.21604938 38.78395062] ; [36.78395062 64.21604938],0
r3,1,0.06759,3.340604,[54  8] ; [76 25],[49.44785276 12.55214724] ; [80.55214724 20.44785276],0
r1,1,0.071135,3.256644,[45 18] ; [58 43],[39.56707317 23.43292683] ; [63.43292683 37.56707317],0
p6,1,0.078843,3.088591,[19 39] ; [20 79],[14.40764331 43.59235669] ; [24.59235669 74.40764331],0
s7,1,0.081139,3.041933,[19 40] ; [19 77],[14.46451613 44.53548387] ; [23.53548387 72.46451613],0
p4,1,0.087581,2.918278,[30 29] ; [37 63],[24.86163522 34.13836478] ; [42.13836478 57.86163522],0
v1,1,0.111347,2.535001,[28 34] ; [32 66],[23.25 38.75] ; [36.75 61.25],0
r4,1,0.11728,2.453271,[49 14] ; [67 34],[44.56097561 18.43902439] ; [71.43902439 29.56097561],0
s8,1,0.127567,2.321866,[16 46] ; [16 84],[12.24691358 49.75308642] ; [19.75308642 80.24691358],0
n6,1,0.174508,1.843782,[49 13] ; [70 31],[45.26380368 16.73619632] ; [73.73619632 27.26380368],0
n2,1,0.223314,1.482945,[8 7] ; [29 12],[9.91071429 5.08928571] ; [27.08928571 13.91071429],0
p2,1,0.224282,1.476758,[44 15] ; [66 35],[40.5625 18.4375] ; [69.4375 31.5625],0
a8,1,0.226666,1.46166,[ 3 57] ; [10 85],[ 5.03225806 54.96774194] ; [ 7.96774194 87.03225806],0
s6,1,0.255989,1.290318,[26 35] ; [33 65],[22.63522013 38.36477987] ; [36.36477987 61.63522013],0
p11,1,0.26335,1.251061,[47 16] ; [67 34],[43.79268293 19.20731707] ; [70.20731707 30.79268293],0
a1,1,0.264492,1.245091,[ 1 62] ; [ 5 96],[ 2.30487805 60.69512195] ; [ 3.69512195 97.30487805],0
s1,1,0.267197,1.231079,[ 1 61] ; [ 5 95],[ 2.2962963 59.7037037] ; [ 3.7037037 96.2962963],0
p5,1,0.282999,1.152633,[ 8 53] ; [ 8 93],[ 6.02469136 54.97530864] ; [ 9.97530864 91.02469136],0
b1,1,0.293849,1.1019,[34 29] ; [46 55],[30.73170732 32.26829268] ; [49.26829268 51.73170732],0
p12,1,0.295664,1.093649,[ 1 58] ; [ 5 96],[ 2.2125 56.7875] ; [ 3.7875 97.2125],0
a6,1,0.461162,0.543073,[25 38] ; [46 55],[27.27439024 35.72560976] ; [43.72560976 57.27439024],0
b2,1,0.484227,0.489328,[19 21] ; [23 34],[17.31958763 22.68041237] ; [24.68041237 32.31958763],0
b3,1,0.484227,0.489328,[19 21] ; [23 34],[17.31958763 22.68041237] ; [24.68041237 32.31958763],0
n1,1,0.561625,0.336898,[6 9] ; [13 28],[5.08928571 9.91071429] ; [13.91071429 27.08928571],0
u2,1,0.616079,0.251417,[6 6] ; [24 33],[5.2173913 6.7826087] ; [24.7826087 32.2173913],0
b4,1,0.624289,0.239885,[38 25] ; [57 44],[36.49390244 26.50609756] ; [58.50609756 42.49390244],0
b5,1,0.63007,0.231966,[30 33] ; [52 49],[31.5 31.5] ; [50.5 50.5],0
p1,1,0.69374,0.155066,[ 5 57] ; [10 91],[ 5.70552147 56.29447853] ; [ 9.29447853 91.70552147],0
u3,1,0.767223,0.087622,[4 9] ; [20 37],[4.45714286 8.54285714] ; [19.54285714 37.45714286],0
s3,1,0.885047,0.020902,[16 45] ; [27 72],[16.39375 44.60625] ; [26.60625 72.39375],0
n5,1,0.887378,0.020057,[44 18] ; [72 28],[44.39506173 17.60493827] ; [71.60493827 28.39506173],0
v4,1,0.903381,0.014736,[51 11] ; [83 17],[51.28395062 10.71604938] ; [82.71604938 17.28395062],0
s4,1,0.995285,3.5e-05,[ 8 54] ; [13 88],[ 7.98773006 54.01226994] ; [13.01226994 87.98773006],0
n3,1,1.0,0.0,[9 4] ; [27 12],[9. 4.] ; [27. 12.],0
