Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.003221,8.677851,[ 44 103] ; [38 38],[54.05381166 92.94618834] ; [27.94618834 48.05381166],0
u2,1,0.016972,5.699275,[29 30] ; [24  8],[34.36263736 24.63736264] ; [18.63736264 13.36263736],0
p11,1,0.017049,5.691304,[103  44] ; [41 35],[94.92376682 52.07623318] ; [49.07623318 26.92376682],0
u3,1,0.023185,5.154614,[34 25] ; [26  6],[38.9010989 20.0989011] ; [21.0989011 10.9010989],0
n5,1,0.03376,4.506818,[59 88] ; [19 55],[51.88235294 95.11764706] ; [26.11764706 47.88235294],0
r3,1,0.04162,4.150594,[139   8] ; [65 10],[135.08108108  11.91891892] ; [68.91891892  6.08108108],0
p2,1,0.05491,3.684824,[113  33] ; [49 26],[107.02262443  38.97737557] ; [54.97737557 20.02262443],0
p9,1,0.067913,3.332751,[114  29] ; [50 23],[108.57407407  34.42592593] ; [55.42592593 17.57407407],0
s5,1,0.115219,2.481133,[46 97] ; [16 57],[ 41.0462963 101.9537037] ; [20.9537037 52.0462963],0
r4,1,0.128112,2.31523,[126  21] ; [59 17],[121.95067265  25.04932735] ; [63.04932735 12.95067265],0
n3,1,0.140996,2.167052,[36 24] ; [22  7],[39.1011236 20.8988764] ; [18.8988764 10.1011236],0
a6,1,0.147265,2.100352,[88 59] ; [53 23],[92.94618834 54.05381166] ; [48.05381166 27.94618834],0
n1,1,0.162431,1.951444,[13 47] ; [10 18],[15.68181818 44.31818182] ; [ 7.31818182 20.68181818],0
s4,1,0.177496,1.818467,[ 39 108] ; [14 62],[ 34.93721973 112.06278027] ; [18.06278027 57.93721973],0
p10,1,0.184093,1.764267,[106  39] ; [47 26],[101.76605505  43.23394495] ; [51.23394495 21.76605505],0
s1,1,0.184251,1.762995,[  3 144] ; [ 4 71],[  4.63513514 142.36486486] ; [ 2.36486486 72.63513514],0
s6,1,0.185242,1.75506,[87 58] ; [38 37],[82.38636364 62.61363636] ; [42.61363636 32.38636364],0
a5,1,0.190303,1.71527,[87 60] ; [38 38],[82.39910314 64.60089686] ; [42.60089686 33.39910314],0
s3,1,0.212693,1.552998,[64 82] ; [40 36],[68.3963964 77.6036036] ; [35.6036036 40.3963964],0
n2,1,0.226747,1.461151,[44 15] ; [18 11],[41.56818182 17.43181818] ; [20.43181818  8.56818182],0
p1,1,0.236639,1.400505,[  6 140] ; [ 6 70],[  7.89189189 138.10810811] ; [ 4.10810811 71.89189189],0
p7,1,0.248749,1.330314,[82 62] ; [34 36],[78.05607477 65.94392523] ; [37.94392523 32.05607477],0
p12,1,0.27406,1.196312,[  6 141] ; [ 1 73],[  4.6561086 142.3438914] ; [ 2.3438914 71.6561086],0
a7,1,0.28152,1.159735,[108  38] ; [51 25],[104.56756757  41.43243243] ; [54.43243243 21.56756757],0
a8,1,0.329443,0.951087,[  8 130] ; [ 2 70],[  6.57142857 131.42857143] ; [ 3.42857143 68.57142857],0
b5,1,0.331928,0.941363,[93 54] ; [43 33],[89.65022422 57.34977578] ; [46.34977578 29.65022422],0
a1,1,0.333305,0.936014,[  4 143] ; [ 4 72],[  5.2735426 141.7264574] ; [ 2.7264574 73.2735426],0
d2,1,0.33535,0.928126,[54 93] ; [23 53],[50.75784753 96.24215247] ; [26.24215247 49.75784753],0
d5,1,0.360994,0.834432,[103  43] ; [58 18],[105.88288288  40.11711712] ; [55.11711712 20.88288288],0
b4,1,0.40184,0.702812,[86 61] ; [40 36],[83.05829596 63.94170404] ; [42.94170404 33.05829596],0
s8,1,0.413977,0.66735,[ 44 102] ; [27 49],[46.69369369 99.30630631] ; [24.30630631 51.69369369],0
v3,1,0.453048,0.563015,[ 38 103] ; [16 56],[ 35.74647887 105.25352113] ; [18.25352113 53.74647887],0
r2,1,0.476625,0.506576,[134  13] ; [67  9],[132.49775785  14.50224215] ; [68.50224215  7.49775785],0
v2,1,0.520413,0.413075,[70 71] ; [31 38],[67.81428571 73.18571429] ; [33.18571429 35.81428571],0
s2,1,0.609174,0.261379,[62 84] ; [35 41],[63.79279279 82.20720721] ; [33.20720721 42.79279279],0
v1,1,0.624583,0.239479,[58 85] ; [33 42],[59.69266055 83.30733945] ; [31.30733945 43.69266055],0
d3,1,0.642426,0.215584,[98 48] ; [48 27],[96.45248869 49.54751131] ; [49.54751131 25.45248869],0
a3,1,0.665748,0.186616,[87 59] ; [43 33],[85.4954955 60.5045045] ; [44.5045045 31.4954955],0
p4,1,0.670848,0.180611,[66 81] ; [31 43],[64.52036199 82.47963801] ; [32.47963801 41.52036199],0
s7,1,0.753282,0.098794,[45 97] ; [21 50],[44. 98.] ; [22. 49.],0
a4,1,0.792173,0.069427,[ 42 105] ; [23 53],[ 42.84753363 104.15246637] ; [22.15246637 53.84753363],0
p6,1,0.814752,0.054896,[ 35 111] ; [16 55],[ 34.31336406 111.68663594] ; [16.68663594 54.31336406],0
b2,1,0.820284,0.051611,[21 46] ; [12 29],[20.47222222 46.52777778] ; [12.52777778 28.47222222],0
b3,1,0.820284,0.051611,[21 46] ; [12 29],[20.47222222 46.52777778] ; [12.52777778 28.47222222],0
