Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,106.803932,[186 101] ; [ 4 93],[142.00520833 144.99479167] ; [47.99479167 49.00520833],1
d3,1,0.0,74.322145,[218  69] ; [26 70],[182.84073107 104.15926893] ; [61.15926893 34.84073107],1
d5,1,0.0,63.858775,[246  41] ; [44 53],[216.74479167  70.25520833] ; [73.25520833 23.74479167],1
d2,1,0.0,28.482493,[147 137] ; [20 77],[124.48293963 159.51706037] ; [42.51706037 54.48293963],1
a5,1,1e-06,23.414231,[215  72] ; [47 50],[195.81770833  91.18229167] ; [66.18229167 30.81770833],1
a4,1,1e-06,23.170811,[144 142] ; [21 74],[123.85826772 162.14173228] ; [41.14173228 53.85826772],1
a3,1,5e-06,20.896868,[206  80] ; [44 51],[187.66404199  98.33595801] ; [62.33595801 32.66404199],1
r3,1,6e-06,20.458522,[264  20] ; [73 23],[251.86315789  32.13684211] ; [85.13684211 10.86315789],1
u1,1,1e-05,19.589608,[ 56 231] ; [ 1 96],[ 42.6015625 244.3984375] ; [14.3984375 82.6015625],1
r4,1,3.3e-05,17.215003,[251  36] ; [67 30],[237.671875  49.328125] ; [80.328125 16.671875],1
a2,1,5.4e-05,16.317828,[ 77 210] ; [ 7 90],[ 62.78125 224.21875] ; [21.21875 75.78125],1
r1,1,7.5e-05,15.681165,[221  64] ; [55 42],[205.91623037  79.08376963] ; [70.08376963 26.91623037],1
a7,1,0.000347,12.795898,[215  72] ; [54 43],[201.04947917  85.95052083] ; [67.95052083 29.04947917],1
p10,1,0.000527,12.016295,[233  51] ; [61 33],[220.88888889  63.11111111] ; [73.11111111 20.88888889],1
p2,1,0.000564,11.890648,[237  47] ; [65 32],[225.11286089  58.88713911] ; [76.88713911 20.11286089],1
v2,1,0.000939,10.943637,[151 126] ; [31 59],[137.36784741 139.63215259] ; [44.63215259 45.36784741],1
s2,1,0.001292,10.354214,[107 177] ; [19 77],[ 94.16842105 189.83157895] ; [31.83157895 64.16842105],0
r2,1,0.001701,9.846736,[264  19] ; [80 17],[256.18947368  26.81052632] ; [87.81052632  9.18947368],0
n6,1,0.001758,9.786596,[251  33] ; [73 24],[241.51181102  42.48818898] ; [82.48818898 14.51181102],0
p4,1,0.002713,8.991384,[167 117] ; [40 57],[154.2992126 129.7007874] ; [52.7007874 44.2992126],0
v4,1,0.005586,7.679268,[266  20] ; [81 16],[259.11749347  26.88250653] ; [87.88250653  9.11749347],0
p7,1,0.008392,6.9478,[171 108] ; [43 51],[160.06970509 118.93029491] ; [53.93029491 40.06970509],0
p9,1,0.011406,6.400934,[234  47] ; [67 27],[225.54933333  55.45066667] ; [75.45066667 18.54933333],0
a6,1,0.014102,6.025295,[207  80] ; [57 40],[197.3125  89.6875] ; [66.6875 30.3125],0
s5,1,0.016934,5.703216,[ 76 205] ; [14 80],[ 67.44 213.56] ; [22.56 71.44],0
s6,1,0.021412,5.292948,[159 121] ; [41 54],[149.33333333 130.66666667] ; [50.66666667 44.33333333],0
p11,1,0.021925,5.25172,[228  59] ; [66 31],[219.734375  67.265625] ; [74.265625 22.734375],0
v1,1,0.028924,4.772137,[147 133] ; [38 58],[137.76595745 142.23404255] ; [47.23404255 48.76595745],0
u2,1,0.036006,4.396838,[43 36] ; [19 34],[37.10606061 41.89393939] ; [24.89393939 28.10606061],0
u3,1,0.068931,3.308299,[42 39] ; [19 34],[36.87313433 44.12686567] ; [24.12686567 28.87313433],0
a8,1,0.119966,2.417771,[ 41 222] ; [ 8 81],[ 36.61079545 226.38920455] ; [12.38920455 76.61079545],0
