Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,62.181405,[134  25] ; [102 127],[96.71134021 62.28865979] ; [139.28865979  89.71134021],1
v1,1,7e-06,20.107421,[113  49] ; [109 123],[91.27918782 70.72081218] ; [130.72081218 101.27918782],1
p1,1,0.000117,14.834898,[ 26 135] ; [ 11 224],[ 15.04292929 145.95707071] ; [ 21.95707071 213.04292929],1
p3,1,0.00015,14.368246,[117  44] ; [127 109],[98.95214106 62.04785894] ; [145.04785894  90.95214106],1
p12,1,0.000934,10.953795,[ 25 137] ; [ 13 223],[ 15.46733668 146.53266332] ; [ 22.53266332 213.46733668],1
p5,1,0.002994,8.811144,[ 32 130] ; [ 22 213],[ 22.03526448 139.96473552] ; [ 31.96473552 203.03526448],0
s7,1,0.003175,8.704085,[94 59] ; [103 121],[79.94960212 73.05039788] ; [117.05039788 106.94960212],0
n5,1,0.006519,7.400852,[134  27] ; [167  67],[122.68607595  38.31392405] ; [178.31392405  55.68607595],0
p10,1,0.015965,5.806701,[148  14] ; [194  40],[139.90909091  22.09090909] ; [202.09090909  31.90909091],0
p11,1,0.017703,5.625318,[142  20] ; [185  51],[133.10050251  28.89949749] ; [193.89949749  42.10050251],0
d1,1,0.018025,5.593765,[111  51] ; [134 102],[99.72361809 62.27638191] ; [145.27638191  90.72361809],0
r4,1,0.022703,5.191055,[156   6] ; [213  23],[150.1959799  11.8040201] ; [218.8040201  17.1959799],0
p8,1,0.035268,4.432173,[120  41] ; [151  83],[110.45822785  50.54177215] ; [160.54177215  73.45822785],0
p9,1,0.036316,4.382201,[149  13] ; [198  35],[142.31392405  19.68607595] ; [204.68607595  28.31392405],0
d3,1,0.041762,4.14483,[132  29] ; [172  63],[123.5959596  37.4040404] ; [180.4040404  54.5959596],0
r2,1,0.042646,4.109387,[159   3] ; [216  14],[154.9744898   7.0255102] ; [220.0255102   9.9744898],0
s8,1,0.049101,3.871892,[83 76] ; [ 99 136],[73.44670051 85.55329949] ; [108.55329949 126.44670051],0
s5,1,0.050618,3.820861,[66 91] ; [ 75 157],[ 56.90745501 100.09254499] ; [ 84.09254499 147.90745501],0
a2,1,0.056349,3.641699,[ 57 105] ; [ 62 174],[ 48.43718593 113.56281407] ; [ 70.56281407 165.43718593],0
n6,1,0.067025,3.354419,[144  15] ; [197  37],[137.96183206  21.03816794] ; [203.03816794  30.96183206],0
a4,1,0.070064,3.28153,[81 80] ; [ 97 139],[72.18639798 88.81360202] ; [105.81360202 130.18639798],0
n4,1,0.08453,2.97557,[135  27] ; [179  56],[128.13098237  33.86901763] ; [185.86901763  49.13098237],0
r3,1,0.084553,2.975141,[159   2] ; [224  10],[156.10886076   4.89113924] ; [226.89113924   7.10886076],0
v4,1,0.086316,2.941769,[158   2] ; [224  10],[155.12690355   4.87309645] ; [226.87309645   7.12690355],0
u1,1,0.097172,2.75136,[ 43 119] ; [ 46 190],[ 36.22613065 125.77386935] ; [ 52.77386935 183.22613065],0
r1,1,0.108264,2.579378,[141  20] ; [190  43],[135.25634518  25.74365482] ; [195.74365482  37.25634518],0
n3,1,0.118902,2.431722,[17  7] ; [43  7],[19.45945946  4.54054054] ; [40.54054054  9.45945946],0
p4,1,0.125302,2.34976,[120  41] ; [159  77],[113.14609572  47.85390428] ; [165.85390428  70.14609572],0
u4,1,0.160535,1.969179,[  3 159] ; [  1 235],[  1.6281407 160.3718593] ; [  2.3718593 233.6281407],0
b1,1,0.174204,1.846393,[ 55 107] ; [ 96 140],[ 61.46231156 100.53768844] ; [ 89.53768844 146.46231156],0
s4,1,0.209095,1.577679,[ 21 140] ; [ 41 190],[ 25.46428571 135.53571429] ; [ 36.53571429 194.46428571],0
n1,1,0.223053,1.484619,[ 5 18] ; [18 32],[ 7.24657534 15.75342466] ; [15.75342466 34.24657534],0
a1,1,0.263066,1.25255,[ 11 151] ; [ 10 226],[  8.54773869 153.45226131] ; [ 12.45226131 223.54773869],0
a5,1,0.263843,1.248479,[128  34] ; [175  61],[123.33165829  38.66834171] ; [179.66834171  56.33165829],0
b4,1,0.28384,1.148612,[98 64] ; [130 106],[92.8040201 69.1959799] ; [135.1959799 100.8040201],0
d2,1,0.290317,1.118148,[81 80] ; [106 130],[75.83627204 85.16372796] ; [111.16372796 124.83627204],0
s3,1,0.366794,0.814497,[94 64] ; [129 106],[89.65394402 68.34605598] ; [133.34605598 101.65394402],0
