Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-05,19.423231,[18 20] ; [49  6],[27.37634409 10.62365591] ; [39.62365591 15.37634409],1
p6,1,0.000101,15.117924,[11 26] ; [39 16],[20.10869565 16.89130435] ; [29.89130435 25.10869565],1
p7,1,0.001144,10.578267,[17 19] ; [44 11],[24.13186813 11.86813187] ; [36.86813187 18.13186813],0
p8,1,0.001198,10.493766,[12 23] ; [38 17],[19.44444444 15.55555556] ; [30.55555556 24.44444444],0
b1,1,0.02099,5.327635,[ 9 29] ; [26 29],[14.30107527 23.69892473] ; [20.69892473 34.30107527],0
n4,1,0.036036,4.395386,[22 16] ; [43 12],[26.55913978 11.44086022] ; [38.44086022 16.55913978],0
a4,1,0.071143,3.256444,[17 21] ; [35 20],[21.24731183 16.75268817] ; [30.75268817 24.24731183],0
n5,1,0.081387,3.036985,[21 17] ; [40 15],[24.92473118 13.07526882] ; [36.07526882 18.92473118],0
b5,1,0.088204,2.906852,[28 10] ; [31 24],[24.10752688 13.89247312] ; [34.89247312 20.10752688],0
u1,1,0.088524,2.901004,[ 7 31] ; [19 36],[10.62365591 27.37634409] ; [15.37634409 39.62365591],0
s6,1,0.094268,2.79994,[31  6] ; [51  3],[33.34065934  3.65934066] ; [48.65934066  5.34065934],0
r4,1,0.09749,2.746138,[32  6] ; [52  3],[34.32258065  3.67741935] ; [49.67741935  5.32258065],0
a5,1,0.101991,2.674135,[30  8] ; [50  5],[32.68817204  5.31182796] ; [47.31182796  7.68817204],0
p5,1,0.103208,2.655254,[ 2 36] ; [ 9 46],[ 4.49462366 33.50537634] ; [ 6.50537634 48.49462366],0
v1,1,0.109276,2.564663,[15 23] ; [31 24],[18.79569892 19.20430108] ; [27.20430108 27.79569892],0
d2,1,0.112515,2.518534,[24 14] ; [43 12],[27.37634409 10.62365591] ; [39.62365591 15.37634409],0
a7,1,0.113586,2.503602,[30  8] ; [35 20],[26.55913978 11.44086022] ; [38.44086022 16.55913978],0
p11,1,0.151386,2.05823,[23 15] ; [41 14],[26.15053763 11.84946237] ; [37.84946237 17.15053763],0
p1,1,0.155472,2.017725,[ 2 36] ; [ 8 47],[ 4.08602151 33.91397849] ; [ 5.91397849 49.08602151],0
s1,1,0.212608,1.55358,[ 1 37] ; [ 5 50],[ 2.4516129 35.5483871] ; [ 3.5483871 51.4516129],0
v3,1,0.240886,1.375402,[10 27] ; [21 33],[12.6043956 24.3956044] ; [18.3956044 35.6043956],0
p2,1,0.241943,1.369235,[28 10] ; [46  9],[30.23655914  7.76344086] ; [43.76344086 11.23655914],0
n1,1,0.275973,1.186813,[ 3 10] ; [6 8],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
s7,1,0.276959,1.181953,[22 15] ; [36 15],[24.38636364 12.61363636] ; [33.61363636 17.38636364],0
p10,1,0.30167,1.066797,[31  6] ; [50  5],[32.57608696  4.42391304] ; [48.42391304  6.57608696],0
d3,1,0.339808,0.911154,[36  2] ; [49  6],[34.7311828  3.2688172] ; [50.2688172  4.7311828],0
v2,1,0.3433,0.89807,[21 15] ; [26 28],[18.8 17.2] ; [28.2 25.8],0
r3,1,0.375933,0.78396,[34  4] ; [51  3],[35.10869565  2.89130435] ; [49.89130435  4.10869565],0
r1,1,0.379726,0.771589,[29  9] ; [46  9],[30.64516129  7.35483871] ; [44.35483871 10.64516129],0
p9,1,0.458609,0.549287,[31  6] ; [49  6],[32.17391304  4.82608696] ; [47.82608696  7.17391304],0
s5,1,0.47342,0.513983,[18 16] ; [31 20],[19.6 14.4] ; [29.4 21.6],0
a2,1,0.5076,0.43901,[10 28] ; [18 37],[11.44086022 26.55913978] ; [16.55913978 38.44086022],0
a3,1,0.565206,0.33077,[30  8] ; [46  9],[31.05376344  6.94623656] ; [44.94623656 10.05376344],0
a6,1,0.570235,0.32229,[27 11] ; [36 19],[25.74193548 12.25806452] ; [37.25806452 17.74193548],0
s2,1,0.615869,0.251716,[28 10] ; [43 12],[29.01075269  8.98924731] ; [41.98924731 13.01075269],0
a8,1,0.632832,0.228239,[ 2 32] ; [ 2 52],[ 1.54545455 32.45454545] ; [ 2.45454545 51.54545455],0
n6,1,0.670853,0.180606,[33  5] ; [46  9],[32.27956989  5.72043011] ; [46.72043011  8.27956989],0
u3,1,0.70663,0.141667,[6 2] ; [6 3],[5.64705882 2.35294118] ; [6.35294118 2.64705882],0
b3,1,0.743518,0.107059,[ 6 14] ; [11 21],[ 6.53846154 13.46153846] ; [10.46153846 21.53846154],0
b2,1,0.743518,0.107059,[ 6 14] ; [11 21],[ 6.53846154 13.46153846] ; [10.46153846 21.53846154],0
n3,1,0.744785,0.105965,[10  3] ; [10  4],[9.62962963 3.37037037] ; [10.37037037  3.62962963],0
s3,1,0.768449,0.086674,[28 10] ; [42 13],[28.60215054  9.39784946] ; [41.39784946 13.60215054],0
u2,1,0.818821,0.052469,[4 4] ; [5 4],[4.23529412 3.76470588] ; [4.76470588 4.23529412],0
b4,1,0.839116,0.041219,[22 16] ; [33 22],[22.47311828 15.52688172] ; [32.52688172 22.47311828],0
n2,1,0.882577,0.021816,[8 5] ; [9 5],[8.18518519 4.81481481] ; [8.81481481 5.18518519],0
s8,1,0.895702,0.017185,[24 14] ; [34 21],[23.69892473 14.30107527] ; [34.30107527 20.69892473],0
v4,1,0.967913,0.001618,[36  2] ; [52  3],[35.95698925  2.04301075] ; [52.04301075  2.95698925],0
