Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.237086,[ 1 22] ; [52 14],[13.69662921  9.30337079] ; [39.30337079 26.69662921],1
v4,1,0.0,29.308818,[ 8 15] ; [59  6],[17.51136364  5.48863636] ; [49.48863636 15.51136364],1
r2,1,0.000184,13.984236,[11 11] ; [58  8],[17.25  4.75] ; [51.75 14.25],1
n2,1,0.001246,10.420148,[4 9] ; [23  5],[8.56097561 4.43902439] ; [18.43902439  9.56097561],0
p11,1,0.003059,8.771821,[ 5 18] ; [38 28],[11.11235955 11.88764045] ; [31.88764045 34.11235955],0
r1,1,0.004333,8.13869,[ 6 17] ; [40 26],[11.88764045 11.11235955] ; [34.11235955 31.88764045],0
p8,1,0.014392,5.989471,[ 1 22] ; [19 46],[ 5.22727273 17.77272727] ; [14.77272727 50.22727273],0
s6,1,0.014902,5.927966,[ 4 19] ; [30 35],[ 8.88636364 14.11363636] ; [25.11363636 39.88636364],0
p4,1,0.018091,5.587294,[ 3 20] ; [26 39],[ 7.57954545 15.42045455] ; [21.42045455 43.57954545],0
v2,1,0.019621,5.44526,[ 3 20] ; [25 38],[ 7.48837209 15.51162791] ; [20.51162791 42.48837209],0
p7,1,0.025012,5.023024,[ 5 18] ; [32 34],[ 9.56179775 13.43820225] ; [27.43820225 38.56179775],0
s8,1,0.025868,4.96485,[ 1 22] ; [17 48],[ 4.70454545 18.29545455] ; [13.29545455 51.70454545],0
p9,1,0.026021,4.954607,[ 3 19] ; [26 40],[ 7.25 14.75] ; [21.75 44.25],0
p6,1,0.028533,4.795543,[ 1 21] ; [17 47],[ 4.60465116 17.39534884] ; [13.39534884 50.60465116],0
p3,1,0.036171,4.389038,[ 3 20] ; [24 42],[ 6.97752809 16.02247191] ; [20.02247191 45.97752809],0
v1,1,0.039664,4.232218,[ 3 20] ; [23 41],[ 6.87356322 16.12643678] ; [19.12643678 44.87356322],0
d5,1,0.044326,4.044118,[ 8 15] ; [39 27],[12.14606742 10.85393258] ; [34.85393258 31.14606742],0
p2,1,0.046302,3.970582,[ 7 16] ; [36 30],[11.11235955 11.88764045] ; [31.88764045 34.11235955],0
n3,1,0.052681,3.754011,[4 8] ; [18  9],[6.76923077 5.23076923] ; [15.23076923 11.76923077],0
d1,1,0.054569,3.6952,[ 4 19] ; [26 40],[ 7.75280899 15.24719101] ; [22.24719101 43.75280899],0
n6,1,0.056181,3.646674,[10 13] ; [43 22],[13.85227273  9.14772727] ; [39.14772727 25.85227273],0
s4,1,0.070251,3.277155,[ 6 17] ; [ 7 59],[ 3.35955056 19.64044944] ; [ 9.64044944 56.35955056],0
n5,1,0.070717,3.266294,[16  7] ; [31 34],[12.28409091 10.71590909] ; [34.71590909 30.28409091],0
s3,1,0.09403,2.803995,[ 6 16] ; [31 34],[ 9.35632184 12.64367816] ; [27.64367816 37.35632184],0
d4,1,0.101746,2.677965,[10 13] ; [41 24],[13.32954545  9.67045455] ; [37.67045455 27.32954545],0
b4,1,0.119573,2.42291,[10 13] ; [41 25],[13.17977528  9.82022472] ; [37.82022472 28.17977528],0
a4,1,0.12471,2.357143,[ 5 17] ; [27 39],[ 8. 14.] ; [24. 42.],0
a1,1,0.161604,1.959153,[ 3 20] ; [ 3 63],[ 1.5505618 21.4494382] ; [ 4.4494382 61.5505618],0
d2,1,0.172935,1.857317,[ 7 15] ; [32 34],[ 9.75 12.25] ; [29.25 36.75],0
s7,1,0.174758,1.841648,[ 3 16] ; [20 43],[ 5.32926829 13.67073171] ; [17.67073171 45.32926829],0
s2,1,0.183044,1.772732,[ 5 18] ; [24 41],[ 7.57954545 15.42045455] ; [21.42045455 43.57954545],0
s5,1,0.186295,1.746678,[ 3 20] ; [17 47],[ 5.28735632 17.71264368] ; [14.71264368 49.28735632],0
u2,1,0.213879,1.544975,[3 8] ; [17 18],[4.7826087 6.2173913] ; [15.2173913 19.7826087],0
a5,1,0.250895,1.318311,[ 9 14] ; [35 31],[11.37078652 11.62921348] ; [32.62921348 33.37078652],0
d3,1,0.252108,1.311584,[ 6 17] ; [26 40],[ 8.26966292 14.73033708] ; [23.73033708 42.26966292],0
s1,1,0.284037,1.147673,[ 3 20] ; [ 4 62],[ 1.80898876 21.19101124] ; [ 5.19101124 60.80898876],0
b5,1,0.360375,0.836586,[10 13] ; [36 30],[11.88764045 11.11235955] ; [34.11235955 31.88764045],0
b2,1,0.446356,0.579889,[6 9] ; [12 29],[ 4.82142857 10.17857143] ; [13.17857143 27.82142857],0
b3,1,0.446356,0.579889,[6 9] ; [12 29],[ 4.82142857 10.17857143] ; [13.17857143 27.82142857],0
p1,1,0.456667,0.554051,[ 2 21] ; [ 3 63],[ 1.29213483 21.70786517] ; [ 3.70786517 62.29213483],0
n4,1,0.48685,0.483481,[15  8] ; [37 28],[13.59090909  9.40909091] ; [38.40909091 26.59090909],0
n1,1,0.598312,0.27755,[4 9] ; [11 17],[4.75609756 8.24390244] ; [10.24390244 17.75609756],0
a3,1,0.619348,0.246785,[12 11] ; [30 35],[10.97727273 12.02272727] ; [31.02272727 33.97727273],0
p12,1,0.763038,0.090899,[ 1 22] ; [ 2 64],[ 0.7752809 22.2247191] ; [ 2.2247191 63.7752809],0
b1,1,0.78254,0.076182,[14  9] ; [38 28],[13.43820225  9.56179775] ; [38.56179775 27.43820225],0
v3,1,0.784416,0.07484,[ 5 18] ; [15 46],[ 5.47619048 17.52380952] ; [14.52380952 46.47619048],0
a6,1,0.982226,0.000496,[ 9 14] ; [26 40],[ 9.04494382 13.95505618] ; [25.95505618 40.04494382],0
