Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,52.968641,[ 5 29] ; [89 19],[22.50704225 11.49295775] ; [71.49295775 36.50704225],1
r2,1,0.0,25.472582,[17 14] ; [99  8],[26.05797101  4.94202899] ; [89.94202899 17.05797101],1
r3,1,1.1e-05,19.267938,[16 18] ; [91 17],[25.61971831  8.38028169] ; [81.38028169 26.61971831],1
r1,1,0.000154,14.327905,[12 22] ; [77 31],[21.30985915 12.69014085] ; [67.69014085 40.30985915],1
p10,1,0.000218,13.66566,[ 7 26] ; [61 44],[16.26086957 16.73913043] ; [51.73913043 53.26086957],1
p9,1,0.000235,13.528086,[ 8 24] ; [64 39],[17.06666667 14.93333333] ; [54.93333333 48.06666667],1
u3,1,0.000579,11.841488,[ 2 13] ; [25 13],[7.64150943 7.35849057] ; [19.35849057 18.64150943],1
s6,1,0.000612,11.739149,[ 7 27] ; [57 48],[15.65467626 18.34532374] ; [48.34532374 56.65467626],1
s2,1,0.00081,11.218646,[ 4 30] ; [46 60],[12.14285714 21.85714286] ; [37.85714286 68.14285714],1
n6,1,0.002059,9.495753,[14 20] ; [76 32],[21.54929577 12.45070423] ; [68.45070423 39.54929577],0
s8,1,0.003706,8.422756,[ 3 31] ; [37 70],[ 9.64539007 24.35460993] ; [30.35460993 76.64539007],0
d3,1,0.007016,7.268817,[12 22] ; [66 41],[18.80851064 15.19148936] ; [59.19148936 47.80851064],0
v1,1,0.011354,6.409091,[ 5 28] ; [42 66],[11. 22.] ; [36. 72.],0
u2,1,0.020288,5.386902,[ 4 11] ; [23 14],[7.78846154 7.21153846] ; [19.21153846 17.78846154],0
p11,1,0.023461,5.134069,[11 23] ; [59 49],[16.76056338 17.23943662] ; [53.23943662 54.76056338],0
v2,1,0.02454,5.05603,[ 8 25] ; [46 53],[13.5 19.5] ; [40.5 58.5],0
p1,1,0.027062,4.886828,[ 6 28] ; [  6 102],[ 2.87323944 31.12676056] ; [ 9.12676056 98.87323944],0
p4,1,0.027379,4.866761,[ 2 32] ; [24 81],[ 6.35971223 27.64028777] ; [19.64028777 85.35971223],0
s3,1,0.035721,4.410362,[ 8 25] ; [47 58],[13.15217391 19.84782609] ; [41.84782609 63.15217391],0
a1,1,0.048972,3.876326,[ 6 28] ; [  7 101],[ 3.11267606 30.88732394] ; [ 9.88732394 98.11267606],0
b5,1,0.065075,3.403082,[15 19] ; [67 41],[19.63380282 14.36619718] ; [62.36619718 45.63380282],0
